California, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,48.3,0.9
189605,46.5,-0.9
189705,50.2,2.8
189805,46.6,-0.8
189905,43.6,-3.8
190005,48.2,0.8
190105,47.9,0.5
190205,44.9,-2.5
190305,47,-0.4
190405,49.1,1.7
190505,45.1,-2.3
190605,46.4,-1.0
190705,46.1,-1.3
190805,42.8,-4.6
190905,44.9,-2.5
191005,48.8,1.4
191105,43.8,-3.6
191205,46.9,-0.5
191305,46.4,-1.0
191405,48.4,1.0
191505,46.1,-1.3
191605,44,-3.4
191705,43.4,-4.0
191805,43.7,-3.7
191905,48.9,1.5
192005,45.6,-1.8
192105,45.1,-2.3
192205,46.4,-1.0
192305,47.2,-0.2
192405,49.5,2.1
192505,49,1.6
192605,48.6,1.2
192705,45.6,-1.8
192805,50.2,2.8
192905,46.9,-0.5
193005,44,-3.4
193105,51.2,3.8
193205,47.4,0.0
193305,43.1,-4.3
193405,50.4,3.0
193505,46.3,-1.1
193605,48.9,1.5
193705,48,0.6
193805,47.2,-0.2
193905,48.3,0.9
194005,50.4,3.0
194105,49.6,2.2
194205,44.8,-2.6
194305,48,0.6
194405,46.9,-0.5
194505,47.1,-0.3
194605,47.5,0.1
194705,50.5,3.1
194805,45.2,-2.2
194905,47.9,0.5
195005,46.6,-0.8
195105,47.9,0.5
195205,48.6,1.2
195305,43.3,-4.1
195405,48.9,1.5
195505,46.2,-1.2
195605,48.1,0.7
195705,47.3,-0.1
195805,50.1,2.7
195905,46.1,-1.3
196005,46.6,-0.8
196105,45.8,-1.6
196205,45.4,-2.0
196305,49.3,1.9
196405,45.1,-2.3
196505,45.9,-1.5
196605,49.6,2.2
196705,47.2,-0.2
196805,47,-0.4
196905,49.7,2.3
197005,48.3,0.9
197105,45.6,-1.8
197205,47.9,0.5
197305,50,2.6
197405,47.3,-0.1
197505,46.6,-0.8
197605,48.6,1.2
197705,43.8,-3.6
197805,47.1,-0.3
197905,48.9,1.5
198005,46,-1.4
198105,49,1.6
198205,47.9,0.5
198305,47.9,0.5
198405,50.7,3.3
198505,47.2,-0.2
198605,48.3,0.9
198705,50.3,2.9
198805,46.6,-0.8
198905,48.2,0.8
199005,47.4,0.0
199105,45.1,-2.3
199205,53,5.6
199305,49.6,2.2
199405,48.7,1.3
199505,47,-0.4
199605,49.2,1.8
199705,53.3,5.9
199805,44.4,-3.0
199905,46.7,-0.7
200005,50.5,3.1
200105,53.3,5.9
200205,47.4,0.0
200305,48.6,1.2
200405,49.2,1.8
200505,49.5,2.1
200605,50.7,3.3
200705,49.5,2.1
200805,48.3,0.9
200905,52.7,5.3
201005,44,-3.4
201105,44.8,-2.6
201205,49.2,1.8
201305,50.1,2.7
201405,50.5,3.1
201505,48.5,1.1
