Texas, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,31.2,-1.9
189601,33.7,0.6
189701,30.2,-2.9
189801,35,1.9
189901,30.8,-2.3
190001,37.1,4.0
190101,35.6,2.5
190201,31.8,-1.3
190301,34.1,1.0
190401,29.5,-3.6
190501,30.7,-2.4
190601,32.2,-0.9
190701,41.2,8.1
190801,35,1.9
190901,37.1,4.0
191001,34,0.9
191101,39.7,6.6
191201,28.2,-4.9
191301,33,-0.1
191401,36.9,3.8
191501,31.6,-1.5
191601,36.6,3.5
191701,35.1,2.0
191801,24.1,-9.0
191901,31.2,-1.9
192001,32.1,-1.0
192101,38.1,5.0
192201,31.7,-1.4
192301,39.7,6.6
192401,28.4,-4.7
192501,28.6,-4.5
192601,30.8,-2.3
192701,35.1,2.0
192801,33.1,0.0
192901,33.2,0.1
193001,25.2,-7.9
193101,35.2,2.1
193201,35.5,2.4
193301,38.7,5.6
193401,35.3,2.2
193501,37,3.9
193601,30.1,-3.0
193701,32.2,-0.9
193801,36.8,3.7
193901,36.5,3.4
194001,24.4,-8.7
194101,37.3,4.2
194201,30.1,-3.0
194301,31.6,-1.5
194401,32.5,-0.6
194501,34.2,1.1
194601,32.9,-0.2
194701,32.3,-0.8
194801,28,-5.1
194901,30,-3.1
195001,39.4,6.3
195101,30.8,-2.3
195201,40.1,7.0
195301,36.5,3.4
195401,35,1.9
195501,34.5,1.4
195601,32.9,-0.2
195701,35.4,2.3
195801,32,-1.1
195901,30.2,-2.9
196001,33.6,0.5
196101,29.5,-3.6
196201,26.7,-6.4
196301,25.2,-7.9
196401,30.7,-2.4
196501,36.3,3.2
196601,29.5,-3.6
196701,32.2,-0.9
196801,35.1,2.0
196901,36.7,3.6
197001,29.9,-3.2
197101,34.4,1.3
197201,33.6,0.5
197301,30.3,-2.8
197401,33,-0.1
197501,35.4,2.3
197601,30.2,-2.9
197701,27.3,-5.8
197801,27.8,-5.3
197901,27.7,-5.4
198001,35.6,2.5
198101,34.1,1.0
198201,32,-1.1
198301,32.8,-0.3
198401,30.4,-2.7
198501,28.6,-4.5
198601,34.3,1.2
198701,33,-0.1
198801,30.3,-2.8
198901,37.9,4.8
199001,37.2,4.1
199101,33.6,0.5
199201,35.7,2.6
199301,35,1.9
199401,34.3,1.2
199501,36.2,3.1
199601,30.8,-2.3
199701,33.7,0.6
199801,38.1,5.0
199901,36.5,3.4
200001,37.3,4.2
200101,33.5,0.4
200201,35.7,2.6
200301,33.7,0.6
200401,37.7,4.6
200501,39.6,6.5
200601,37.5,4.4
200701,33,-0.1
200801,33.2,0.1
200901,32.7,-0.4
201001,32.4,-0.7
201101,31.7,-1.4
201201,36.5,3.4
201301,36.4,3.3
201401,30,-3.1
201501,33.2,0.1
201601,33.8,0.7
