Michigan, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,49.2,1.8
189609,43.9,-3.5
189709,48,0.6
189809,49.4,2.0
189909,43.7,-3.7
190009,50.1,2.7
190109,47.3,-0.1
190209,46.2,-1.2
190309,46.6,-0.8
190409,46.2,-1.2
190509,48.6,1.2
190609,50.8,3.4
190709,48.4,1.0
190809,49.9,2.5
190909,45.3,-2.1
191009,45.5,-1.9
191109,46.6,-0.8
191209,49.4,2.0
191309,46.2,-1.2
191409,46.6,-0.8
191509,48.5,1.1
191609,46.3,-1.1
191709,43.9,-3.5
191809,41,-6.4
191909,49.1,1.7
192009,48.7,1.3
192109,52.5,5.1
192209,49.1,1.7
192309,47.5,0.1
192409,42.9,-4.5
192509,49.7,2.3
192609,46.7,-0.7
192709,50.6,3.2
192809,43,-4.4
192909,46.4,-1.0
193009,47.4,0.0
193109,52.8,5.4
193209,45.7,-1.7
193309,50.6,3.2
193409,48.8,1.4
193509,44.7,-2.7
193609,49,1.6
193709,46.5,-0.9
193809,46.6,-0.8
193909,48.1,0.7
194009,47.8,0.4
194109,49.8,2.4
194209,46.3,-1.1
194309,43.8,-3.6
194409,49,1.6
194509,47.8,0.4
194609,46.6,-0.8
194709,49.2,1.8
194809,48.9,1.5
194909,44.5,-2.9
195009,46.5,-0.9
195109,45.1,-2.3
195209,47.1,-0.3
195309,46.3,-1.1
195409,48.7,1.3
195509,46.3,-1.1
195609,43.5,-3.9
195709,45.6,-1.8
195809,47.7,0.3
195909,50.1,2.7
196009,49.6,2.2
196109,51.9,4.5
196209,44.8,-2.6
196309,45.2,-2.2
196409,46.8,-0.6
196509,47.8,0.4
196609,45.7,-1.7
196709,44.3,-3.1
196809,50.4,3.0
196909,48.3,0.9
197009,49.2,1.8
197109,51.2,3.8
197209,46.9,-0.5
197309,47.8,0.4
197409,43.1,-4.3
197509,44,-3.4
197609,43.8,-3.6
197709,50.5,3.1
197809,49.9,2.5
197909,46.8,-0.6
198009,47.4,0.0
198109,46.2,-1.2
198209,47.8,0.4
198309,48.9,1.5
198409,45.9,-1.5
198509,49.6,2.2
198609,49,1.6
198709,48.9,1.5
198809,47.7,0.3
198909,45.7,-1.7
199009,48,0.6
199109,45.8,-1.6
199209,46.6,-0.8
199309,44,-3.4
199409,49.7,2.3
199509,44.2,-3.2
199609,49.4,2.0
199709,48.1,0.7
199809,50.2,2.8
199909,46.7,-0.7
200009,47,-0.4
200109,47.3,-0.1
200209,51.2,3.8
200309,48.2,0.8
200409,50.8,3.4
200509,51.6,4.2
200609,47,-0.4
200709,49.8,2.4
200809,49.5,2.1
200909,49,1.6
201009,47.9,0.5
201109,48.2,0.8
201209,46.3,-1.1
201309,47.9,0.5
201409,47.6,0.2
201509,53.8,6.4
