Louisiana, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,37.9,-1.2
189601,38.3,-0.8
189701,37.1,-2.0
189801,44.2,5.1
189901,38.5,-0.6
190001,39.4,0.3
190101,41,1.9
190201,35.1,-4.0
190301,37.4,-1.7
190401,33.9,-5.2
190501,34.3,-4.8
190601,39,-0.1
190701,49,9.9
190801,38.8,-0.3
190901,43.8,4.7
191001,38.3,-0.8
191101,47.4,8.3
191201,33.9,-5.2
191301,44.5,5.4
191401,41,1.9
191501,36,-3.1
191601,45.2,6.1
191701,43.4,4.3
191801,29.2,-9.9
191901,36.9,-2.2
192001,42.4,3.3
192101,45,5.9
192201,40.9,1.8
192301,44.9,5.8
192401,33.6,-5.5
192501,38.4,-0.7
192601,38.1,-1.0
192701,44,4.9
192801,38.2,-0.9
192901,40.8,1.7
193001,37,-2.1
193101,37.4,-1.7
193201,45.6,6.5
193301,45.7,6.6
193401,42.8,3.7
193501,40.9,1.8
193601,36.8,-2.3
193701,48.4,9.3
193801,41,1.9
193901,42.3,3.2
194001,26.5,-12.6
194101,40.7,1.6
194201,33.6,-5.5
194301,38.7,-0.4
194401,38.6,-0.5
194501,38.1,-1.0
194601,40,0.9
194701,42,2.9
194801,30.8,-8.3
194901,43.6,4.5
195001,52.4,13.3
195101,38.8,-0.3
195201,48.3,9.2
195301,41.4,2.3
195401,41.1,2.0
195501,39.1,0.0
195601,36.6,-2.5
195701,43.7,4.6
195801,34.5,-4.6
195901,34.9,-4.2
196001,38.3,-0.8
196101,33.1,-6.0
196201,34.1,-5.0
196301,32,-7.1
196401,35.7,-3.4
196501,40.4,1.3
196601,35.7,-3.4
196701,38.3,-0.8
196801,37.5,-1.6
196901,41.1,2.0
197001,34,-5.1
197101,40.6,1.5
197201,42.8,3.7
197301,36.2,-2.9
197401,46.4,7.3
197501,43.2,4.1
197601,34.6,-4.5
197701,29.4,-9.7
197801,31.9,-7.2
197901,32.3,-6.8
198001,42,2.9
198101,32.9,-6.2
198201,37.5,-1.6
198301,37,-2.1
198401,33,-6.1
198501,31.9,-7.2
198601,37.1,-2.0
198701,36.4,-2.7
198801,34.4,-4.7
198901,45.3,6.2
199001,43.9,4.8
199101,39.7,0.6
199201,38.9,-0.2
199301,42.2,3.1
199401,37.2,-1.9
199501,40.5,1.4
199601,37,-2.1
199701,40.2,1.1
199801,44.1,5.0
199901,42.8,3.7
200001,41.8,2.7
200101,35.7,-3.4
200201,40.7,1.6
200301,34.8,-4.3
200401,39.8,0.7
200501,44.7,5.6
200601,43.8,4.7
200701,41,1.9
200801,38.4,-0.7
200901,39,-0.1
201001,35.2,-3.9
201101,36.7,-2.4
201201,43.9,4.8
201301,43.5,4.4
201401,31,-8.1
201501,36.5,-2.6
201601,38.5,-0.6
