Virginia, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,15,-11.1
189602,26.6,0.5
189702,28.5,2.4
189802,23.6,-2.5
189902,19.5,-6.6
190002,23.5,-2.6
190102,21.2,-4.9
190202,21.3,-4.8
190302,27.3,1.2
190402,19.8,-6.3
190502,18.7,-7.4
190602,23.6,-2.5
190702,22,-4.1
190802,22.5,-3.6
190902,31.7,5.6
191002,24.4,-1.7
191102,29.1,3.0
191202,21.1,-5.0
191302,26.4,0.3
191402,20.9,-5.2
191502,29,2.9
191602,24.8,-1.3
191702,23.4,-2.7
191802,26.6,0.5
191902,26.5,0.4
192002,23.8,-2.3
192102,29,2.9
192202,30.5,4.4
192302,24.5,-1.6
192402,25,-1.1
192502,31.2,5.1
192602,28.4,2.3
192702,33,6.9
192802,26.7,0.6
192902,23.5,-2.6
193002,29.4,3.3
193102,27.5,1.4
193202,32.2,6.1
193302,27.4,1.3
193402,17,-9.1
193502,25.9,-0.2
193602,20.2,-5.9
193702,26.8,0.7
193802,31.8,5.7
193902,30.6,4.5
194002,25.8,-0.3
194102,21.5,-4.6
194202,22.9,-3.2
194302,26.3,0.2
194402,28.3,2.2
194502,27.8,1.7
194602,27.7,1.6
194702,18.8,-7.3
194802,26.7,0.6
194902,32.6,6.5
195002,28.6,2.5
195102,26.2,0.1
195202,29,2.9
195302,29.9,3.8
195402,29.6,3.5
195502,25.3,-0.8
195602,30.6,4.5
195702,31.5,5.4
195802,20.3,-5.8
195902,26.9,0.8
196002,25.8,-0.3
196102,28.5,2.4
196202,27.1,1.0
196302,18.4,-7.7
196402,23.5,-2.6
196502,24.2,-1.9
196602,25.2,-0.9
196702,22.1,-4.0
196802,18.6,-7.5
196902,26.9,0.8
197002,24.4,-1.7
197102,25.4,-0.7
197202,24.7,-1.4
197302,24,-2.1
197402,26.3,0.2
197502,29.6,3.5
197602,31.9,5.8
197702,23.1,-3.0
197802,17.7,-8.4
197902,18.3,-7.8
198002,20.9,-5.2
198102,26,-0.1
198202,28.2,2.1
198302,26,-0.1
198402,30.8,4.7
198502,26.1,0.0
198602,29.4,3.3
198702,25.1,-1.0
198802,25.2,-0.9
198902,27.5,1.4
199002,32.2,6.1
199102,29.2,3.1
199202,29.7,3.6
199302,24.3,-1.8
199402,26.6,0.5
199502,24.8,-1.3
199602,26.1,0.0
199702,31.7,5.6
199802,32.7,6.6
199902,28.8,2.7
200002,29.8,3.7
200102,29.5,3.4
200202,27.8,1.7
200302,26.7,0.6
200402,25.9,-0.2
200502,28.9,2.8
200602,26.6,0.5
200702,21.9,-4.2
200802,29.6,3.5
200902,26.9,0.8
201002,23.7,-2.4
201102,29.1,3.0
201202,30.6,4.5
201302,27.2,1.1
201402,26.6,0.5
201502,18.1,-8.0
201602,29.1,3.0
