Mississippi, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,32.6,-1.9
189601,34.6,0.1
189701,31.7,-2.8
189801,39.9,5.4
189901,34.3,-0.2
190001,34.1,-0.4
190101,35.7,1.2
190201,31.3,-3.2
190301,34.2,-0.3
190401,30,-4.5
190501,28.9,-5.6
190601,34.8,0.3
190701,43.6,9.1
190801,33.7,-0.8
190901,38.2,3.7
191001,33.8,-0.7
191101,41,6.5
191201,28.5,-6.0
191301,40.6,6.1
191401,36.3,1.8
191501,32.1,-2.4
191601,40.8,6.3
191701,38.9,4.4
191801,24.2,-10.3
191901,32.1,-2.4
192001,36.9,2.4
192101,39,4.5
192201,36.7,2.2
192301,40.2,5.7
192401,28.8,-5.7
192501,35,0.5
192601,33.7,-0.8
192701,38.3,3.8
192801,33.7,-0.8
192901,35.7,1.2
193001,33.2,-1.3
193101,33.2,-1.3
193201,41.1,6.6
193301,41.6,7.1
193401,38.8,4.3
193501,35.6,1.1
193601,31.7,-2.8
193701,44.9,10.4
193801,35.7,1.2
193901,37.8,3.3
194001,20.5,-14.0
194101,35.4,0.9
194201,28.9,-5.6
194301,34.8,0.3
194401,34.8,0.3
194501,33.9,-0.6
194601,36.1,1.6
194701,38.7,4.2
194801,26.7,-7.8
194901,41.9,7.4
195001,48.5,14.0
195101,35.2,0.7
195201,43,8.5
195301,38.3,3.8
195401,35.8,1.3
195501,33.9,-0.6
195601,31.6,-2.9
195701,37.6,3.1
195801,29.6,-4.9
195901,30,-4.5
196001,34.9,0.4
196101,28.1,-6.4
196201,30.3,-4.2
196301,26.9,-7.6
196401,31.2,-3.3
196501,35.1,0.6
196601,30.6,-3.9
196701,34.3,-0.2
196801,32.2,-2.3
196901,35.1,0.6
197001,28.8,-5.7
197101,34.8,0.3
197201,37.5,3.0
197301,32.6,-1.9
197401,42.9,8.4
197501,38.1,3.6
197601,29.6,-4.9
197701,23.6,-10.9
197801,27.1,-7.4
197901,28,-6.5
198001,37.7,3.2
198101,28.1,-6.4
198201,32.5,-2.0
198301,33.1,-1.4
198401,28,-6.5
198501,26.3,-8.2
198601,30.6,-3.9
198701,32.6,-1.9
198801,29.9,-4.6
198901,39.9,5.4
199001,39.6,5.1
199101,36.3,1.8
199201,34.3,-0.2
199301,38.8,4.3
199401,31.8,-2.7
199501,36.1,1.6
199601,32.7,-1.8
199701,35.3,0.8
199801,39.3,4.8
199901,38.5,4.0
200001,36.7,2.2
200101,30.6,-3.9
200201,36.5,2.0
200301,29.2,-5.3
200401,34.1,-0.4
200501,40.2,5.7
200601,39.8,5.3
200701,36.8,2.3
200801,33,-1.5
200901,34.1,-0.4
201001,30.1,-4.4
201101,32.1,-2.4
201201,38.9,4.4
201301,39.9,5.4
201401,25.7,-8.8
201501,32.9,-1.6
201601,33.2,-1.3
