Oklahoma, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,64.9,-0.4
189606,64.6,-0.7
189706,65.4,0.1
189806,66.9,1.6
189906,66.1,0.8
190006,65.4,0.1
190106,66.9,1.6
190206,65.4,0.1
190306,58.8,-6.5
190406,64,-1.3
190506,67.6,2.3
190606,63.7,-1.6
190706,63.6,-1.7
190806,65.3,0.0
190906,65.2,-0.1
191006,63.7,-1.6
191106,69.6,4.3
191206,61,-4.3
191306,64.5,-0.8
191406,69.6,4.3
191506,64,-1.3
191606,64.2,-1.1
191706,62.3,-3.0
191806,68.5,3.2
191906,63.8,-1.5
192006,64.1,-1.2
192106,66.4,1.1
192206,65.6,0.3
192306,66.5,1.2
192406,68.3,3.0
192506,69.7,4.4
192606,64.2,-1.1
192706,64.4,-0.9
192806,63.8,-1.5
192906,65.7,0.4
193006,65.2,-0.1
193106,66.8,1.5
193206,66,0.7
193306,65.9,0.6
193406,68.9,3.6
193506,63.9,-1.4
193606,66.3,1.0
193706,66.8,1.5
193806,65.8,0.5
193906,66.8,1.5
194006,63.4,-1.9
194106,63.9,-1.4
194206,66.6,1.3
194306,68.6,3.3
194406,68.2,2.9
194506,63.6,-1.7
194606,64.7,-0.6
194706,65.4,0.1
194806,65.7,0.4
194906,67.1,1.8
195006,65.7,0.4
195106,64.5,-0.8
195206,70.3,5.0
195306,71.7,6.4
195406,66.5,1.2
195506,62.5,-2.8
195606,67.3,2.0
195706,64.6,-0.7
195806,65.6,0.3
195906,65.4,0.1
196006,65.6,0.3
196106,62.8,-2.5
196206,63.9,-1.4
196306,66.7,1.4
196406,65.3,0.0
196506,65.1,-0.2
196606,64.2,-1.1
196706,65.8,0.5
196806,64.9,-0.4
196906,63.6,-1.7
197006,64.4,-0.9
197106,66.9,1.6
197206,64.6,-0.7
197306,63.6,-1.7
197406,61.8,-3.5
197506,64.3,-1.0
197606,62.2,-3.1
197706,67.3,2.0
197806,66,0.7
197906,64,-1.3
198006,68.5,3.2
198106,67.3,2.0
198206,62,-3.3
198306,61.3,-4.0
198406,66.8,1.5
198506,64,-1.3
198606,66.8,1.5
198706,65,-0.3
198806,64.3,-1.0
198906,62.4,-2.9
199006,68.6,3.3
199106,66.7,1.4
199206,62.7,-2.6
199306,65.8,0.5
199406,68.2,2.9
199506,62.1,-3.2
199606,65.4,0.1
199706,62.9,-2.4
199806,67.1,1.8
199906,65.2,-0.1
200006,64.2,-1.1
200106,64.7,-0.6
200206,66,0.7
200306,62.2,-3.1
200406,64.4,-0.9
200506,65.4,0.1
200606,64.7,-0.6
200706,65.3,0.0
200806,66.8,1.5
200906,67.3,2.0
201006,70,4.7
201106,70,4.7
201206,66.4,1.1
201306,66.5,1.2
201406,67.1,1.8
201506,67.6,2.3
