Colorado, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,5.2,-9.1
189602,12.9,-1.4
189702,12.6,-1.7
189802,14.4,0.1
189902,3.7,-10.6
190002,11.5,-2.8
190102,11.5,-2.8
190202,15.9,1.6
190302,2.6,-11.7
190402,16.7,2.4
190502,8.5,-5.8
190602,14.3,0.0
190702,20.4,6.1
190802,13.6,-0.7
190902,12.8,-1.5
191002,10.2,-4.1
191102,13.8,-0.5
191202,13.5,-0.8
191302,8.8,-5.5
191402,10.4,-3.9
191502,15.6,1.3
191602,14.7,0.4
191702,13.8,-0.5
191802,13.6,-0.7
191902,10.3,-4.0
192002,16.6,2.3
192102,15.9,1.6
192202,11.7,-2.6
192302,9.3,-5.0
192402,17.6,3.3
192502,17.3,3.0
192602,18.3,4.0
192702,17,2.7
192802,13.3,-1.0
192902,5,-9.3
193002,18.7,4.4
193102,19.2,4.9
193202,18.1,3.8
193302,4.2,-10.1
193402,20.4,6.1
193502,15.2,0.9
193602,10.7,-3.6
193702,11.2,-3.1
193802,16.6,2.3
193902,4.2,-10.1
194002,16.5,2.2
194102,17.4,3.1
194202,7.7,-6.6
194302,16.6,2.3
194402,13.9,-0.4
194502,18.3,4.0
194602,13.3,-1.0
194702,14.1,-0.2
194802,11.3,-3.0
194902,9.8,-4.5
195002,16.8,2.5
195102,15.3,1.0
195202,12.6,-1.7
195302,13.3,-1.0
195402,21.4,7.1
195502,6.9,-7.4
195602,9.1,-5.2
195702,20,5.7
195802,19.3,5.0
195902,15,0.7
196002,8.3,-6.0
196102,16.4,2.1
196202,17.9,3.6
196302,18.6,4.3
196402,8.1,-6.2
196502,11.2,-3.1
196602,9.4,-4.9
196702,14.8,0.5
196802,16.1,1.8
196902,15,0.7
197002,17.6,3.3
197102,14.7,0.4
197202,16.6,2.3
197302,13,-1.3
197402,10.7,-3.6
197502,12,-2.3
197602,19.2,4.9
197702,16.1,1.8
197802,14.2,-0.1
197902,12.1,-2.2
198002,17.2,2.9
198102,15.1,0.8
198202,12.3,-2.0
198302,18.6,4.3
198402,12.9,-1.4
198502,10,-4.3
198602,19.5,5.2
198702,18.7,4.4
198802,14.3,0.0
198902,10.2,-4.1
199002,15.5,1.2
199102,17.7,3.4
199202,19.5,5.2
199302,14.5,0.2
199402,13.1,-1.2
199502,20.9,6.6
199602,16.7,2.4
199702,14.9,0.6
199802,18.6,4.3
199902,18.9,4.6
200002,21.1,6.8
200102,16.7,2.4
200202,12.2,-2.1
200302,14.5,0.2
200402,13.7,-0.6
200502,19,4.7
200602,13.4,-0.9
200702,16.3,2.0
200802,15,0.7
200902,18.6,4.3
201002,12.9,-1.4
201102,10.6,-3.7
201202,15.4,1.1
201302,12.6,-1.7
201402,15.8,1.5
201502,19.4,5.1
