Kansas, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,12.7,-4.5
189601,21,3.8
189701,16.7,-0.5
189801,19.9,2.7
189901,16.1,-1.1
190001,22.2,5.0
190101,17.8,0.6
190201,16.1,-1.1
190301,20,2.8
190401,14.8,-2.4
190501,10.4,-6.8
190601,21.3,4.1
190701,20.2,3.0
190801,21.2,4.0
190901,17.6,0.4
191001,19.1,1.9
191101,19.5,2.3
191201,7.7,-9.5
191301,15.3,-1.9
191401,25.4,8.2
191501,16.6,-0.6
191601,13.1,-4.1
191701,16.8,-0.4
191801,6.1,-11.1
191901,17.6,0.4
192001,19.4,2.2
192101,24.7,7.5
192201,14.7,-2.5
192301,22.9,5.7
192401,11.9,-5.3
192501,12.3,-4.9
192601,20.8,3.6
192701,19,1.8
192801,19.9,2.7
192901,12.8,-4.4
193001,5.5,-11.7
193101,21.7,4.5
193201,18,0.8
193301,23.1,5.9
193401,22.5,5.3
193501,20.8,3.6
193601,14.9,-2.3
193701,9.4,-7.8
193801,20.6,3.4
193901,24.9,7.7
194001,4.2,-13.0
194101,23,5.8
194201,16.8,-0.4
194301,16.7,-0.5
194401,21.5,4.3
194501,20.9,3.7
194601,20.8,3.6
194701,18.8,1.6
194801,15.3,-1.9
194901,11.7,-5.5
195001,15,-2.2
195101,16.4,-0.8
195201,20.2,3.0
195301,23,5.8
195401,16.1,-1.1
195501,19.8,2.6
195601,16.4,-0.8
195701,13.1,-4.1
195801,20.5,3.3
195901,13.6,-3.6
196001,17.6,0.4
196101,15.7,-1.5
196201,12.7,-4.5
196301,7.8,-9.4
196401,19.4,2.2
196501,19.7,2.5
196601,13.7,-3.5
196701,19.5,2.3
196801,17.4,0.2
196901,18.4,1.2
197001,14.1,-3.1
197101,15,-2.2
197201,15.2,-2.0
197301,17.9,0.7
197401,14.2,-3.0
197501,20.4,3.2
197601,17.3,0.1
197701,9.5,-7.7
197801,8.9,-8.3
197901,5.4,-11.8
198001,19.6,2.4
198101,19.6,2.4
198201,12.1,-5.1
198301,22.3,5.1
198401,16,-1.2
198501,13,-4.2
198601,22.9,5.7
198701,20.5,3.3
198801,14.6,-2.6
198901,22.6,5.4
199001,23.3,6.1
199101,15.4,-1.8
199201,25.3,8.1
199301,16.6,-0.6
199401,17.5,0.3
199501,20.1,2.9
199601,14.1,-3.1
199701,16.1,-1.1
199801,23.1,5.9
199901,20.6,3.4
200001,21.1,3.9
200101,20.1,2.9
200201,20.2,3.0
200301,19.3,2.1
200401,18.5,1.3
200501,20.7,3.5
200601,27.1,9.9
200701,17.3,0.1
200801,17.9,0.7
200901,18,0.8
201001,17.6,0.4
201101,15.2,-2.0
201201,22.5,5.3
201301,20.2,3.0
201401,16,-1.2
201501,19.4,2.2
201601,21.1,3.9
