Missouri, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,13.4,-6.2
189601,22.9,3.3
189701,18.7,-0.9
189801,25.3,5.7
189901,19.7,0.1
190001,23.7,4.1
190101,23.4,3.8
190201,19.4,-0.2
190301,21.6,2.0
190401,16.1,-3.5
190501,12.1,-7.5
190601,23.3,3.7
190701,25.2,5.6
190801,21.6,2.0
190901,22.2,2.6
191001,21.5,1.9
191101,23.6,4.0
191201,8.5,-11.1
191301,20.8,1.2
191401,26.2,6.6
191501,17.9,-1.7
191601,19.8,0.2
191701,20.9,1.3
191801,4.9,-14.7
191901,22.1,2.5
192001,18.1,-1.5
192101,27.1,7.5
192201,17.8,-1.8
192301,27.9,8.3
192401,13.4,-6.2
192501,18.6,-1.0
192601,21.8,2.2
192701,20.4,0.8
192801,21.8,2.2
192901,13.2,-6.4
193001,10.1,-9.5
193101,24.3,4.7
193201,26.6,7.0
193301,29,9.4
193401,25.2,5.6
193501,23.1,3.5
193601,13.7,-5.9
193701,17.7,-1.9
193801,21.4,1.8
193901,27.4,7.8
194001,4.2,-15.4
194101,25,5.4
194201,18.6,-1.0
194301,18.2,-1.4
194401,23.5,3.9
194501,20.1,0.5
194601,22.4,2.8
194701,23.6,4.0
194801,14.4,-5.2
194901,20.9,1.3
195001,23.1,3.5
195101,20.4,0.8
195201,24,4.4
195301,24.9,5.3
195401,19.3,-0.3
195501,22.1,2.5
195601,17.9,-1.7
195701,16.6,-3.0
195801,20.8,1.2
195901,15.7,-3.9
196001,22.8,3.2
196101,16.3,-3.3
196201,13.8,-5.8
196301,10.7,-8.9
196401,22,2.4
196501,20.9,1.3
196601,15.8,-3.8
196701,21.9,2.3
196801,19,-0.6
196901,19.4,-0.2
197001,13.5,-6.1
197101,16.9,-2.7
197201,18.7,-0.9
197301,21,1.4
197401,19.9,0.3
197501,23.3,3.7
197601,18.2,-1.4
197701,5.4,-14.2
197801,10.7,-8.9
197901,6.9,-12.7
198001,22.4,2.8
198101,19.6,0.0
198201,11.8,-7.8
198301,24,4.4
198401,16.8,-2.8
198501,12,-7.6
198601,21.8,2.2
198701,22,2.4
198801,17.7,-1.9
198901,27.7,8.1
199001,27.9,8.3
199101,18.8,-0.8
199201,26.2,6.6
199301,21.1,1.5
199401,18,-1.6
199501,20.8,1.2
199601,17.6,-2.0
199701,16,-3.6
199801,27.7,8.1
199901,22.1,2.5
200001,23,3.4
200101,20.3,0.7
200201,24.3,4.7
200301,17.6,-2.0
200401,20.4,0.8
200501,25.4,5.8
200601,31.1,11.5
200701,22.7,3.1
200801,20,0.4
200901,17.3,-2.3
201001,17.8,-1.8
201101,17.2,-2.4
201201,25.1,5.5
201301,23.6,4.0
201401,13.8,-5.8
201501,20.7,1.1
201601,21.5,1.9
