South Dakota, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,49,-4.0
189606,53,0.0
189706,52,-1.0
189806,52.8,-0.2
189906,52,-1.0
190006,54.4,1.4
190106,53.1,0.1
190206,49,-4.0
190306,50.5,-2.5
190406,51,-2.0
190506,51,-2.0
190606,50.9,-2.1
190706,51.4,-1.6
190806,51.2,-1.8
190906,54.8,1.8
191006,54.1,1.1
191106,57.3,4.3
191206,50.9,-2.1
191306,55.8,2.8
191406,54.3,1.3
191506,48.6,-4.4
191606,48.9,-4.1
191706,48.6,-4.4
191806,55.1,2.1
191906,56.6,3.6
192006,53.2,0.2
192106,58.4,5.4
192206,54.8,1.8
192306,55,2.0
192406,49.9,-3.1
192506,52.8,-0.2
192606,50.9,-2.1
192706,51.2,-1.8
192806,47.7,-5.3
192906,50.6,-2.4
193006,51.5,-1.5
193106,58.8,5.8
193206,55.5,2.5
193306,59.7,6.7
193406,54.9,1.9
193506,50.8,-2.2
193606,55.4,2.4
193706,52.3,-0.7
193806,54.2,1.2
193906,52.7,-0.3
194006,53,0.0
194106,54.4,1.4
194206,52.6,-0.4
194306,53,0.0
194406,52.4,-0.6
194506,48.2,-4.8
194606,52.7,-0.3
194706,50.3,-2.7
194806,52.4,-0.6
194906,53.1,0.1
195006,50.5,-2.5
195106,47.8,-5.2
195206,55.5,2.5
195306,55.4,2.4
195406,52.6,-0.4
195506,51.6,-1.4
195606,57.4,4.4
195706,51.3,-1.7
195806,49.8,-3.2
195906,56,3.0
196006,52.2,-0.8
196106,53.9,0.9
196206,53.9,0.9
196306,56.5,3.5
196406,52.8,-0.2
196506,53.9,0.9
196606,53.1,0.1
196706,52.1,-0.9
196806,53.1,0.1
196906,47.9,-5.1
197006,54.6,1.6
197106,56.6,3.6
197206,53.6,0.6
197306,52.8,-0.2
197406,51.2,-1.8
197506,53,0.0
197606,53.4,0.4
197706,55.8,2.8
197806,52.3,-0.7
197906,52.6,-0.4
198006,54.4,1.4
198106,52.6,-0.4
198206,49.5,-3.5
198306,52.1,-0.9
198406,53.6,0.6
198506,49.2,-3.8
198606,56.3,3.3
198706,55.3,2.3
198806,60.6,7.6
198906,50.6,-2.4
199006,54.6,1.6
199106,58.5,5.5
199206,51.5,-1.5
199306,50.6,-2.4
199406,55.2,2.2
199506,54.5,1.5
199606,55,2.0
199706,55.7,2.7
199806,50.6,-2.4
199906,53.8,0.8
200006,51.4,-1.6
200106,53.9,0.9
200206,56.1,3.1
200306,52,-1.0
200406,49.4,-3.6
200506,56.8,3.8
200606,55,2.0
200706,55.8,2.8
200806,51.6,-1.4
200906,51.8,-1.2
201006,54.7,1.7
201106,53,0.0
201206,56.5,3.5
201306,53.4,0.4
201406,52.8,-0.2
201506,55.8,2.8
