Delaware, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,30.2,-2.5
189603,27.7,-5.0
189703,34,1.3
189803,37.3,4.6
189903,32,-0.7
190003,27.9,-4.8
190103,33.3,0.6
190203,35,2.3
190303,38.8,6.1
190403,30.9,-1.8
190503,32.8,0.1
190603,29.2,-3.5
190703,33.5,0.8
190803,35.4,2.7
190903,30.8,-1.9
191003,35.9,3.2
191103,28.2,-4.5
191203,30.5,-2.2
191303,36.7,4.0
191403,27.7,-5.0
191503,27.2,-5.5
191603,26.1,-6.6
191703,32.1,-0.6
191803,33.2,0.5
191903,35.3,2.6
192003,31.2,-1.5
192103,41.8,9.1
192203,34.7,2.0
192303,31.5,-1.2
192403,31.4,-1.3
192503,33.5,0.8
192603,27.1,-5.6
192703,33.8,1.1
192803,31.3,-1.4
192903,37.7,5.0
193003,31.1,-1.6
193103,31.8,-0.9
193203,29.1,-3.6
193303,31.4,-1.3
193403,28,-4.7
193503,35.7,3.0
193603,37.4,4.7
193703,29.4,-3.3
193803,34.8,2.1
193903,32.6,-0.1
194003,28.7,-4.0
194103,26.6,-6.1
194203,34.2,1.5
194303,31.4,-1.3
194403,30.6,-2.1
194503,39.5,6.8
194603,38.3,5.6
194703,27.3,-5.4
194803,34.5,1.8
194903,33.7,1.0
195003,29,-3.7
195103,32.7,0.0
195203,31.6,-1.1
195303,34.6,1.9
195403,32.3,-0.4
195503,34.2,1.5
195603,30.5,-2.2
195703,33.5,0.8
195803,31.4,-1.3
195903,31,-1.7
196003,23.1,-9.6
196103,34.6,1.9
196203,30.9,-1.8
196303,34.7,2.0
196403,33.2,0.5
196503,30,-2.7
196603,32.7,0.0
196703,30.5,-2.2
196803,33.8,1.1
196903,29.4,-3.3
197003,30,-2.7
197103,31,-1.7
197203,32.3,-0.4
197303,38.2,5.5
197403,34.3,1.6
197503,32.1,-0.6
197603,35.3,2.6
197703,38.2,5.5
197803,30.3,-2.4
197903,34.8,2.1
198003,31.4,-1.3
198103,30.9,-1.8
198203,32.3,-0.4
198303,36.7,4.0
198403,29.2,-3.5
198503,35.1,2.4
198603,33.1,0.4
198703,33.8,1.1
198803,33.3,0.6
198903,33.4,0.7
199003,36.3,3.6
199103,36.8,4.1
199203,32.7,0.0
199303,31.3,-1.4
199403,33.1,0.4
199503,34.8,2.1
199603,29.8,-2.9
199703,35.3,2.6
199803,36.5,3.8
199903,31.8,-0.9
200003,37.6,4.9
200103,31.7,-1.0
200203,35.9,3.2
200303,34.2,1.5
200403,36.6,3.9
200503,31.4,-1.3
200603,33.7,1.0
200703,33.6,0.9
200803,34.9,2.2
200903,33.1,0.4
201003,38.3,5.6
201103,34.3,1.6
201203,41.8,9.1
201303,32,-0.7
201403,29.2,-3.5
201503,29.6,-3.1
