South Carolina, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,33.2,-1.2
189612,31.9,-2.5
189712,35.7,1.3
189812,34.8,0.4
189912,33,-1.4
190012,33.8,-0.6
190112,30.7,-3.7
190212,34.8,0.4
190312,27.3,-7.1
190412,32.6,-1.8
190512,33.5,-0.9
190612,35.5,1.1
190712,33.8,-0.6
190812,38,3.6
190912,29.7,-4.7
191012,28.7,-5.7
191112,37,2.6
191212,37,2.6
191312,36.1,1.7
191412,35,0.6
191512,30.9,-3.5
191612,33.1,-1.3
191712,26.4,-8.0
191812,40.2,5.8
191912,33.6,-0.8
192012,34.5,0.1
192112,36.8,2.4
192212,40.5,6.1
192312,41,6.6
192412,36.5,2.1
192512,33.9,-0.5
192612,37.5,3.1
192712,34.4,0.0
192812,34.3,-0.1
192912,33.6,-0.8
193012,31.3,-3.1
193112,42.2,7.8
193212,39.3,4.9
193312,40.1,5.7
193412,33.3,-1.1
193512,26.9,-7.5
193612,38,3.6
193712,32.1,-2.3
193812,33.8,-0.6
193912,33.2,-1.2
194012,37.3,2.9
194112,36.6,2.2
194212,33.9,-0.5
194312,32.6,-1.8
194412,29.2,-5.2
194512,30.1,-4.3
194612,36.1,1.7
194712,33.7,-0.7
194812,38.5,4.1
194912,36.1,1.7
195012,29.6,-4.8
195112,36.9,2.5
195212,32.9,-1.5
195312,35.1,0.7
195412,31.1,-3.3
195512,31.5,-2.9
195612,41.9,7.5
195712,34.7,0.3
195812,29.6,-4.8
195912,34.3,-0.1
196012,26.6,-7.8
196112,34.2,-0.2
196212,30.6,-3.8
196312,27.2,-7.2
196412,37.7,3.3
196512,32.7,-1.7
196612,33,-1.4
196712,37.7,3.3
196812,30,-4.4
196912,30.5,-3.9
197012,36,1.6
197112,44.4,10.0
197212,40,5.6
197312,34.1,-0.3
197412,35.6,1.2
197512,33.4,-1.0
197612,31.7,-2.7
197712,34,-0.4
197812,34.7,0.3
197912,33.3,-1.1
198012,32,-2.4
198112,31.6,-2.8
198212,41,6.6
198312,32.9,-1.5
198412,40.3,5.9
198512,31,-3.4
198612,36.5,2.1
198712,37.3,2.9
198812,32,-2.4
198912,28,-6.4
199012,40.3,5.9
199112,37.6,3.2
199212,36.1,1.7
199312,32.9,-1.5
199412,40.3,5.9
199512,31.4,-3.0
199612,35.9,1.5
199712,35.5,1.1
199812,40.9,6.5
199912,34.4,0.0
200012,28.1,-6.3
200112,39.8,5.4
200212,33.4,-1.0
200312,30.2,-4.2
200412,33.1,-1.3
200512,32.6,-1.8
200612,38.6,4.2
200712,40.4,6.0
200812,40.1,5.7
200912,34.8,0.4
201012,27,-7.4
201112,38.5,4.1
201212,41.2,6.8
201312,38.9,4.5
201412,38.3,3.9
201512,48.7,14.3
