New Jersey, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,18.1,-2.9
189601,18.6,-2.4
189701,18.7,-2.3
189801,23.3,2.3
189901,18.6,-2.4
190001,20.4,-0.6
190101,21.5,0.5
190201,18.1,-2.9
190301,20.3,-0.7
190401,13,-8.0
190501,17.1,-3.9
190601,26.6,5.6
190701,21.6,0.6
190801,21.2,0.2
190901,23,2.0
191001,19.7,-1.3
191101,23.5,2.5
191201,12,-9.0
191301,28.8,7.8
191401,22,1.0
191501,23.5,2.5
191601,24.4,3.4
191701,21.1,0.1
191801,10.5,-10.5
191901,23.7,2.7
192001,14.4,-6.6
192101,22.5,1.5
192201,17.5,-3.5
192301,21.3,0.3
192401,20.7,-0.3
192501,17.3,-3.7
192601,20.4,-0.6
192701,19.7,-1.3
192801,21.4,0.4
192901,20.7,-0.3
193001,21.9,0.9
193101,21.5,0.5
193201,33.2,12.2
193301,28.3,7.3
193401,23.8,2.8
193501,18,-3.0
193601,17.4,-3.6
193701,29.8,8.8
193801,21.3,0.3
193901,21,0.0
194001,11.9,-9.1
194101,20.4,-0.6
194201,18.5,-2.5
194301,21.2,0.2
194401,22.8,1.8
194501,14.3,-6.7
194601,22.5,1.5
194701,26.7,5.7
194801,14.2,-6.8
194901,28.5,7.5
195001,30.3,9.3
195101,24.1,3.1
195201,25.5,4.5
195301,26.9,5.9
195401,19.3,-1.7
195501,20.4,-0.6
195601,22.3,1.3
195701,17.7,-3.3
195801,21.2,0.2
195901,19.8,-1.2
196001,24.7,3.7
196101,13.8,-7.2
196201,20,-1.0
196301,17.7,-3.3
196401,21.2,0.2
196501,17.6,-3.4
196601,20,-1.0
196701,25.8,4.8
196801,16.2,-4.8
196901,20.4,-0.6
197001,13.6,-7.4
197101,16.4,-4.6
197201,23.4,2.4
197301,23.5,2.5
197401,24.8,3.8
197501,25.9,4.9
197601,17.1,-3.9
197701,10.4,-10.6
197801,18.3,-2.7
197901,22.5,1.5
198001,22.5,1.5
198101,13.7,-7.3
198201,12.8,-8.2
198301,23.4,2.4
198401,16.6,-4.4
198501,17.2,-3.8
198601,21.2,0.2
198701,21.6,0.6
198801,15.1,-5.9
198901,25.2,4.2
199001,29.4,8.4
199101,22.4,1.4
199201,23.9,2.9
199301,27.3,6.3
199401,14.9,-6.1
199501,28.2,7.2
199601,19.9,-1.1
199701,21.8,0.8
199801,30.9,9.9
199901,23.2,2.2
200001,20.9,-0.1
200101,20.8,-0.2
200201,28.2,7.2
200301,18.9,-2.1
200401,17.1,-3.9
200501,22.1,1.1
200601,29.1,8.1
200701,28.3,7.3
200801,25.6,4.6
200901,18.8,-2.2
201001,23.2,2.2
201101,19,-2.0
201201,26.4,5.4
201301,26,5.0
201401,16.1,-4.9
201501,19.5,-1.5
201601,22.2,1.2
