Utah, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,45.2,-1.0
189609,46.6,0.4
189709,48,1.8
189809,43.1,-3.1
189909,46,-0.2
190009,42.2,-4.0
190109,42.2,-4.0
190209,44,-2.2
190309,43.2,-3.0
190409,45.6,-0.6
190509,45.8,-0.4
190609,45.5,-0.7
190709,43.7,-2.5
190809,44.6,-1.6
190909,46,-0.2
191009,48.7,2.5
191109,46.7,0.5
191209,39.5,-6.7
191309,45.5,-0.7
191409,45.7,-0.5
191509,45.2,-1.0
191609,43,-3.2
191709,46,-0.2
191809,47,0.8
191909,48.1,1.9
192009,44.5,-1.7
192109,43.7,-2.5
192209,48.1,1.9
192309,44.6,-1.6
192409,43.9,-2.3
192509,45.7,-0.5
192609,43.3,-2.9
192709,46.5,0.3
192809,45.3,-0.9
192909,45.9,-0.3
193009,46.2,0.0
193109,47.2,1.0
193209,45.1,-1.1
193309,48.8,2.6
193409,44.7,-1.5
193509,48,1.8
193609,44.8,-1.4
193709,48.7,2.5
193809,49.7,3.5
193909,49.1,2.9
194009,50.3,4.1
194109,43,-3.2
194209,44.2,-2.0
194309,47.9,1.7
194409,46.2,0.0
194509,44.2,-2.0
194609,45.8,-0.4
194709,48.3,2.1
194809,47.2,1.0
194909,47.2,1.0
195009,46.1,-0.1
195109,45,-1.2
195209,47.8,1.6
195309,46.6,0.4
195409,47.7,1.5
195509,46.5,0.3
195609,46.6,0.4
195709,44,-2.2
195809,47.6,1.4
195909,46,-0.2
196009,49.7,3.5
196109,43.4,-2.8
196209,46.8,0.6
196309,50,3.8
196409,44.1,-2.1
196509,41.8,-4.4
196609,48.2,2.0
196709,48.2,2.0
196809,43.5,-2.7
196909,49.2,3.0
197009,42.1,-4.1
197109,42.2,-4.0
197209,46,-0.2
197309,43.6,-2.6
197409,45,-1.2
197509,45.4,-0.8
197609,47.8,1.6
197709,47.9,1.7
197809,45.2,-1.0
197909,48.2,2.0
198009,46.6,0.4
198109,49.6,3.4
198209,48.5,2.3
198309,49,2.8
198409,47.1,0.9
198509,43.5,-2.7
198609,44.1,-2.1
198709,46.1,-0.1
198809,45.1,-1.1
198909,46.7,0.5
199009,51.6,5.4
199109,47.5,1.3
199209,47.5,1.3
199309,44.9,-1.3
199409,48.8,2.6
199509,47.7,1.5
199609,45,-1.2
199709,49.6,3.4
199809,50,3.8
199909,45.1,-1.1
200009,47.3,1.1
200109,49.3,3.1
200209,47.9,1.7
200309,46.9,0.7
200409,45.7,-0.5
200509,46,-0.2
200609,43.7,-2.5
200709,47.3,1.1
200809,46.5,0.3
200909,49.4,3.2
201009,47.1,0.9
201109,48.7,2.5
201209,49,2.8
201309,49.3,3.1
201409,50.6,4.4
201509,51.1,4.9
