Oregon, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,20,-2.9
189601,26.7,3.8
189701,24.4,1.5
189801,19.5,-3.4
189901,27.3,4.4
190001,28.2,5.3
190101,22.8,-0.1
190201,20.7,-2.2
190301,24.1,1.2
190401,24.3,1.4
190501,25.1,2.2
190601,23.2,0.3
190701,18.3,-4.6
190801,25.8,2.9
190901,21.8,-1.1
191001,17.5,-5.4
191101,22.2,-0.7
191201,23.7,0.8
191301,18.9,-4.0
191401,28.5,5.6
191501,21.5,-1.4
191601,14.3,-8.6
191701,16.2,-6.7
191801,28.6,5.7
191901,21.9,-1.0
192001,22.4,-0.5
192101,24,1.1
192201,13.3,-9.6
192301,26.1,3.2
192401,18.9,-4.0
192501,27.7,4.8
192601,23.7,0.8
192701,24,1.1
192801,24.4,1.5
192901,16.1,-6.8
193001,9.9,-13.0
193101,24.8,1.9
193201,21,-1.9
193301,21.4,-1.5
193401,30.9,8.0
193501,22.7,-0.2
193601,25.5,2.6
193701,7.1,-15.8
193801,26.5,3.6
193901,25.8,2.9
194001,25.8,2.9
194101,26.7,3.8
194201,19.4,-3.5
194301,19.6,-3.3
194401,20,-2.9
194501,25.8,2.9
194601,23,0.1
194701,18.9,-4.0
194801,23.3,0.4
194901,5.5,-17.4
195001,15.5,-7.4
195101,23.1,0.2
195201,19.9,-3.0
195301,32.9,10.0
195401,26.2,3.3
195501,20.7,-2.2
195601,25.6,2.7
195701,13.6,-9.3
195801,27.1,4.2
195901,28.3,5.4
196001,20.4,-2.5
196101,26.1,3.2
196201,18.1,-4.8
196301,17.1,-5.8
196401,24.6,1.7
196501,27.2,4.3
196601,25.5,2.6
196701,29,6.1
196801,23.6,0.7
196901,21.7,-1.2
197001,28,5.1
197101,26.2,3.3
197201,22,-0.9
197301,22.4,-0.5
197401,21.1,-1.8
197501,24.4,1.5
197601,25.7,2.8
197701,17.7,-5.2
197801,29.4,6.5
197901,13.5,-9.4
198001,22.4,-0.5
198101,29.2,6.3
198201,22,-0.9
198301,29,6.1
198401,22.7,-0.2
198501,19.2,-3.7
198601,28.2,5.3
198701,21.5,-1.4
198801,22.6,-0.3
198901,22.5,-0.4
199001,27.5,4.6
199101,22.3,-0.6
199201,27.5,4.6
199301,18.8,-4.1
199401,28.5,5.6
199501,29.4,6.5
199601,26.8,3.9
199701,25.2,2.3
199801,29.3,6.4
199901,27.1,4.2
200001,25.8,2.9
200101,24.2,1.3
200201,25,2.1
200301,32.2,9.3
200401,25.6,2.7
200501,26.5,3.6
200601,28.7,5.8
200701,20.6,-2.3
200801,20.8,-2.1
200901,25.4,2.5
201001,31,8.1
201101,25.8,2.9
201201,25.6,2.7
201301,21,-1.9
201401,27.5,4.6
201501,29.9,7.0
201601,26.2,3.3
