Indiana, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,60.5,-0.1
189608,61.3,0.7
189708,57.9,-2.7
189808,62.2,1.6
189908,62.8,2.2
190008,66.4,5.8
190108,61.5,0.9
190208,58.4,-2.2
190308,59.4,-1.2
190408,56.8,-3.8
190508,61.5,0.9
190608,63.8,3.2
190708,58.8,-1.8
190808,59.3,-1.3
190908,61.5,0.9
191008,57.7,-2.9
191108,60.4,-0.2
191208,59.7,-0.9
191308,62.5,1.9
191408,61.4,0.8
191508,57.2,-3.4
191608,62.9,2.3
191708,58.6,-2.0
191808,65.3,4.7
191908,58.8,-1.8
192008,58.6,-2.0
192108,60.7,0.1
192208,59.4,-1.2
192308,59.7,-0.9
192408,59.6,-1.0
192508,59.1,-1.5
192608,63.9,3.3
192708,54,-6.6
192808,61.7,1.1
192908,57.3,-3.3
193008,59.4,-1.2
193108,61,0.4
193208,60,-0.6
193308,58.7,-1.9
193408,61.2,0.6
193508,63,2.4
193608,64.9,4.3
193708,63.1,2.5
193808,63,2.4
193908,60,-0.6
194008,61.8,1.2
194108,60,-0.6
194208,60.6,0.0
194308,62.2,1.6
194408,61.8,1.2
194508,59.7,-0.9
194608,55.9,-4.7
194708,67.3,6.7
194808,59.4,-1.2
194908,61.3,0.7
195008,57.9,-2.7
195108,59.1,-1.5
195208,59.1,-1.5
195308,59.5,-1.1
195408,61.8,1.2
195508,63.1,2.5
195608,60.7,0.1
195708,59.7,-0.9
195808,60.1,-0.5
195908,65.4,4.8
196008,62.2,1.6
196108,60.4,-0.2
196208,59,-1.6
196308,57.2,-3.4
196408,58,-2.6
196508,58.7,-1.9
196608,58.2,-2.4
196708,56.1,-4.5
196808,62.7,2.1
196908,59.2,-1.4
197008,60.7,0.1
197108,57.8,-2.8
197208,60.9,0.3
197308,62.3,1.7
197408,60.8,0.2
197508,64.6,4.0
197608,57,-3.6
197708,61.7,1.1
197808,61.3,0.7
197908,61.7,1.1
198008,65.2,4.6
198108,61,0.4
198208,58.5,-2.1
198308,65.1,4.5
198408,61.7,1.1
198508,60.4,-0.2
198608,57.4,-3.2
198708,62.4,1.8
198808,64.5,3.9
198908,61.1,0.5
199008,60,-0.6
199108,61.7,1.1
199208,57.2,-3.4
199308,63.1,2.5
199408,58.1,-2.5
199508,67.7,7.1
199608,61.7,1.1
199708,59.6,-1.0
199808,63.3,2.7
199908,58.9,-1.7
200008,61.4,0.8
200108,63.3,2.7
200208,64,3.4
200308,63.2,2.6
200408,58.1,-2.5
200508,64.4,3.8
200608,63.6,3.0
200708,65.1,4.5
200808,59.6,-1.0
200908,60.2,-0.4
201008,64.1,3.5
201108,61.2,0.6
201208,59.1,-1.5
201308,60.4,-0.2
201408,62.4,1.8
201508,59.6,-1.0
