Wisconsin, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,53.3,1.1
189606,52.6,0.4
189706,49.9,-2.3
189806,53.4,1.2
189906,52.9,0.7
190006,50.9,-1.3
190106,53.2,1.0
190206,49.1,-3.1
190306,47.5,-4.7
190406,50.8,-1.4
190506,51.4,-0.8
190606,51.8,-0.4
190706,50.6,-1.6
190806,51.2,-1.0
190906,52.3,0.1
191006,51.2,-1.0
191106,56.5,4.3
191206,48.6,-3.6
191306,53.1,0.9
191406,51.6,-0.6
191506,47.4,-4.8
191606,48.7,-3.5
191706,47.9,-4.3
191806,51.2,-1.0
191906,58,5.8
192006,53.4,1.2
192106,57.3,5.1
192206,53.6,1.4
192306,55.9,3.7
192406,48.9,-3.3
192506,53.7,1.5
192606,47.5,-4.7
192706,49,-3.2
192806,48,-4.2
192906,49.5,-2.7
193006,53.5,1.3
193106,56.7,4.5
193206,54.4,2.2
193306,58.8,6.6
193406,55.4,3.2
193506,49.5,-2.7
193606,49,-3.2
193706,51.6,-0.6
193806,52.2,0.0
193906,54.6,2.4
194006,52.4,0.2
194106,54.4,2.2
194206,53.2,1.0
194306,56.3,4.1
194406,55.1,2.9
194506,48.1,-4.1
194606,51.4,-0.8
194706,49.5,-2.7
194806,51.3,-0.9
194906,55.8,3.6
195006,51.6,-0.6
195106,49.5,-2.7
195206,54.4,2.2
195306,54.1,1.9
195406,55.2,3.0
195506,52.2,0.0
195606,54.7,2.5
195706,52.7,0.5
195806,47,-5.2
195906,53.9,1.7
196006,49.5,-2.7
196106,51.5,-0.7
196206,51.6,-0.6
196306,52.8,0.6
196406,52,-0.2
196506,50.3,-1.9
196606,52.6,0.4
196706,53.4,1.2
196806,52.6,0.4
196906,47,-5.2
197006,53.9,1.7
197106,55.9,3.7
197206,48.9,-3.3
197306,54.6,2.4
197406,49,-3.2
197506,53.9,1.7
197606,53.3,1.1
197706,51.2,-1.0
197806,51.2,-1.0
197906,51.1,-1.1
198006,51,-1.2
198106,53.3,1.1
198206,46.3,-5.9
198306,52.5,0.3
198406,54.7,2.5
198506,48.9,-3.3
198606,51.7,-0.5
198706,55.2,3.0
198806,53.3,1.1
198906,50.9,-1.3
199006,53.6,1.4
199106,56.8,4.6
199206,49.4,-2.8
199306,51.1,-1.1
199406,54.3,2.1
199506,56.3,4.1
199606,54.1,1.9
199706,53.8,1.6
199806,52.9,0.7
199906,54.2,2.0
200006,52.1,-0.1
200106,53.7,1.5
200206,55.6,3.4
200306,51.1,-1.1
200406,50.7,-1.5
200506,57.8,5.6
200606,52.6,0.4
200706,54.5,2.3
200806,53.6,1.4
200906,52.4,0.2
201006,55.1,2.9
201106,53.4,1.2
201206,54.6,2.4
201306,53.5,1.3
201406,55.7,3.5
201506,52.6,0.4
