Alaska, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
192501,-18.3,-13.5
192601,9,13.8
192701,-2.2,2.6
192801,.6,5.4
192901,5.5,10.3
193001,2.1,6.9
193101,1.4,6.2
193201,-14.6,-9.8
193301,-17.1,-12.3
193401,-19.4,-14.6
193501,-6.4,-1.6
193601,-1.5,3.3
193701,7.3,12.1
193801,-11.3,-6.5
193901,-8.5,-3.7
194001,1.3,6.1
194101,-8.2,-3.4
194201,4.6,9.4
194301,-15.2,-10.4
194401,-3.9,0.9
194501,7.6,12.4
194601,0,4.8
194701,-17.8,-13.0
194801,-3.4,1.4
194901,-5.1,-0.3
195001,-2.1,2.7
195101,-13.8,-9.0
195201,-12.1,-7.3
195301,-11.7,-6.9
195401,-11.2,-6.4
195501,1.7,6.5
195601,-13.7,-8.9
195701,2.6,7.4
195801,-2.6,2.2
195901,-9.3,-4.5
196001,-1.8,3.0
196101,3.5,8.3
196201,-4.5,0.3
196301,5,9.8
196401,-6.6,-1.8
196501,-9.1,-4.3
196601,-8.8,-4.0
196701,-6.8,-2.0
196801,-4.7,0.1
196901,-10.9,-6.1
197001,-13,-8.2
197101,-19.6,-14.8
197201,-11.4,-6.6
197301,-13.6,-8.8
197401,-9.3,-4.5
197501,-11.5,-6.7
197601,-5.6,-0.8
197701,11.8,16.6
197801,6.7,11.5
197901,4.3,9.1
198001,-9.8,-5.0
198101,13.7,18.5
198201,-8.3,-3.5
198301,-7.7,-2.9
198401,-3.5,1.3
198501,12.9,17.7
198601,-.2,4.6
198701,1.7,6.5
198801,1.3,6.1
198901,-18.9,-14.1
199001,-8.2,-3.4
199101,-3.2,1.6
199201,.7,5.5
199301,-4,0.8
199401,1.7,6.5
199501,-1.5,3.3
199601,-8.9,-4.1
199701,-7.2,-2.4
199801,-5.9,-1.1
199901,-11,-6.2
200001,-6.1,-1.3
200101,9.8,14.6
200201,3,7.8
200301,3.3,8.1
200401,-7.5,-2.7
200501,-.1,4.7
200601,-10.9,-6.1
200701,-1.1,3.7
200801,-6.8,-2.0
200901,-7.2,-2.4
201001,-4.5,0.3
201101,.2,5.0
201201,-20.2,-15.4
201301,3.9,8.7
201401,12.8,17.6
201501,.8,5.6
201601,11.3,16.1
