Oklahoma, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,68.1,-0.3
189608,68.7,0.3
189708,65.4,-3.0
189808,66.2,-2.2
189908,70.4,2.0
190008,69.2,0.8
190108,68,-0.4
190208,69,0.6
190308,68.1,-0.3
190408,66.9,-1.5
190508,67.8,-0.6
190608,66.9,-1.5
190708,69.5,1.1
190808,67.4,-1.0
190908,69.8,1.4
191008,69.3,0.9
191108,67.6,-0.8
191208,68.3,-0.1
191308,70,1.6
191408,68.3,-0.1
191508,63.2,-5.2
191608,69.5,1.1
191708,66.2,-2.2
191808,70.7,2.3
191908,69,0.6
192008,65,-3.4
192108,69.8,1.4
192208,69.6,1.2
192308,69.7,1.3
192408,71.2,2.8
192508,67.2,-1.2
192608,68.2,-0.2
192708,66.5,-1.9
192808,68.7,0.3
192908,68.9,0.5
193008,68.8,0.4
193108,66.3,-2.1
193208,69.4,1.0
193308,68.7,0.3
193408,73.4,5.0
193508,70.4,2.0
193608,72.5,4.1
193708,72.3,3.9
193808,70.9,2.5
193908,67.9,-0.5
194008,66.8,-1.6
194108,68.8,0.4
194208,68.5,0.1
194308,72.3,3.9
194408,69.6,1.2
194508,67.7,-0.7
194608,69.1,0.7
194708,71,2.6
194808,67.6,-0.8
194908,65.5,-2.9
195008,64.9,-3.5
195108,70.7,2.3
195208,71.4,3.0
195308,66.7,-1.7
195408,72,3.6
195508,68.2,-0.2
195608,69.4,1.0
195708,68.5,0.1
195808,67.9,-0.5
195908,69,0.6
196008,67.9,-0.5
196108,65.7,-2.7
196208,67.2,-1.2
196308,69,0.6
196408,68.3,-0.1
196508,66.5,-1.9
196608,65.6,-2.8
196708,64,-4.4
196808,68.5,0.1
196908,68,-0.4
197008,69.2,0.8
197108,65.2,-3.2
197208,67,-1.4
197308,66.7,-1.7
197408,66.3,-2.1
197508,68,-0.4
197608,65.8,-2.6
197708,69.3,0.9
197808,68,-0.4
197908,66.4,-2.0
198008,71.7,3.3
198108,66.7,-1.7
198208,70.2,1.8
198308,71.1,2.7
198408,68.1,-0.3
198508,68.3,-0.1
198608,67.1,-1.3
198708,69.2,0.8
198808,69.3,0.9
198908,67.7,-0.7
199008,68,-0.4
199108,67.1,-1.3
199208,63.4,-5.0
199308,69.7,1.3
199408,66.5,-1.9
199508,70,1.6
199608,67.7,-0.7
199708,67,-1.4
199808,69.4,1.0
199908,69.2,0.8
200008,70.9,2.5
200108,70.1,1.7
200208,69.4,1.0
200308,70,1.6
200408,64.7,-3.7
200508,69,0.6
200608,71.9,3.5
200708,71.5,3.1
200808,68.4,0.0
200908,67,-1.4
201008,70.8,2.4
201108,73.8,5.4
201208,67.5,-0.9
201308,68.9,0.5
201408,68.4,0.0
201508,67.3,-1.1
