Washington, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,41.3,-3.3
189609,41.9,-2.7
189709,43,-1.6
189809,45.1,0.5
189909,44.9,0.3
190009,44.1,-0.5
190109,42.4,-2.2
190209,41.6,-3.0
190309,43.2,-1.4
190409,43.4,-1.2
190509,46.1,1.5
190609,44.6,0.0
190709,43.8,-0.8
190809,42.6,-2.0
190909,44.9,0.3
191009,43.9,-0.7
191109,43.2,-1.4
191209,41.9,-2.7
191309,42.7,-1.9
191409,43.3,-1.3
191509,43.4,-1.2
191609,43.2,-1.4
191709,45.5,0.9
191809,46,1.4
191909,43.3,-1.3
192009,44.7,0.1
192109,41.1,-3.5
192209,45.1,0.5
192309,44.4,-0.2
192409,43.5,-1.1
192509,44.8,0.2
192609,40.7,-3.9
192709,45.4,0.8
192809,43,-1.6
192909,42.5,-2.1
193009,45.7,1.1
193109,45,0.4
193209,42.6,-2.0
193309,42.5,-2.1
193409,43.3,-1.3
193509,45.3,0.7
193609,42.7,-1.9
193709,45.8,1.2
193809,48.3,3.7
193909,44.7,0.1
194009,49.3,4.7
194109,44.4,-0.2
194209,44.7,0.1
194309,44.7,0.1
194409,46.4,1.8
194509,43.2,-1.4
194609,44.5,-0.1
194709,45.4,0.8
194809,43,-1.6
194909,45.4,0.8
195009,43.8,-0.8
195109,44.7,0.1
195209,45.4,0.8
195309,44.9,0.3
195409,45,0.4
195509,44,-0.6
195609,44.2,-0.4
195709,46.3,1.7
195809,44.9,0.3
195909,45.2,0.6
196009,43.6,-1.0
196109,41.9,-2.7
196209,44.8,0.2
196309,48.6,4.0
196409,42.6,-2.0
196509,42,-2.6
196609,47.9,3.3
196709,47.8,3.2
196809,45.8,1.2
196909,46.5,1.9
197009,41.5,-3.1
197109,41.8,-2.8
197209,41.6,-3.0
197309,45.7,1.1
197409,44.8,0.2
197509,44,-0.6
197609,46.9,2.3
197709,44.1,-0.5
197809,45.9,1.3
197909,47.3,2.7
198009,45.8,1.2
198109,44.9,0.3
198209,45.9,1.3
198309,42.3,-2.3
198409,42.9,-1.7
198509,42.6,-2.0
198609,44.2,-0.4
198709,46.2,1.6
198809,44.4,-0.2
198909,44.7,0.1
199009,48.5,3.9
199109,46.5,1.9
199209,43.4,-1.2
199309,44.6,0.0
199409,48,3.4
199509,48.4,3.8
199609,43.5,-1.1
199709,47.8,3.2
199809,48.4,3.8
199909,43,-1.6
200009,44.8,0.2
200109,46.9,2.3
200209,44.3,-0.3
200309,47.1,2.5
200409,45.5,0.9
200509,43.3,-1.3
200609,45.5,0.9
200709,44.5,-0.1
200809,44.7,0.1
200909,46.6,2.0
201009,47,2.4
201109,47.6,3.0
201209,45.5,0.9
201309,49.4,4.8
201409,47.7,3.1
201509,44.5,-0.1
