Idaho, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,35.6,-0.9
189605,33,-3.5
189705,42,5.5
189805,35.4,-1.1
189905,33.5,-3.0
190005,37.9,1.4
190105,40,3.5
190205,37.1,0.6
190305,34.1,-2.4
190405,36.3,-0.2
190505,35.5,-1.0
190605,36.9,0.4
190705,35.4,-1.1
190805,35.1,-1.4
190905,33.6,-2.9
191005,37.2,0.7
191105,34.7,-1.8
191205,35.7,-0.8
191305,37.9,1.4
191405,38,1.5
191505,37.3,0.8
191605,31.8,-4.7
191705,35.2,-1.3
191805,33.6,-2.9
191905,36.1,-0.4
192005,34.3,-2.2
192105,37.9,1.4
192205,35,-1.5
192305,37.2,0.7
192405,37.2,0.7
192505,39.1,2.6
192605,37.3,0.8
192705,35.8,-0.7
192805,39.6,3.1
192905,34.2,-2.3
193005,35.8,-0.7
193105,36.3,-0.2
193205,37.7,1.2
193305,33.4,-3.1
193405,40.1,3.6
193505,34.4,-2.1
193605,39.3,2.8
193705,36.6,0.1
193805,36.1,-0.4
193905,38.2,1.7
194005,38,1.5
194105,38.7,2.2
194205,35.1,-1.4
194305,34.5,-2.0
194405,36.9,0.4
194505,36.9,0.4
194605,35.9,-0.6
194705,39.3,2.8
194805,36.7,0.2
194905,39.4,2.9
195005,32.6,-3.9
195105,37.2,0.7
195205,37.7,1.2
195305,33.1,-3.4
195405,36.8,0.3
195505,34.5,-2.0
195605,39.3,2.8
195705,40,3.5
195805,40.4,3.9
195905,33.6,-2.9
196005,35,-1.5
196105,36.9,0.4
196205,36.9,0.4
196305,38.6,2.1
196405,35.3,-1.2
196505,34.3,-2.2
196605,36.8,0.3
196705,35.2,-1.3
196805,35,-1.5
196905,38.2,1.7
197005,35.7,-0.8
197105,37.1,0.6
197205,36.1,-0.4
197305,35.7,-0.8
197405,34.4,-2.1
197505,33.9,-2.6
197605,36.9,0.4
197705,35.3,-1.2
197805,35.5,-1.0
197905,36.7,0.2
198005,38.7,2.2
198105,37.6,1.1
198205,34.1,-2.4
198305,35.6,-0.9
198405,36.1,-0.4
198505,37.9,1.4
198605,36.7,0.2
198705,40.4,3.9
198805,36.5,0.0
198905,35.8,-0.7
199005,35.4,-1.1
199105,35.5,-1.0
199205,40.3,3.8
199305,40.5,4.0
199405,39.7,3.2
199505,37,0.5
199605,35.7,-0.8
199705,38.5,2.0
199805,37.4,0.9
199905,34.1,-2.4
200005,38.1,1.6
200105,37.8,1.3
200205,35.7,-0.8
200305,37,0.5
200405,37.2,0.7
200505,38.2,1.7
200605,37.7,1.2
200705,37.6,1.1
200805,36.1,-0.4
200905,37,0.5
201005,32.9,-3.6
201105,34.4,-2.1
201205,35.8,-0.7
201305,37.6,1.1
201405,37.9,1.4
201505,39.9,3.4
