Kansas, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,19.9,-0.5
189612,25.3,4.9
189712,17.8,-2.6
189812,15.5,-4.9
189912,19.7,-0.7
190012,20.7,0.3
190112,17.6,-2.8
190212,17,-3.4
190312,18.4,-2.0
190412,17.9,-2.5
190512,18.4,-2.0
190612,24.9,4.5
190712,22.4,2.0
190812,22.4,2.0
190912,12,-8.4
191012,19.9,-0.5
191112,18.8,-1.6
191212,19.8,-0.6
191312,25.2,4.8
191412,12.8,-7.6
191512,21.1,0.7
191612,13.1,-7.3
191712,12.8,-7.6
191812,23.3,2.9
191912,15.4,-5.0
192012,21.9,1.5
192112,20.8,0.4
192212,19.5,-0.9
192312,23.6,3.2
192412,11.9,-8.5
192512,19.7,-0.7
192612,20.2,-0.2
192712,12.7,-7.7
192812,23.7,3.3
192912,20.5,0.1
193012,22.2,1.8
193112,27.2,6.8
193212,15.1,-5.3
193312,25,4.6
193412,21.3,0.9
193512,22.3,1.9
193612,25.8,5.4
193712,20.3,-0.1
193812,21.7,1.3
193912,24.4,4.0
194012,24.9,4.5
194112,25.9,5.5
194212,21.8,1.4
194312,18.6,-1.8
194412,20.2,-0.2
194512,14.9,-5.5
194612,24.8,4.4
194712,22.3,1.9
194812,22,1.6
194912,20.3,-0.1
195012,18.1,-2.3
195112,17.6,-2.8
195212,20,-0.4
195312,22.4,2.0
195412,21.9,1.5
195512,18.3,-2.1
195612,22.8,2.4
195712,25.3,4.9
195812,19.7,-0.7
195912,25.8,5.4
196012,20.8,0.4
196112,16.8,-3.6
196212,22.4,2.0
196312,13.6,-6.8
196412,18.5,-1.9
196512,26.4,6.0
196612,17.5,-2.9
196712,21.8,1.4
196812,16.8,-3.6
196912,22.4,2.0
197012,21.6,1.2
197112,25.6,5.2
197212,16.5,-3.9
197312,20.9,0.5
197412,20.9,0.5
197512,23.9,3.5
197612,17.6,-2.8
197712,19.9,-0.5
197812,17.9,-2.5
197912,23.3,2.9
198012,23.5,3.1
198112,22.1,1.7
198212,23.7,3.3
198312,7.4,-13.0
198412,23.4,3.0
198512,15.7,-4.7
198612,23.7,3.3
198712,23.5,3.1
198812,22.3,1.9
198912,12.4,-8.0
199012,16.4,-4.0
199112,26.9,6.5
199212,20.2,-0.2
199312,24,3.6
199412,25.6,5.2
199512,21.6,1.2
199612,19.4,-1.0
199712,24.6,4.2
199812,22.6,2.2
199912,24.8,4.4
200012,13.7,-6.7
200112,23.5,3.1
200212,23.4,3.0
200312,24,3.6
200412,22.7,2.3
200512,19.7,-0.7
200612,24.5,4.1
200712,19.6,-0.8
200812,17.6,-2.8
200912,16.3,-4.1
201012,20.6,0.2
201112,23,2.6
201212,22.2,1.8
201312,16.8,-3.6
201412,26.1,5.7
201512,27.1,6.7
