New Hampshire, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,44.4,-0.4
189609,44.7,-0.1
189709,42.9,-1.9
189809,46.5,1.7
189909,43.2,-1.6
190009,46.2,1.4
190109,45.7,0.9
190209,46.5,1.7
190309,44.4,-0.4
190409,43,-1.8
190509,44.7,-0.1
190609,44.6,-0.2
190709,47.6,2.8
190809,45.1,0.3
190909,44.1,-0.7
191009,44,-0.8
191109,43.1,-1.7
191209,44.7,-0.1
191309,42.1,-2.7
191409,42.6,-2.2
191509,48,3.2
191609,44.2,-0.6
191709,40,-4.8
191809,42.6,-2.2
191909,45.2,0.4
192009,46.8,2.0
192109,46.1,1.3
192209,45.3,0.5
192309,46.8,2.0
192409,42.2,-2.6
192509,45.2,0.4
192609,43.6,-1.2
192709,43.9,-0.9
192809,42.6,-2.2
192909,45.7,0.9
193009,47,2.2
193109,48.6,3.8
193209,45.6,0.8
193309,47.1,2.3
193409,50.7,5.9
193509,42.9,-1.9
193609,45.4,0.6
193709,44.2,-0.6
193809,42.5,-2.3
193909,44,-0.8
194009,43.6,-1.2
194109,42.8,-2.0
194209,45.2,0.4
194309,42.9,-1.9
194409,47.3,2.5
194509,47.6,2.8
194609,45.6,0.8
194709,45.1,0.3
194809,43,-1.8
194909,45,0.2
195009,42,-2.8
195109,44.9,0.1
195209,45.9,1.1
195309,44.8,0.0
195409,44.6,-0.2
195509,42.9,-1.9
195609,41.3,-3.5
195709,45.1,0.3
195809,45.5,0.7
195909,47.6,2.8
196009,45.6,0.8
196109,51.8,7.0
196209,43.3,-1.5
196309,40.1,-4.7
196409,41,-3.8
196509,45.1,0.3
196609,41.5,-3.3
196709,43.5,-1.3
196809,46.9,2.1
196909,46.9,2.1
197009,47.1,2.3
197109,49.2,4.4
197209,44.4,-0.4
197309,44.4,-0.4
197409,45.4,0.6
197509,44.4,-0.4
197609,43.1,-1.7
197709,45.7,0.9
197809,39.8,-5.0
197909,43.3,-1.5
198009,44.4,-0.4
198109,45.9,1.1
198209,46.5,1.7
198309,46.2,1.4
198409,41.3,-3.5
198509,45.7,0.9
198609,43.3,-1.5
198709,46,1.2
198809,42.8,-2.0
198909,45.9,1.1
199009,45.8,1.0
199109,42.6,-2.2
199209,45.1,0.3
199309,46,1.2
199409,45.6,0.8
199509,41.2,-3.6
199609,48,3.2
199709,45.2,0.4
199809,46.5,1.7
199909,49.9,5.1
200009,44.3,-0.5
200109,45.5,0.7
200209,48.8,4.0
200309,47.6,2.8
200409,46.7,1.9
200509,48.9,4.1
200609,46,1.2
200709,46.1,1.3
200809,47.5,2.7
200909,43.8,-1.0
201009,49.3,4.5
201109,51,6.2
201209,45.6,0.8
201309,45.7,0.9
201409,45.6,0.8
201509,49.9,5.1
