Arizona, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,42.6,0.8
189604,40.9,-0.9
189704,41.9,0.1
189804,47.2,5.4
189904,42.9,1.1
190004,41.1,-0.7
190104,39.8,-2.0
190204,43.3,1.5
190304,42.1,0.3
190404,40.9,-0.9
190504,43.4,1.6
190604,42.2,0.4
190704,42.8,1.0
190804,42.1,0.3
190904,40.5,-1.3
191004,43.1,1.3
191104,41.8,0.0
191204,39.5,-2.3
191304,40.8,-1.0
191404,43.5,1.7
191504,43.2,1.4
191604,42.7,0.9
191704,39.2,-2.6
191804,41.6,-0.2
191904,44,2.2
192004,38.6,-3.2
192104,38.6,-3.2
192204,38.5,-3.3
192304,41.6,-0.2
192404,40.4,-1.4
192504,42.5,0.7
192604,46,4.2
192704,42,0.2
192804,40.6,-1.2
192904,39.8,-2.0
193004,45.4,3.6
193104,44.7,2.9
193204,40.8,-1.0
193304,37.9,-3.9
193404,45.9,4.1
193504,42.6,0.8
193604,43.5,1.7
193704,40.5,-1.3
193804,41.6,-0.2
193904,44.1,2.3
194004,43.8,2.0
194104,39.2,-2.6
194204,41.4,-0.4
194304,44.2,2.4
194404,39,-2.8
194504,38.7,-3.1
194604,45.9,4.1
194704,41.1,-0.7
194804,42,0.2
194904,43.5,1.7
195004,43.6,1.8
195104,42.3,0.5
195204,42.8,1.0
195304,40.9,-0.9
195404,44.8,3.0
195504,38.1,-3.7
195604,40.9,-0.9
195704,41.2,-0.6
195804,40.7,-1.1
195904,45,3.2
196004,42.2,0.4
196104,42.1,0.3
196204,45.2,3.4
196304,39.5,-2.3
196404,39.9,-1.9
196504,41.1,-0.7
196604,42.4,0.6
196704,37.6,-4.2
196804,40.4,-1.4
196904,41.5,-0.3
197004,36.4,-5.4
197104,39.7,-2.1
197204,41.4,-0.4
197304,39,-2.8
197404,39.9,-1.9
197504,36.3,-5.5
197604,39.9,-1.9
197704,42.2,0.4
197804,41.6,-0.2
197904,40.7,-1.1
198004,41.1,-0.7
198104,45.4,3.6
198204,42,0.2
198304,37.9,-3.9
198404,40.2,-1.6
198504,44.6,2.8
198604,43.8,2.0
198704,44.9,3.1
198804,42.5,0.7
198904,47.1,5.3
199004,45.4,3.6
199104,39.8,-2.0
199204,45.6,3.8
199304,42.9,1.1
199404,43.3,1.5
199504,40.4,-1.4
199604,43.6,1.8
199704,42.4,0.6
199804,38.4,-3.4
199904,39.1,-2.7
200004,45.5,3.7
200104,42.8,1.0
200204,46.1,4.3
200304,40.6,-1.2
200404,44.1,2.3
200504,41.8,0.0
200604,43.3,1.5
200704,44.2,2.4
200804,41.7,-0.1
200904,41.5,-0.3
201004,41.2,-0.6
201104,43.8,2.0
201204,44.8,3.0
201304,44,2.2
201404,43.8,2.0
201504,43.1,1.3
