Utah, Minimum Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189510,35.3,-0.3
189610,36.2,0.6
189710,36.5,0.9
189810,29.8,-5.8
189910,33.5,-2.1
190010,35.2,-0.4
190110,37.3,1.7
190210,35.5,-0.1
190310,33.9,-1.7
190410,33.7,-1.9
190510,30.1,-5.5
190610,33.2,-2.4
190710,39.1,3.5
190810,31.4,-4.2
190910,35,-0.6
191010,35.3,-0.3
191110,32.3,-3.3
191210,33.7,-1.9
191310,31.8,-3.8
191410,37,1.4
191510,33.8,-1.8
191610,34.5,-1.1
191710,33.6,-2.0
191810,39.8,4.2
191910,30.2,-5.4
192010,34.5,-1.1
192110,38.2,2.6
192210,35.3,-0.3
192310,32.4,-3.2
192410,32.9,-2.7
192510,35.2,-0.4
192610,34.5,-1.1
192710,35.1,-0.5
192810,36.8,1.2
192910,35.9,0.3
193010,33.4,-2.2
193110,37.9,2.3
193210,33.3,-2.3
193310,38.1,2.5
193410,36.3,0.7
193510,33.4,-2.2
193610,35.9,0.3
193710,36.9,1.3
193810,37.5,1.9
193910,35.2,-0.4
194010,37.9,2.3
194110,35.3,-0.3
194210,36.6,1.0
194310,37.9,2.3
194410,37.6,2.0
194510,37.9,2.3
194610,33.6,-2.0
194710,39.3,3.7
194810,35.1,-0.5
194910,33.8,-1.8
195010,38.3,2.7
195110,35.2,-0.4
195210,36,0.4
195310,36,0.4
195410,35.9,0.3
195510,35.9,0.3
195610,35.4,-0.2
195710,37.3,1.7
195810,35.8,0.2
195910,35.3,-0.3
196010,36.7,1.1
196110,34.7,-0.9
196210,37.8,2.2
196310,41.4,5.8
196410,35.7,0.1
196510,36.1,0.5
196610,34.3,-1.3
196710,35.9,0.3
196810,35.5,-0.1
196910,32.5,-3.1
197010,31.5,-4.1
197110,33.6,-2.0
197210,39.6,4.0
197310,35.6,0.0
197410,37.9,2.3
197510,33.6,-2.0
197610,32.7,-2.9
197710,36.7,1.1
197810,37.5,1.9
197910,37.7,2.1
198010,34.6,-1.0
198110,36,0.4
198210,33,-2.6
198310,37.7,2.1
198410,32.9,-2.7
198510,36,0.4
198610,35.1,-0.5
198710,39.1,3.5
198810,40.8,5.2
198910,35.6,0.0
199010,35.8,0.2
199110,37,1.4
199210,39.5,3.9
199310,35.9,0.3
199410,35.7,0.1
199510,34,-1.6
199610,34.9,-0.7
199710,34.7,-0.9
199810,35.9,0.3
199910,35.2,-0.4
200010,37.6,2.0
200110,37.8,2.2
200210,34.2,-1.4
200310,40,4.4
200410,38,2.4
200510,37.4,1.8
200610,35.5,-0.1
200710,35.4,-0.2
200810,36.1,0.5
200910,33,-2.6
201010,39,3.4
201110,37,1.4
201210,37.1,1.5
201310,33.6,-2.0
201410,39.5,3.9
201510,42.6,7.0
