Indiana, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,25.6,-3.9
189603,24.7,-4.8
189703,30.8,1.3
189803,33.9,4.4
189903,25.5,-4.0
190003,24.3,-5.2
190103,29.3,-0.2
190203,32.6,3.1
190303,35.7,6.2
190403,29.5,0.0
190503,33.4,3.9
190603,22.4,-7.1
190703,35.8,6.3
190803,32.8,3.3
190903,28.3,-1.2
191003,35.7,6.2
191103,27.7,-1.8
191203,22,-7.5
191303,26.6,-2.9
191403,26.9,-2.6
191503,24.8,-4.7
191603,24.8,-4.7
191703,29.4,-0.1
191803,31.4,1.9
191903,29.9,0.4
192003,29.9,0.4
192103,36.9,7.4
192203,32.3,2.8
192303,25.7,-3.8
192403,27.4,-2.1
192503,29.6,0.1
192603,23,-6.5
192703,33,3.5
192803,27.8,-1.7
192903,34.9,5.4
193003,27,-2.5
193103,27.4,-2.1
193203,22.7,-6.8
193303,29.2,-0.3
193403,24.2,-5.3
193503,35.9,6.4
193603,31.5,2.0
193703,25.3,-4.2
193803,35.3,5.8
193903,30,0.5
194003,27.1,-2.4
194103,23.8,-5.7
194203,31.9,2.4
194303,24.6,-4.9
194403,26.3,-3.2
194503,39.2,9.7
194603,39.9,10.4
194703,23.4,-6.1
194803,30.2,0.7
194903,30,0.5
195003,26.4,-3.1
195103,28.1,-1.4
195203,28.8,-0.7
195303,31.6,2.1
195403,26.6,-2.9
195503,29.4,-0.1
195603,28.6,-0.9
195703,29.3,-0.2
195803,28.4,-1.1
195903,28,-1.5
196003,15.6,-13.9
196103,33.9,4.4
196203,28.2,-1.3
196303,32.3,2.8
196403,28.6,-0.9
196503,24.5,-5.0
196603,30.6,1.1
196703,31.3,1.8
196803,30.2,0.7
196903,23.7,-5.8
197003,27.6,-1.9
197103,26.7,-2.8
197203,27.9,-1.6
197303,38.2,8.7
197403,32.8,3.3
197503,27.2,-2.3
197603,35.2,5.7
197703,34.7,5.2
197803,24.3,-5.2
197903,31.9,2.4
198003,26.4,-3.1
198103,28.7,-0.8
198203,29.4,-0.1
198303,32,2.5
198403,24.1,-5.4
198503,33.7,4.2
198603,31.4,1.9
198703,32.2,2.7
198803,29.9,0.4
198903,29.9,0.4
199003,35,5.5
199103,33.4,3.9
199203,31.2,1.7
199303,28.8,-0.7
199403,29.2,-0.3
199503,32.5,3.0
199603,23.7,-5.8
199703,32.2,2.7
199803,32.9,3.4
199903,26.3,-3.2
200003,33.8,4.3
200103,27.6,-1.9
200203,28.6,-0.9
200303,30.7,1.2
200403,34.6,5.1
200503,27.7,-1.8
200603,31.2,1.7
200703,36.1,6.6
200803,29.7,0.2
200903,33,3.5
201003,33.2,3.7
201103,32.5,3.0
201203,43.3,13.8
201303,26.8,-2.7
201403,23,-6.5
201503,27,-2.5
