Idaho, Minimum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,46.9,-2.3
189607,52.5,3.3
189707,45.9,-3.3
189807,48.1,-1.1
189907,47.8,-1.4
190007,46.1,-3.1
190107,49.6,0.4
190207,44.8,-4.4
190307,45.3,-3.9
190407,47.2,-2.0
190507,49.1,-0.1
190607,50.5,1.3
190707,48,-1.2
190807,50,0.8
190907,47.8,-1.4
191007,50.3,1.1
191107,47.7,-1.5
191207,46.8,-2.4
191307,48.3,-0.9
191407,49.9,0.7
191507,46.6,-2.6
191607,48.3,-0.9
191707,50.2,1.0
191807,49.8,0.6
191907,49.1,-0.1
192007,50.1,0.9
192107,48.4,-0.8
192207,48.8,-0.4
192307,51.6,2.4
192407,47.9,-1.3
192507,51.2,2.0
192607,50.4,1.2
192707,48.7,-0.5
192807,50.2,1.0
192907,48.6,-0.6
193007,50.7,1.5
193107,50.6,1.4
193207,48.3,-0.9
193307,50.2,1.0
193407,49.8,0.6
193507,48.5,-0.7
193607,52.7,3.5
193707,51.7,2.5
193807,50.5,1.3
193907,50.2,1.0
194007,50.5,1.3
194107,51.4,2.2
194207,49.7,0.5
194307,48.5,-0.7
194407,47.3,-1.9
194507,48.5,-0.7
194607,50.5,1.3
194707,48.7,-0.5
194807,47.7,-1.5
194907,47.9,-1.3
195007,48.4,-0.8
195107,49.1,-0.1
195207,47.6,-1.6
195307,48.6,-0.6
195407,49.9,0.7
195507,49.3,0.1
195607,49.7,0.5
195707,48,-1.2
195807,48.9,-0.3
195907,48.4,-0.8
196007,51.7,2.5
196107,50.5,1.3
196207,47,-2.2
196307,46.7,-2.5
196407,49.5,0.3
196507,48.6,-0.6
196607,48.4,-0.8
196707,50.7,1.5
196807,48.9,-0.3
196907,48.1,-1.1
197007,50.5,1.3
197107,48.5,-0.7
197207,47.6,-1.6
197307,49.1,-0.1
197407,49.3,0.1
197507,53.5,4.3
197607,50,0.8
197707,49.2,0.0
197807,49.1,-0.1
197907,48.8,-0.4
198007,49.4,0.2
198107,47.3,-1.9
198207,49.4,0.2
198307,47.7,-1.5
198407,50.4,1.2
198507,52.7,3.5
198607,46.6,-2.6
198707,48.5,-0.7
198807,50.3,1.1
198907,51.2,2.0
199007,50.8,1.6
199107,50.1,0.9
199207,47.7,-1.5
199307,43.5,-5.7
199407,50.5,1.3
199507,48.5,-0.7
199607,50.3,1.1
199707,48.3,-0.9
199807,53.3,4.1
199907,46.8,-2.4
200007,50,0.8
200107,50.8,1.6
200207,52.8,3.6
200307,53.2,4.0
200407,50.7,1.5
200507,50.3,1.1
200607,53.7,4.5
200707,55.4,6.2
200807,49.9,0.7
200907,50,0.8
201007,48.1,-1.1
201107,48.3,-0.9
201207,52.6,3.4
201307,53,3.8
201407,53.2,4.0
201507,50.5,1.3
