Rhode Island, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,25.2,2.6
189612,19.1,-3.5
189712,24.4,1.8
189812,21.8,-0.8
189912,24,1.4
190012,21.7,-0.9
190112,21.2,-1.4
190212,17.7,-4.9
190312,16.1,-6.5
190412,14.5,-8.1
190512,23.5,0.9
190612,18.5,-4.1
190712,25.5,2.9
190812,21.7,-0.9
190912,19.7,-2.9
191012,15.2,-7.4
191112,27.8,5.2
191212,26.7,4.1
191312,26.2,3.6
191412,20,-2.6
191512,21.9,-0.7
191612,22.7,0.1
191712,13.2,-9.4
191812,23.1,0.5
191912,16.5,-6.1
192012,24.9,2.3
192112,19.7,-2.9
192212,19.4,-3.2
192312,28.6,6.0
192412,18.8,-3.8
192512,23.3,0.7
192612,15.5,-7.1
192712,23.9,1.3
192812,25.7,3.1
192912,22.1,-0.5
193012,23,0.4
193112,25.6,3.0
193212,25,2.4
193312,17.1,-5.5
193412,20.1,-2.5
193512,19.2,-3.4
193612,25.6,3.0
193712,21.6,-1.0
193812,24.8,2.2
193912,23,0.4
194012,25,2.4
194112,25.5,2.9
194212,18.6,-4.0
194312,16.8,-5.8
194412,20.2,-2.4
194512,18.3,-4.3
194612,23.4,0.8
194712,20,-2.6
194812,25.8,3.2
194912,25.6,3.0
195012,25.1,2.5
195112,24.7,2.1
195212,26.1,3.5
195312,28.8,6.2
195412,24.9,2.3
195512,16.4,-6.2
195612,27.1,4.5
195712,29.1,6.5
195812,15.3,-7.3
195912,25.7,3.1
196012,16.8,-5.8
196112,23.9,1.3
196212,18,-4.6
196312,16.7,-5.9
196412,24.6,2.0
196512,25.4,2.8
196612,23.3,0.7
196712,24.8,2.2
196812,21,-1.6
196912,22.3,-0.3
197012,20.2,-2.4
197112,25.6,3.0
197212,26.8,4.2
197312,27.5,4.9
197412,26.7,4.1
197512,23.1,0.5
197612,15.6,-7.0
197712,22.5,-0.1
197812,23.9,1.3
197912,27.1,4.5
198012,16.8,-5.8
198112,23.8,1.2
198212,28.5,5.9
198312,22.4,-0.2
198412,28,5.4
198512,20.7,-1.9
198612,26.1,3.5
198712,25.5,2.9
198812,21.9,-0.7
198912,10.6,-12.0
199012,29.2,6.6
199112,25.7,3.1
199212,25.1,2.5
199312,24.1,1.5
199412,28,5.4
199512,20.6,-2.0
199612,30.6,8.0
199712,25,2.4
199812,28.5,5.9
199912,27.1,4.5
200012,19.5,-3.1
200112,30.2,7.6
200212,23.8,1.2
200312,26.3,3.7
200412,24.3,1.7
200512,23.1,0.5
200612,31.2,8.6
200712,23.8,1.2
200812,25.8,3.2
200912,24.1,1.5
201012,22.6,0.0
201112,29.9,7.3
201212,30.2,7.6
201312,24.9,2.3
201412,30.6,8.0
201512,37.2,14.6
