Delaware, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,22.4,-2.2
189601,23.4,-1.2
189701,21.6,-3.0
189801,27.4,2.8
189901,22.6,-2.0
190001,24.5,-0.1
190101,24.7,0.1
190201,21.8,-2.8
190301,23.8,-0.8
190401,18.1,-6.5
190501,19.1,-5.5
190601,30.4,5.8
190701,26,1.4
190801,24.4,-0.2
190901,26.9,2.3
191001,23.5,-1.1
191101,28,3.4
191201,15.7,-8.9
191301,32.7,8.1
191401,27.3,2.7
191501,26.8,2.2
191601,28.4,3.8
191701,24.9,0.3
191801,13.7,-10.9
191901,26.2,1.6
192001,19.5,-5.1
192101,26.6,2.0
192201,21.9,-2.7
192301,26.8,2.2
192401,23.5,-1.1
192501,23.3,-1.3
192601,23.4,-1.2
192701,23.7,-0.9
192801,23.1,-1.5
192901,23.9,-0.7
193001,26.6,2.0
193101,25.5,0.9
193201,36.1,11.5
193301,31.3,6.7
193401,27.4,2.8
193501,22.6,-2.0
193601,20.3,-4.3
193701,35.1,10.5
193801,25.3,0.7
193901,25.5,0.9
194001,12.5,-12.1
194101,25,0.4
194201,22,-2.6
194301,25.6,1.0
194401,25.8,1.2
194501,21,-3.6
194601,26.1,1.5
194701,30.8,6.2
194801,18.7,-5.9
194901,32.2,7.6
195001,35,10.4
195101,27,2.4
195201,28.9,4.3
195301,30.9,6.3
195401,24.2,-0.4
195501,23.9,-0.7
195601,24.2,-0.4
195701,21.7,-2.9
195801,23.2,-1.4
195901,22,-2.6
196001,28,3.4
196101,17.5,-7.1
196201,23.5,-1.1
196301,21.3,-3.3
196401,24.3,-0.3
196501,21.5,-3.1
196601,22.3,-2.3
196701,28.5,3.9
196801,20,-4.6
196901,23.3,-1.3
197001,17.1,-7.5
197101,20.6,-4.0
197201,27.7,3.1
197301,26,1.4
197401,30,5.4
197501,28.6,4.0
197601,21.7,-2.9
197701,13.7,-10.9
197801,22.1,-2.5
197901,24.6,0.0
198001,25.7,1.1
198101,18.8,-5.8
198201,17.5,-7.1
198301,26.8,2.2
198401,20.3,-4.3
198501,20.1,-4.5
198601,23.8,-0.8
198701,24.2,-0.4
198801,19.8,-4.8
198901,28.7,4.1
199001,32.1,7.5
199101,26.8,2.2
199201,26.8,2.2
199301,30.4,5.8
199401,19.6,-5.0
199501,30.8,6.2
199601,24,-0.6
199701,25.4,0.8
199801,33.1,8.5
199901,27.7,3.1
200001,23.8,-0.8
200101,24.7,0.1
200201,31.4,6.8
200301,21.9,-2.7
200401,20.8,-3.8
200501,25.8,1.2
200601,32.6,8.0
200701,31.1,6.5
200801,27.8,3.2
200901,22.5,-2.1
201001,25.5,0.9
201101,22.8,-1.8
201201,29.3,4.7
201301,28.8,4.2
201401,19.7,-4.9
201501,24,-0.6
201601,24.9,0.3
