Florida, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,46.5,-0.1
189601,43.7,-2.9
189701,42.5,-4.1
189801,47.6,1.0
189901,48.8,2.2
190001,44.2,-2.4
190101,44.4,-2.2
190201,41.5,-5.1
190301,46.6,0.0
190401,43.3,-3.3
190501,39.9,-6.7
190601,47.6,1.0
190701,50.4,3.8
190801,45,-1.6
190901,50.8,4.2
191001,42.8,-3.8
191101,48.5,1.9
191201,45.8,-0.8
191301,54.3,7.7
191401,45.1,-1.5
191501,46.4,-0.2
191601,53.1,6.5
191701,50.8,4.2
191801,39,-7.6
191901,45.2,-1.4
192001,47.9,1.3
192101,47.6,1.0
192201,46.5,-0.1
192301,48,1.4
192401,47.3,0.7
192501,52.4,5.8
192601,45.6,-1.0
192701,45,-1.6
192801,42.3,-4.3
192901,49.4,2.8
193001,49.1,2.5
193101,43.2,-3.4
193201,52.8,6.2
193301,50.1,3.5
193401,47.8,1.2
193501,46.2,-0.4
193601,46.7,0.1
193701,58.8,12.2
193801,46.3,-0.3
193901,47.1,0.5
194001,36.4,-10.2
194101,44.9,-1.7
194201,42.8,-3.8
194301,47.5,0.9
194401,43.7,-2.9
194501,44.8,-1.8
194601,48.5,1.9
194701,54.8,8.2
194801,43.8,-2.8
194901,51.9,5.3
195001,55.9,9.3
195101,45,-1.6
195201,49.4,2.8
195301,47.3,0.7
195401,48.1,1.5
195501,44.2,-2.4
195601,40.4,-6.2
195701,50.6,4.0
195801,40.9,-5.7
195901,44.7,-1.9
196001,45.7,-0.9
196101,42.8,-3.8
196201,45.9,-0.7
196301,44.5,-2.1
196401,45.7,-0.9
196501,45.9,-0.7
196601,44.8,-1.8
196701,48.6,2.0
196801,45.1,-1.5
196901,45.9,-0.7
197001,41.9,-4.7
197101,45.5,-1.1
197201,53.7,7.1
197301,48,1.4
197401,58.3,11.7
197501,50.9,4.3
197601,40.9,-5.7
197701,37.8,-8.8
197801,41.4,-5.2
197901,43,-3.6
198001,47.1,0.5
198101,35,-11.6
198201,44.6,-2.0
198301,44.3,-2.3
198401,44.8,-1.8
198501,39.7,-6.9
198601,44.8,-1.8
198701,44.9,-1.7
198801,44.8,-1.8
198901,52.3,5.7
199001,50.7,4.1
199101,52.7,6.1
199201,45.3,-1.3
199301,54.5,7.9
199401,46.1,-0.5
199501,45.5,-1.1
199601,44.3,-2.3
199701,47.9,1.3
199801,50.4,3.8
199901,48.6,2.0
200001,46.5,-0.1
200101,39.7,-6.9
200201,48.1,1.5
200301,39.3,-7.3
200401,44.4,-2.2
200501,49.2,2.6
200601,49.1,2.5
200701,51.4,4.8
200801,47.3,0.7
200901,45,-1.6
201001,40.9,-5.7
201101,43.3,-3.3
201201,46.5,-0.1
201301,53.2,6.6
201401,43.5,-3.1
201501,48,1.4
201601,47,0.4
