California, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,36,0.9
189602,34.8,-0.3
189702,34.1,-1.0
189802,37,1.9
189902,33.3,-1.8
190002,35.3,0.2
190102,36.4,1.3
190202,36.6,1.5
190302,27.8,-7.3
190402,35.9,0.8
190502,37.8,2.7
190602,39.8,4.7
190702,40.3,5.2
190802,33.6,-1.5
190902,35.8,0.7
191002,32.2,-2.9
191102,30.7,-4.4
191202,34.1,-1.0
191302,31.8,-3.3
191402,35,-0.1
191502,36.3,1.2
191602,37.5,2.4
191702,32.3,-2.8
191802,33.5,-1.6
191902,33.2,-1.9
192002,34.3,-0.8
192102,34.3,-0.8
192202,32.4,-2.7
192302,31.1,-4.0
192402,37,1.9
192502,37.4,2.3
192602,37.4,2.3
192702,37.3,2.2
192802,34.2,-0.9
192902,30.1,-5.0
193002,37.2,2.1
193102,37.5,2.4
193202,32.8,-2.3
193302,28.2,-6.9
193402,38.6,3.5
193502,36.2,1.1
193602,35.6,0.5
193702,32.4,-2.7
193802,35,-0.1
193902,29.8,-5.3
194002,38.3,3.2
194102,39.5,4.4
194202,32.4,-2.7
194302,35.8,0.7
194402,32.9,-2.2
194502,35.4,0.3
194602,31,-4.1
194702,36.6,1.5
194802,31.1,-4.0
194902,29.3,-5.8
195002,34.7,-0.4
195102,34.1,-1.0
195202,33.9,-1.2
195302,32.6,-2.5
195402,36.6,1.5
195502,30.3,-4.8
195602,29.7,-5.4
195702,38.8,3.7
195802,40,4.9
195902,33.6,-1.5
196002,34.2,-0.9
196102,36.6,1.5
196202,35.2,0.1
196302,41.8,6.7
196402,30.8,-4.3
196502,33.8,-1.3
196602,31.7,-3.4
196702,34.5,-0.6
196802,40.6,5.5
196902,33.6,-1.5
197002,37.2,2.1
197102,33.7,-1.4
197202,35.7,0.6
197302,37.2,2.1
197402,32.7,-2.4
197502,34.1,-1.0
197602,35.5,0.4
197702,35.8,0.7
197802,37.8,2.7
197902,33.8,-1.3
198002,39.6,4.5
198102,36.7,1.6
198202,36.5,1.4
198302,38.5,3.4
198402,34.5,-0.6
198502,33.3,-1.8
198602,39.6,4.5
198702,35.4,0.3
198802,35.2,0.1
198902,32.2,-2.9
199002,31.5,-3.6
199102,38.8,3.7
199202,39.9,4.8
199302,35.5,0.4
199402,33.6,-1.5
199502,40.5,5.4
199602,39.6,4.5
199702,35.6,0.5
199802,36.2,1.1
199902,34.8,-0.3
200002,38.4,3.3
200102,33.6,-1.5
200202,35.7,0.6
200302,35.3,0.2
200402,34.9,-0.2
200502,38.1,3.0
200602,35.3,0.2
200702,36.3,1.2
200802,34.7,-0.4
200902,35.4,0.3
201002,37.5,2.4
201102,32.3,-2.8
201202,35,-0.1
201302,33.1,-2.0
201402,39,3.9
201502,41.5,6.4
201602,39.5,4.4
