Texas, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,50,-1.8
189604,55.5,3.7
189704,50.3,-1.5
189804,50.6,-1.2
189904,50.9,-0.9
190004,52.5,0.7
190104,49.4,-2.4
190204,55.2,3.4
190304,51.7,-0.1
190404,52.1,0.3
190504,51.5,-0.3
190604,53.6,1.8
190704,49.2,-2.6
190804,53.9,2.1
190904,50.5,-1.3
191004,50.6,-1.2
191104,53.5,1.7
191204,51.9,0.1
191304,49,-2.8
191404,50.8,-1.0
191504,53.3,1.5
191604,49.8,-2.0
191704,49.8,-2.0
191804,50.4,-1.4
191904,52.1,0.3
192004,48.2,-3.6
192104,49.1,-2.7
192204,54,2.2
192304,52.9,1.1
192404,50.6,-1.2
192504,56.5,4.7
192604,48.6,-3.2
192704,54.5,2.7
192804,47.6,-4.2
192904,55.1,3.3
193004,54.7,2.9
193104,47.7,-4.1
193204,52.3,0.5
193304,49.9,-1.9
193404,53.9,2.1
193504,53.1,1.3
193604,48.9,-2.9
193704,50.9,-0.9
193804,51,-0.8
193904,51.2,-0.6
194004,50.7,-1.1
194104,53,1.2
194204,52.8,1.0
194304,54.3,2.5
194404,49.8,-2.0
194504,50.1,-1.7
194604,55.1,3.3
194704,51.4,-0.4
194804,54.7,2.9
194904,49.9,-1.9
195004,51.4,-0.4
195104,49.7,-2.1
195204,49.6,-2.2
195304,50.4,-1.4
195404,56.9,5.1
195504,55,3.2
195604,50.9,-0.9
195704,51.5,-0.3
195804,50.8,-1.0
195904,50.1,-1.7
196004,53.2,1.4
196104,49.4,-2.4
196204,52.1,0.3
196304,57,5.2
196404,54,2.2
196504,55.6,3.8
196604,52.2,0.4
196704,58.8,7.0
196804,52.1,0.3
196904,53.4,1.6
197004,52.8,1.0
197104,50.6,-1.2
197204,54.7,2.9
197304,48.3,-3.5
197404,52.2,0.4
197504,51.1,-0.7
197604,53.3,1.5
197704,51.8,0.0
197804,54.2,2.4
197904,52.5,0.7
198004,47.9,-3.9
198104,56.7,4.9
198204,52,0.2
198304,47.2,-4.6
198404,49.8,-2.0
198504,54.2,2.4
198604,56,4.2
198704,47.1,-4.7
198804,49,-2.8
198904,53,1.2
199004,53,1.2
199104,54.2,2.4
199204,52.3,0.5
199304,49.4,-2.4
199404,51.3,-0.5
199504,50.3,-1.5
199604,49.4,-2.4
199704,48.1,-3.7
199804,48.7,-3.1
199904,54.1,2.3
200004,52.7,0.9
200104,55.7,3.9
200204,57.5,5.7
200304,52.9,1.1
200404,53,1.2
200504,50.3,-1.5
200604,57,5.2
200704,49.4,-2.4
200804,50.9,-0.9
200904,51.1,-0.7
201004,52.7,0.9
201104,54.9,3.1
201204,56.6,4.8
201304,48.9,-2.9
201404,51.7,-0.1
201504,55,3.2
