Minnesota, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,4.5,0.4
189612,7.7,3.6
189712,-1.2,-5.3
189812,-2.7,-6.8
189912,5.2,1.1
190012,7.1,3.0
190112,1.2,-2.9
190212,.3,-3.8
190312,-4.9,-9.0
190412,3.7,-0.4
190512,7.5,3.4
190612,2.5,-1.6
190712,8.6,4.5
190812,4.7,0.6
190912,.2,-3.9
191012,1.6,-2.5
191112,9.6,5.5
191212,7.3,3.2
191312,14.4,10.3
191412,-3,-7.1
191512,8.1,4.0
191612,-5.6,-9.7
191712,-7.5,-11.6
191812,12.5,8.4
191912,-3.8,-7.9
192012,10.1,6.0
192112,5.9,1.8
192212,.4,-3.7
192312,13,8.9
192412,-7.3,-11.4
192512,3.1,-1.0
192612,-1.2,-5.3
192712,-7.9,-12.0
192812,11.5,7.4
192912,2.8,-1.3
193012,8.8,4.7
193112,15.4,11.3
193212,.1,-4.0
193312,-2.3,-6.4
193412,.3,-3.8
193512,4.2,0.1
193612,5.7,1.6
193712,.1,-4.0
193812,6.3,2.2
193912,14.6,10.5
194012,8,3.9
194112,11.6,7.5
194212,-.2,-4.3
194312,6.9,2.8
194412,5.6,1.5
194512,-.1,-4.2
194612,4,-0.1
194712,2.4,-1.7
194812,2.9,-1.2
194912,3.1,-1.0
195012,-2.7,-6.8
195112,.9,-3.2
195212,11.8,7.7
195312,5.3,1.2
195412,11.6,7.5
195512,-3.8,-7.9
195612,6.6,2.5
195712,10.1,6.0
195812,-2.5,-6.6
195912,15.3,11.2
196012,1.6,-2.5
196112,2.6,-1.5
196212,5.6,1.5
196312,-2.4,-6.5
196412,-1.8,-5.9
196512,14.1,10.0
196612,3.6,-0.5
196712,7.2,3.1
196812,3.5,-0.6
196912,8.5,4.4
197012,1.1,-3.0
197112,3.8,-0.3
197212,-2.2,-6.3
197312,4.1,0.0
197412,12.1,8.0
197512,5,0.9
197612,-5.8,-9.9
197712,1.7,-2.4
197812,-2.3,-6.4
197912,12.2,8.1
198012,3.7,-0.4
198112,4.8,0.7
198212,12.7,8.6
198312,-9.9,-14.0
198412,2.7,-1.4
198512,-7,-11.1
198612,10.5,6.4
198712,14,9.9
198812,4.8,0.7
198912,-4.8,-8.9
199012,1.1,-3.0
199112,7.7,3.6
199212,5.3,1.2
199312,8.3,4.2
199412,12.2,8.1
199512,3.9,-0.2
199612,1.5,-2.6
199712,17.5,13.4
199812,10.1,6.0
199912,11.8,7.7
200012,-6.4,-10.5
200112,14.9,10.8
200212,12.7,8.6
200312,12.7,8.6
200412,7.8,3.7
200512,10.2,6.1
200612,15.8,11.7
200712,3.3,-0.8
200812,-3.4,-7.5
200912,4.9,0.8
201012,4.1,0.0
201112,14.3,10.2
201212,8.7,4.6
201312,-4.3,-8.4
201412,14.2,10.1
201512,19,14.9
