Mississippi, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,43.6,-0.2
189603,42.5,-1.3
189703,51.4,7.6
189803,48.2,4.4
189903,44.1,0.3
190003,42.3,-1.5
190103,42,-1.8
190203,45.7,1.9
190303,49.8,6.0
190403,47.8,4.0
190503,47.9,4.1
190603,40.5,-3.3
190703,53.1,9.3
190803,51,7.2
190903,45.4,1.6
191003,47.5,3.7
191103,45.9,2.1
191203,41.4,-2.4
191303,43.1,-0.7
191403,39.4,-4.4
191503,35.4,-8.4
191603,42.4,-1.4
191703,44.8,1.0
191803,48.9,5.1
191903,43.5,-0.3
192003,42.5,-1.3
192103,52.5,8.7
192203,44.6,0.8
192303,41.9,-1.9
192403,39.5,-4.3
192503,44.9,1.1
192603,39.8,-4.0
192703,45.1,1.3
192803,44.6,0.8
192903,47.9,4.1
193003,41.9,-1.9
193103,38.6,-5.2
193203,39.8,-4.0
193303,44.3,0.5
193403,40.8,-3.0
193503,50.2,6.4
193603,46.4,2.6
193703,39.3,-4.5
193803,52.2,8.4
193903,45.8,2.0
194003,42.9,-0.9
194103,38.8,-5.0
194203,43,-0.8
194303,40.8,-3.0
194403,44.6,0.8
194503,51.5,7.7
194603,48.5,4.7
194703,37.1,-6.7
194803,46.8,3.0
194903,43,-0.8
195003,41,-2.8
195103,45.6,1.8
195203,41.5,-2.3
195303,48.5,4.7
195403,42.5,-1.3
195503,46.3,2.5
195603,42.4,-1.4
195703,42.1,-1.7
195803,40.1,-3.7
195903,40.3,-3.5
196003,35,-8.8
196103,47.4,3.6
196203,39.8,-4.0
196303,45.3,1.5
196403,41.8,-2.0
196503,39.2,-4.6
196603,41.9,-1.9
196703,46,2.2
196803,39.4,-4.4
196903,36.3,-7.5
197003,41.6,-2.2
197103,38.8,-5.0
197203,43.3,-0.5
197303,49.3,5.5
197403,49.1,5.3
197503,42.2,-1.6
197603,48,4.2
197703,46,2.2
197803,39.3,-4.5
197903,44,0.2
198003,41.5,-2.3
198103,40.2,-3.6
198203,47.9,4.1
198303,41.4,-2.4
198403,42.7,-1.1
198503,48.5,4.7
198603,41.5,-2.3
198703,42.8,-1.0
198803,41.6,-2.2
198903,46,2.2
199003,46.8,3.0
199103,45.6,1.8
199203,43.8,0.0
199303,41.9,-1.9
199403,42.9,-0.9
199503,47.4,3.6
199603,39,-4.8
199703,48.3,4.5
199803,44.1,0.3
199903,41.6,-2.2
200003,47.3,3.5
200103,41.3,-2.5
200203,42.7,-1.1
200303,45.3,1.5
200403,47.3,3.5
200503,42.5,-1.3
200603,45,1.2
200703,47.2,3.4
200803,43.2,-0.6
200903,46.5,2.7
201003,40.5,-3.3
201103,45.4,1.6
201203,54,10.2
201303,38,-5.8
201403,39,-4.8
201503,47.4,3.6
