California, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,31.2,-2.0
189612,36.8,3.6
189712,31.1,-2.1
189812,31.1,-2.1
189912,33.9,0.7
190012,33.7,0.5
190112,32,-1.2
190212,32.9,-0.3
190312,31.6,-1.6
190412,33,-0.2
190512,29.9,-3.3
190612,35.9,2.7
190712,35.4,2.2
190812,31.3,-1.9
190912,31.8,-1.4
191012,35,1.8
191112,28.8,-4.4
191212,29.8,-3.4
191312,33.2,0.0
191412,30.2,-3.0
191512,33.7,0.5
191612,29.3,-3.9
191712,34.4,1.2
191812,30.1,-3.1
191912,31.6,-1.6
192012,32.9,-0.3
192112,35.8,2.6
192212,36,2.8
192312,31.8,-1.4
192412,30.7,-2.5
192512,34.5,1.3
192612,32.3,-0.9
192712,31.5,-1.7
192812,30.9,-2.3
192912,36.7,3.5
193012,28.9,-4.3
193112,31.7,-1.5
193212,28.4,-4.8
193312,34.4,1.2
193412,35.3,2.1
193512,33,-0.2
193612,32,-1.2
193712,36.5,3.3
193812,35.7,2.5
193912,36.6,3.4
194012,36.6,3.4
194112,35.7,2.5
194212,34.7,1.5
194312,34.5,1.3
194412,34.4,1.2
194512,34.3,1.1
194612,35.5,2.3
194712,31.9,-1.3
194812,29.3,-3.9
194912,30.6,-2.6
195012,39.1,5.9
195112,32.1,-1.1
195212,34.4,1.2
195312,32.9,-0.3
195412,32.6,-0.6
195512,37.3,4.1
195612,31.2,-2.0
195712,34.7,1.5
195812,36.1,2.9
195912,32.4,-0.8
196012,32.7,-0.5
196112,32.9,-0.3
196212,34.8,1.6
196312,32.8,-0.4
196412,37,3.8
196512,31.9,-1.3
196612,35.4,2.2
196712,29.8,-3.4
196812,30.6,-2.6
196912,35.2,2.0
197012,33.4,0.2
197112,30.1,-3.1
197212,29.9,-3.3
197312,36,2.8
197412,32.7,-0.5
197512,33.6,0.4
197612,30.2,-3.0
197712,38.6,5.4
197812,29,-4.2
197912,34.5,1.3
198012,35.8,2.6
198112,37.8,4.6
198212,33.6,0.4
198312,37.6,4.4
198412,32.7,-0.5
198512,33.4,0.2
198612,34,0.8
198712,32.7,-0.5
198812,32.3,-0.9
198912,32.2,-1.0
199012,26.8,-6.4
199112,33.9,0.7
199212,31.4,-1.8
199312,32.8,-0.4
199412,33.1,-0.1
199512,37.3,4.1
199612,37.4,4.2
199712,33.1,-0.1
199812,31.1,-2.1
199912,33.6,0.4
200012,35.4,2.2
200112,34.4,1.2
200212,35.1,1.9
200312,35.2,2.0
200412,35.2,2.0
200512,36.6,3.4
200612,33.1,-0.1
200712,31.8,-1.4
200812,32.4,-0.8
200912,32.2,-1.0
201012,37.7,4.5
201112,30.6,-2.6
201212,34.3,1.1
201312,32,-1.2
201412,38.9,5.7
201512,32.9,-0.3
