Arkansas, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,30.8,-0.7
189612,32.7,1.2
189712,29.9,-1.6
189812,27.4,-4.1
189912,30.7,-0.8
190012,32.4,0.9
190112,27.6,-3.9
190212,30.7,-0.8
190312,26.3,-5.2
190412,30.6,-0.9
190512,28.3,-3.2
190612,36.5,5.0
190712,34.1,2.6
190812,34.5,3.0
190912,24.6,-6.9
191012,28.8,-2.7
191112,32.8,1.3
191212,29.4,-2.1
191312,34.9,3.4
191412,28.3,-3.2
191512,32.9,1.4
191612,29.3,-2.2
191712,23.9,-7.6
191812,36.5,5.0
191912,28.7,-2.8
192012,32.2,0.7
192112,34.7,3.2
192212,35.8,4.3
192312,39.8,8.3
192412,29.3,-2.2
192512,28.3,-3.2
192612,32.2,0.7
192712,28.8,-2.7
192812,30.7,-0.8
192912,32.8,1.3
193012,29.7,-1.8
193112,38.6,7.1
193212,29.4,-2.1
193312,37.3,5.8
193412,30.6,-0.9
193512,27.1,-4.4
193612,34.3,2.8
193712,32.9,1.4
193812,31.4,-0.1
193912,33.7,2.2
194012,34.9,3.4
194112,33.6,2.1
194212,32.8,1.3
194312,30.2,-1.3
194412,27.6,-3.9
194512,26.9,-4.6
194612,36.4,4.9
194712,31.6,0.1
194812,33.6,2.1
194912,33.3,1.8
195012,26.2,-5.3
195112,32.6,1.1
195212,31.8,0.3
195312,29.5,-2.0
195412,31,-0.5
195512,29.3,-2.2
195612,36.1,4.6
195712,35.9,4.4
195812,27.5,-4.0
195912,34.8,3.3
196012,27.9,-3.6
196112,31.6,0.1
196212,30.2,-1.3
196312,22.2,-9.3
196412,32,0.5
196512,34.9,3.4
196612,31.2,-0.3
196712,32.4,0.9
196812,29.3,-2.2
196912,30.5,-1.0
197012,35,3.5
197112,38.8,7.3
197212,29.3,-2.2
197312,31.2,-0.3
197412,32.3,0.8
197512,32.6,1.1
197612,26.9,-4.6
197712,29.6,-1.9
197812,30.2,-1.3
197912,31.1,-0.4
198012,31.1,-0.4
198112,28.9,-2.6
198212,38,6.5
198312,22.3,-9.2
198412,40.6,9.1
198512,25.7,-5.8
198612,32.7,1.2
198712,33.8,2.3
198812,31.3,-0.2
198912,21.3,-10.2
199012,31,-0.5
199112,36.8,5.3
199212,34,2.5
199312,32.4,0.9
199412,35.8,4.3
199512,31.8,0.3
199612,34.6,3.1
199712,32.2,0.7
199812,34.6,3.1
199912,32.8,1.3
200012,22.9,-8.6
200112,35.3,3.8
200212,33.2,1.7
200312,31.9,0.4
200412,30.3,-1.2
200512,28.7,-2.8
200612,34.5,3.0
200712,33.9,2.4
200812,29.9,-1.6
200912,29.4,-2.1
201012,28.8,-2.7
201112,34,2.5
201212,36.3,4.8
201312,30.6,-0.9
201412,36.6,5.1
201512,39.2,7.7
