South Carolina, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,25.8,-9.3
189602,35.3,0.2
189702,38.6,3.5
189802,31,-4.1
189902,31.8,-3.3
190002,32.3,-2.8
190102,31.1,-4.0
190202,29.4,-5.7
190302,36.9,1.8
190402,32,-3.1
190502,28.3,-6.8
190602,33.2,-1.9
190702,33.4,-1.7
190802,31.8,-3.3
190902,38,2.9
191002,31.9,-3.2
191102,38.9,3.8
191202,29.7,-5.4
191302,36.6,1.5
191402,31.9,-3.2
191502,35.7,0.6
191602,34.8,-0.3
191702,34,-1.1
191802,38.7,3.6
191902,35.1,0.0
192002,32.7,-2.4
192102,37.5,2.4
192202,41.6,6.5
192302,34.3,-0.8
192402,32.1,-3.0
192502,39.5,4.4
192602,37.2,2.1
192702,44.8,9.7
192802,34.3,-0.8
192902,35.2,0.1
193002,37.8,2.7
193102,33.9,-1.2
193202,42.7,7.6
193302,37.2,2.1
193402,28.5,-6.6
193502,34.6,-0.5
193602,32.2,-2.9
193702,35.6,0.5
193802,40.2,5.1
193902,40.6,5.5
194002,33.6,-1.5
194102,28.4,-6.7
194202,30.1,-5.0
194302,34.4,-0.7
194402,39.8,4.7
194502,37.8,2.7
194602,35.6,0.5
194702,27,-8.1
194802,36.1,1.0
194902,42.5,7.4
195002,38.3,3.2
195102,33.5,-1.6
195202,36.5,1.4
195302,37.9,2.8
195402,37.8,2.7
195502,35.3,0.2
195602,40.1,5.0
195702,42.3,7.2
195802,27,-8.1
195902,39,3.9
196002,32.9,-2.2
196102,37.5,2.4
196202,37.9,2.8
196302,28.9,-6.2
196402,31.2,-3.9
196502,35.4,0.3
196602,35,-0.1
196702,32.2,-2.9
196802,26.6,-8.5
196902,32.9,-2.2
197002,31.2,-3.9
197102,32.8,-2.3
197202,34,-1.1
197302,31,-4.1
197402,35,-0.1
197502,39.3,4.2
197602,38.2,3.1
197702,29.1,-6.0
197802,27.7,-7.4
197902,30.9,-4.2
198002,29.5,-5.6
198102,33.6,-1.5
198202,38.5,3.4
198302,34.2,-0.9
198402,35.9,0.8
198502,35.6,0.5
198602,39.6,4.5
198702,34.8,-0.3
198802,32.7,-2.4
198902,38.2,3.1
199002,42.2,7.1
199102,38.2,3.1
199202,38.9,3.8
199302,34.4,-0.7
199402,37,1.9
199502,34.2,-0.9
199602,35.3,0.2
199702,39.3,4.2
199802,39.2,4.1
199902,36.8,1.7
200002,35.7,0.6
200102,39.5,4.4
200202,34.7,-0.4
200302,35.6,0.5
200402,33.9,-1.2
200502,37.4,2.3
200602,35.1,0.0
200702,32.7,-2.4
200802,37.6,2.5
200902,33.8,-1.3
201002,30.7,-4.4
201102,38.3,3.2
201202,38.6,3.5
201302,35.5,0.4
201402,36.7,1.6
201502,29.8,-5.3
