Michigan, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,41.6,0.3
189605,48.2,6.9
189705,39,-2.3
189805,41.4,0.1
189905,42.6,1.3
190005,42.4,1.1
190105,41.3,0.0
190205,41.9,0.6
190305,42.8,1.5
190405,41.1,-0.2
190505,40,-1.3
190605,40.5,-0.8
190705,34.2,-7.1
190805,43.3,2.0
190905,39.3,-2.0
191005,37.2,-4.1
191105,45.9,4.6
191205,42.2,0.9
191305,40.5,-0.8
191405,42.9,1.6
191505,38.4,-2.9
191605,41.3,0.0
191705,35.9,-5.4
191805,43.7,2.4
191905,40.3,-1.0
192005,38.5,-2.8
192105,44.5,3.2
192205,46.5,5.2
192305,37.2,-4.1
192405,35.9,-5.4
192505,35.9,-5.4
192605,38.5,-2.8
192705,40.3,-1.0
192805,40.5,-0.8
192905,38.4,-2.9
193005,43.3,2.0
193105,40.2,-1.1
193205,41.8,0.5
193305,44.2,2.9
193405,42.3,1.0
193505,36.8,-4.5
193605,43.9,2.6
193705,41.7,0.4
193805,42.1,0.8
193905,43.3,2.0
194005,39.8,-1.5
194105,44.2,2.9
194205,42.5,1.2
194305,40.9,-0.4
194405,45.9,4.6
194505,36.7,-4.6
194605,38.7,-2.6
194705,38,-3.3
194805,38.4,-2.9
194905,41.6,0.3
195005,40,-1.3
195105,43.6,2.3
195205,40.6,-0.7
195305,42.2,0.9
195405,37.1,-4.2
195505,43.3,2.0
195605,39.1,-2.2
195705,41.2,-0.1
195805,38.3,-3.0
195905,45.6,4.3
196005,43.1,1.8
196105,38,-3.3
196205,47,5.7
196305,39.1,-2.2
196405,45.4,4.1
196505,44.7,3.4
196605,36.4,-4.9
196705,36.5,-4.8
196805,39.5,-1.8
196905,40.8,-0.5
197005,43.6,2.3
197105,38.1,-3.2
197205,42.7,1.4
197305,39.8,-1.5
197405,39.4,-1.9
197505,45.9,4.6
197605,39,-2.3
197705,46.2,4.9
197805,43.7,2.4
197905,40.7,-0.6
198005,43.1,1.8
198105,39.5,-1.8
198205,47.7,6.4
198305,37.9,-3.4
198405,39.1,-2.2
198505,43.7,2.4
198605,44.7,3.4
198705,44.9,3.6
198805,42.7,1.4
198905,41.2,-0.1
199005,39.8,-1.5
199105,48.5,7.2
199205,40.7,-0.6
199305,42.3,1.0
199405,39.6,-1.7
199505,41.6,0.3
199605,39.8,-1.5
199705,36.5,-4.8
199805,47.2,5.9
199905,45,3.7
200005,45,3.7
200105,45.7,4.4
200205,38.5,-2.8
200305,41.3,0.0
200405,42.8,1.5
200505,40.4,-0.9
200605,44.9,3.6
200705,44.6,3.3
200805,38.6,-2.7
200905,41.4,0.1
201005,46.4,5.1
201105,44.3,3.0
201205,46,4.7
201305,43.9,2.6
201405,43.1,1.8
201505,45.1,3.8
