Colorado, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,9.6,-1.4
189601,13.6,2.6
189701,8.8,-2.2
189801,6.3,-4.7
189901,8.3,-2.7
190001,15.9,4.9
190101,11.1,0.1
190201,10.8,-0.2
190301,11.9,0.9
190401,7.1,-3.9
190501,12.2,1.2
190601,11.6,0.6
190701,15.8,4.8
190801,11,0.0
190901,16.3,5.3
191001,11.3,0.3
191101,17.7,6.7
191201,8.7,-2.3
191301,6.2,-4.8
191401,15,4.0
191501,7.1,-3.9
191601,10.1,-0.9
191701,6.7,-4.3
191801,6.5,-4.5
191901,5.3,-5.7
192001,13,2.0
192101,15.2,4.2
192201,5.8,-5.2
192301,15.7,4.7
192401,4.8,-6.2
192501,5,-6.0
192601,9.6,-1.4
192701,13.8,2.8
192801,13.6,2.6
192901,8.6,-2.4
193001,1.3,-9.7
193101,10.4,-0.6
193201,6.5,-4.5
193301,10.4,-0.6
193401,16.1,5.1
193501,14.7,3.7
193601,11.5,0.5
193701,-.8,-11.8
193801,13.7,2.7
193901,13.5,2.5
194001,7.8,-3.2
194101,12.7,1.7
194201,7.6,-3.4
194301,13,2.0
194401,8.8,-2.2
194501,13.5,2.5
194601,9.4,-1.6
194701,10,-1.0
194801,9.9,-1.1
194901,3.7,-7.3
195001,10.2,-0.8
195101,10.7,-0.3
195201,12.9,1.9
195301,18.9,7.9
195401,16.3,5.3
195501,9.6,-1.4
195601,17.2,6.2
195701,10.6,-0.4
195801,11.1,0.1
195901,11.9,0.9
196001,9.5,-1.5
196101,9.6,-1.4
196201,5,-6.0
196301,3.2,-7.8
196401,9.5,-1.5
196501,16.1,5.1
196601,7.2,-3.8
196701,14,3.0
196801,9.4,-1.6
196901,16.5,5.5
197001,12.5,1.5
197101,14.1,3.1
197201,11.4,0.4
197301,7.6,-3.4
197401,7.8,-3.2
197501,10.5,-0.5
197601,10.2,-0.8
197701,8,-3.0
197801,12.8,1.8
197901,3.4,-7.6
198001,13.8,2.8
198101,16.2,5.2
198201,11.2,0.2
198301,16,5.0
198401,6.5,-4.5
198501,10,-1.0
198601,18,7.0
198701,12.4,1.4
198801,6.9,-4.1
198901,10.7,-0.3
199001,13.8,2.8
199101,9.5,-1.5
199201,11.8,0.8
199301,12.8,1.8
199401,13.8,2.8
199501,15.3,4.3
199601,10.9,-0.1
199701,12.8,1.8
199801,16.3,5.3
199901,17.9,6.9
200001,17.2,6.2
200101,11.8,0.8
200201,12.3,1.3
200301,18.7,7.7
200401,13,2.0
200501,19,8.0
200601,16.4,5.4
200701,6.9,-4.1
200801,8.4,-2.6
200901,15.5,4.5
201001,13.2,2.2
201101,10.9,-0.1
201201,15.9,4.9
201301,9.1,-1.9
201401,13.1,2.1
201501,17.2,6.2
201601,13.2,2.2
