Kentucky, Minimum Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189510,36.2,-8.0
189610,41.3,-2.9
189710,46.5,2.3
189810,46.1,1.9
189910,47.1,2.9
190010,50.6,6.4
190110,42.5,-1.7
190210,46.3,2.1
190310,43,-1.2
190410,41.9,-2.3
190510,44.6,0.4
190610,44.7,0.5
190710,40.7,-3.5
190810,41,-3.2
190910,39.7,-4.5
191010,46.6,2.4
191110,48.1,3.9
191210,44.2,0.0
191310,43.9,-0.3
191410,48.4,4.2
191510,46.9,2.7
191610,42,-2.2
191710,36.9,-7.3
191810,49,4.8
191910,54.8,10.6
192010,45.4,1.2
192110,41.5,-2.7
192210,44.3,0.1
192310,41.9,-2.3
192410,44.2,0.0
192510,42.6,-1.6
192610,47.8,3.6
192710,45,0.8
192810,47.8,3.6
192910,43.6,-0.6
193010,41.5,-2.7
193110,47.4,3.2
193210,43.8,-0.4
193310,43,-1.2
193410,44,-0.2
193510,44.6,0.4
193610,45.9,1.7
193710,42.9,-1.3
193810,42.4,-1.8
193910,45.3,1.1
194010,44,-0.2
194110,50.9,6.7
194210,44.7,0.5
194310,41.3,-2.9
194410,42.5,-1.7
194510,42.5,-1.7
194610,44.2,0.0
194710,50.2,6.0
194810,39.8,-4.4
194910,49.7,5.5
195010,48.3,4.1
195110,44.6,0.4
195210,35.8,-8.4
195310,42.4,-1.8
195410,46.7,2.5
195510,44.1,-0.1
195610,47.2,3.0
195710,41.8,-2.4
195810,42,-2.2
195910,46.4,2.2
196010,45.9,1.7
196110,42.8,-1.4
196210,47,2.8
196310,44.1,-0.1
196410,38.9,-5.3
196510,41.4,-2.8
196610,39.9,-4.3
196710,42.7,-1.5
196810,43.5,-0.7
196910,43.5,-0.7
197010,46.5,2.3
197110,51.5,7.3
197210,43.8,-0.4
197310,48.1,3.9
197410,40.1,-4.1
197510,46,1.8
197610,39.1,-5.1
197710,41.9,-2.3
197810,40.4,-3.8
197910,43.9,-0.3
198010,40.6,-3.6
198110,42.9,-1.3
198210,45.2,1.0
198310,46.8,2.6
198410,53,8.8
198510,49.9,5.7
198610,47.2,3.0
198710,36.9,-7.3
198810,37.6,-6.6
198910,43.7,-0.5
199010,43.5,-0.7
199110,45.5,1.3
199210,42.1,-2.1
199310,42.4,-1.8
199410,44,-0.2
199510,44.7,0.5
199610,44.9,0.7
199710,43.5,-0.7
199810,46,1.8
199910,43,-1.2
200010,45.8,1.6
200110,42.7,-1.5
200210,48.9,4.7
200310,44.4,0.2
200410,49.2,5.0
200510,46.2,2.0
200610,43.2,-1.0
200710,50.1,5.9
200810,43.3,-0.9
200910,43.7,-0.5
201010,43.2,-1.0
201110,43.1,-1.1
201210,44.2,0.0
201310,46.7,2.5
201410,46.7,2.5
201510,46.2,2.0
