Nebraska, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,39,4.5
189604,37.3,2.8
189704,34.6,0.1
189804,33.2,-1.3
189904,32.6,-1.9
190004,38.5,4.0
190104,36.1,1.6
190204,33.1,-1.4
190304,34.6,0.1
190404,30.8,-3.7
190504,32.7,-1.8
190604,37.4,2.9
190704,27.5,-7.0
190804,34.3,-0.2
190904,29.7,-4.8
191004,35.9,1.4
191104,32.8,-1.7
191204,34.8,0.3
191304,35.4,0.9
191404,34.8,0.3
191504,40.8,6.3
191604,33.3,-1.2
191704,31.8,-2.7
191804,30.9,-3.6
191904,34.8,0.3
192004,28.4,-6.1
192104,33.9,-0.6
192204,35.5,1.0
192304,32.7,-1.8
192404,33.5,-1.0
192504,40.4,5.9
192604,31.5,-3.0
192704,36.3,1.8
192804,29.6,-4.9
192904,35.2,0.7
193004,38.8,4.3
193104,34.2,-0.3
193204,38.3,3.8
193304,34,-0.5
193404,35.7,1.2
193504,33,-1.5
193604,31.5,-3.0
193704,33.7,-0.8
193804,36.4,1.9
193904,34.7,0.2
194004,34.4,-0.1
194104,38.4,3.9
194204,38.7,4.2
194304,37.6,3.1
194404,32.6,-1.9
194504,32.4,-2.1
194604,39.9,5.4
194704,33.4,-1.1
194804,38.9,4.4
194904,35.2,0.7
195004,29.3,-5.2
195104,31.1,-3.4
195204,34.4,-0.1
195304,30.1,-4.4
195404,36.1,1.6
195504,38.3,3.8
195604,29.2,-5.3
195704,34,-0.5
195804,34.2,-0.3
195904,32.9,-1.6
196004,36.3,1.8
196104,30.4,-4.1
196204,34.3,-0.2
196304,37,2.5
196404,35.6,1.1
196504,37,2.5
196604,31.2,-3.3
196704,36,1.5
196804,33,-1.5
196904,37.1,2.6
197004,32.4,-2.1
197104,35.6,1.1
197204,34.3,-0.2
197304,33.5,-1.0
197404,36.3,1.8
197504,33.6,-0.9
197604,38.6,4.1
197704,40.2,5.7
197804,37.4,2.9
197904,34.9,0.4
198004,34.9,0.4
198104,41.5,7.0
198204,31.2,-3.3
198304,31.4,-3.1
198404,33.9,-0.6
198504,38.2,3.7
198604,36.1,1.6
198704,36.5,2.0
198804,32.9,-1.6
198904,35.3,0.8
199004,34.5,0.0
199104,37.6,3.1
199204,34.8,0.3
199304,34.4,-0.1
199404,33.9,-0.6
199504,31.8,-2.7
199604,32.5,-2.0
199704,30.4,-4.1
199804,34.8,0.3
199904,36.3,1.8
200004,33.6,-0.9
200104,37.7,3.2
200204,35.6,1.1
200304,38,3.5
200404,35.9,1.4
200504,37.2,2.7
200604,38.7,4.2
200704,34.5,0.0
200804,31.6,-2.9
200904,33.7,-0.8
201004,38.8,4.3
201104,35.7,1.2
201204,40.1,5.6
201304,29.7,-4.8
201404,34.5,0.0
201504,37.1,2.6
