Wyoming, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,39.5,-4.1
189606,44.2,0.6
189706,43,-0.6
189806,42.9,-0.7
189906,40.8,-2.8
190006,46.8,3.2
190106,42.6,-1.0
190206,43,-0.6
190306,44.1,0.5
190406,41.5,-2.1
190506,42.9,-0.7
190606,41,-2.6
190706,40.7,-2.9
190806,41.3,-2.3
190906,44.7,1.1
191006,44.4,0.8
191106,46.9,3.3
191206,43.1,-0.5
191306,45.8,2.2
191406,44,0.4
191506,39.9,-3.7
191606,40.1,-3.5
191706,39.7,-3.9
191806,48.3,4.7
191906,44.9,1.3
192006,42.3,-1.3
192106,46.9,3.3
192206,44.5,0.9
192306,43.5,-0.1
192406,41.2,-2.4
192506,43.7,0.1
192606,44,0.4
192706,44.3,0.7
192806,40.2,-3.4
192906,41.2,-2.4
193006,41.1,-2.5
193106,46.8,3.2
193206,43.7,0.1
193306,47.4,3.8
193406,44,0.4
193506,43.2,-0.4
193606,47.5,3.9
193706,43.5,-0.1
193806,45.2,1.6
193906,42,-1.6
194006,45.1,1.5
194106,44.5,0.9
194206,41.7,-1.9
194306,42,-1.6
194406,41.9,-1.7
194506,40.5,-3.1
194606,43,-0.6
194706,41.1,-2.5
194806,45.5,1.9
194906,43.5,-0.1
195006,40.7,-2.9
195106,38.7,-4.9
195206,45,1.4
195306,44.3,0.7
195406,42.9,-0.7
195506,42.7,-0.9
195606,45.6,2.0
195706,43.8,0.2
195806,44,0.4
195906,46.3,2.7
196006,44.7,1.1
196106,46.2,2.6
196206,43.3,-0.3
196306,44.3,0.7
196406,43.1,-0.5
196506,43.5,-0.1
196606,42.6,-1.0
196706,43,-0.6
196806,43.1,-0.5
196906,41,-2.6
197006,43.9,0.3
197106,44.2,0.6
197206,45.9,2.3
197306,43.5,-0.1
197406,44.5,0.9
197506,40.8,-2.8
197606,41.8,-1.8
197706,47.5,3.9
197806,42.8,-0.8
197906,42.6,-1.0
198006,43.7,0.1
198106,44.6,1.0
198206,42.1,-1.5
198306,43.2,-0.4
198406,42.5,-1.1
198506,43.1,-0.5
198606,47.3,3.7
198706,45.1,1.5
198806,50.3,6.7
198906,42.4,-1.2
199006,44.4,0.8
199106,45.4,1.8
199206,44.8,1.2
199306,41.6,-2.0
199406,45.3,1.7
199506,42.2,-1.4
199606,45.1,1.5
199706,46.3,2.7
199806,40.2,-3.4
199906,43,-0.6
200006,42.8,-0.8
200106,44.7,1.1
200206,45.1,1.5
200306,42.5,-1.1
200406,42.6,-1.0
200506,43.1,-0.5
200606,46.2,2.6
200706,45.1,1.5
200806,42.1,-1.5
200906,43,-0.6
201006,44.1,0.5
201106,41.8,-1.8
201206,46,2.4
201306,45,1.4
201406,42.1,-1.5
201506,48.6,5.0
