Colorado, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,43,-3.3
189606,47.5,1.2
189706,45.3,-1.0
189806,46.7,0.4
189906,45.1,-1.2
190006,47.2,0.9
190106,45.3,-1.0
190206,46.1,-0.2
190306,45,-1.3
190406,43.9,-2.4
190506,47,0.7
190606,43.9,-2.4
190706,43.2,-3.1
190806,43.7,-2.6
190906,46,-0.3
191006,46.3,0.0
191106,47.8,1.5
191206,44.2,-2.1
191306,46.5,0.2
191406,47.5,1.2
191506,43.7,-2.6
191606,43.3,-3.0
191706,43,-3.3
191806,49.9,3.6
191906,44.5,-1.8
192006,45.9,-0.4
192106,47.3,1.0
192206,47.4,1.1
192306,45.3,-1.0
192406,45.5,-0.8
192506,47.5,1.2
192606,46.3,0.0
192706,46.4,0.1
192806,43.7,-2.6
192906,44.7,-1.6
193006,45.3,-1.0
193106,48.9,2.6
193206,44.9,-1.4
193306,49.2,2.9
193406,46.4,0.1
193506,45.8,-0.5
193606,49.7,3.4
193706,46,-0.3
193806,47.6,1.3
193906,45.3,-1.0
194006,47.3,1.0
194106,45.6,-0.7
194206,45.7,-0.6
194306,45.9,-0.4
194406,45.2,-1.1
194506,42.6,-3.7
194606,46.5,0.2
194706,44.4,-1.9
194806,46.7,0.4
194906,47,0.7
195006,45,-1.3
195106,42.9,-3.4
195206,49.3,3.0
195306,48.5,2.2
195406,46.9,0.6
195506,44.6,-1.7
195606,49.2,2.9
195706,45.8,-0.5
195806,47.8,1.5
195906,49,2.7
196006,46.9,0.6
196106,47.3,1.0
196206,45.5,-0.8
196306,46.9,0.6
196406,45.5,-0.8
196506,45.9,-0.4
196606,46.5,0.2
196706,45.5,-0.8
196806,46.6,0.3
196906,44.5,-1.8
197006,45.5,-0.8
197106,46.6,0.3
197206,48.4,2.1
197306,45.2,-1.1
197406,46.7,0.4
197506,44,-2.3
197606,44.6,-1.7
197706,49.7,3.4
197806,47.5,1.2
197906,45.5,-0.8
198006,47,0.7
198106,49.2,2.9
198206,44.4,-1.9
198306,44.9,-1.4
198406,46.2,-0.1
198506,46.7,0.4
198606,48.9,2.6
198706,47.7,1.4
198806,50.4,4.1
198906,45.6,-0.7
199006,48.9,2.6
199106,48.1,1.8
199206,45.9,-0.4
199306,45.5,-0.8
199406,50.1,3.8
199506,44.6,-1.7
199606,48.3,2.0
199706,48,1.7
199806,44.1,-2.2
199906,45.7,-0.6
200006,47.3,1.0
200106,47.8,1.5
200206,50.4,4.1
200306,45.7,-0.6
200406,46,-0.3
200506,46,-0.3
200606,49.4,3.1
200706,47.2,0.9
200806,45.5,-0.8
200906,46.3,0.0
201006,48.9,2.6
201106,46.9,0.6
201206,51,4.7
201306,48.9,2.6
201406,47,0.7
201506,50.6,4.3
