Missouri, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,45.3,2.4
189604,50.1,7.2
189704,43.2,0.3
189804,40.9,-2.0
189904,42.5,-0.4
190004,44,1.1
190104,40.9,-2.0
190204,40.9,-2.0
190304,43.1,0.2
190404,37.1,-5.8
190504,42.1,-0.8
190604,45.5,2.6
190704,36.3,-6.6
190804,43.6,0.7
190904,40.6,-2.3
191004,42.2,-0.7
191104,41.7,-1.2
191204,43.9,1.0
191304,42.9,0.0
191404,42.8,-0.1
191504,48.3,5.4
191604,42.1,-0.8
191704,40.9,-2.0
191804,39.4,-3.5
191904,42.8,-0.1
192004,38.7,-4.2
192104,43.5,0.6
192204,44.6,1.7
192304,41.3,-1.6
192404,43.3,0.4
192504,48.8,5.9
192604,36.8,-6.1
192704,47.3,4.4
192804,38.9,-4.0
192904,45.7,2.8
193004,45.7,2.8
193104,42,-0.9
193204,44.5,1.6
193304,42.3,-0.6
193404,42.8,-0.1
193504,41.4,-1.5
193604,38.7,-4.2
193704,42.2,-0.7
193804,44.4,1.5
193904,41.3,-1.6
194004,41.5,-1.4
194104,46.6,3.7
194204,46,3.1
194304,42.1,-0.8
194404,40.2,-2.7
194504,44,1.1
194604,46.5,3.6
194704,42.8,-0.1
194804,47.3,4.4
194904,41.4,-1.5
195004,38.6,-4.3
195104,40,-2.9
195204,41.1,-1.8
195304,38.9,-4.0
195404,48.4,5.5
195504,48.6,5.7
195604,39.6,-3.3
195704,45.2,2.3
195804,42.8,-0.1
195904,42.8,-0.1
196004,44.7,1.8
196104,39.5,-3.4
196204,40,-2.9
196304,45.8,2.9
196404,46.2,3.3
196504,45.7,2.8
196604,40.5,-2.4
196704,47.1,4.2
196804,42.6,-0.3
196904,43.9,1.0
197004,43.9,1.0
197104,42,-0.9
197204,43.3,0.4
197304,42.7,-0.2
197404,44.3,1.4
197504,41.9,-1.0
197604,44.7,1.8
197704,47.4,4.5
197804,45.4,2.5
197904,42.2,-0.7
198004,41.5,-1.4
198104,49.6,6.7
198204,39,-3.9
198304,38.9,-4.0
198404,42.7,-0.2
198504,47,4.1
198604,46,3.1
198704,42.6,-0.3
198804,40.8,-2.1
198904,43.5,0.6
199004,41.7,-1.2
199104,46.7,3.8
199204,42.9,0.0
199304,41,-1.9
199404,43.3,0.4
199504,41.4,-1.5
199604,39.6,-3.3
199704,38.6,-4.3
199804,43.1,0.2
199904,47,4.1
200004,41.4,-1.5
200104,48.9,6.0
200204,45.6,2.7
200304,44.9,2.0
200404,44.7,1.8
200504,45.4,2.5
200604,47.9,5.0
200704,40.7,-2.2
200804,41.3,-1.6
200904,42.7,-0.2
201004,48.1,5.2
201104,45.2,2.3
201204,46.9,4.0
201304,40.7,-2.2
201404,42.9,0.0
201504,46.3,3.4
