Connecticut, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,8.4,-8.5
189602,16.7,-0.2
189702,17.7,0.8
189802,18.7,1.8
189902,13.3,-3.6
190002,15.7,-1.2
190102,10.9,-6.0
190202,15,-1.9
190302,18.3,1.4
190402,8.2,-8.7
190502,7.8,-9.1
190602,15.1,-1.8
190702,6.1,-10.8
190802,11.7,-5.2
190902,20.8,3.9
191002,15.7,-1.2
191102,15.1,-1.8
191202,12.6,-4.3
191302,13.5,-3.4
191402,8.9,-8.0
191502,20.7,3.8
191602,12.1,-4.8
191702,12.4,-4.5
191802,11.6,-5.3
191902,19.5,2.6
192002,12.9,-4.0
192102,18.7,1.8
192202,18.3,1.4
192302,8.9,-8.0
192402,12.7,-4.2
192502,23.5,6.6
192602,14.9,-2.0
192702,21.5,4.6
192802,16.2,-0.7
192902,16.7,-0.2
193002,19.5,2.6
193102,16.4,-0.5
193202,19.4,2.5
193302,19.6,2.7
193402,1.6,-15.3
193502,15.4,-1.5
193602,9.2,-7.7
193702,21.7,4.8
193802,21,4.1
193902,19.9,3.0
194002,18.2,1.3
194102,17,0.1
194202,15.8,-1.1
194302,16.8,-0.1
194402,16.6,-0.3
194502,17.8,0.9
194602,14.6,-2.3
194702,15.3,-1.6
194802,11.6,-5.3
194902,22,5.1
195002,16.6,-0.3
195102,21.2,4.3
195202,21.1,4.2
195302,23.6,6.7
195402,24.1,7.2
195502,19.8,2.9
195602,22.4,5.5
195702,22.2,5.3
195802,14.1,-2.8
195902,14.3,-2.6
196002,23.7,6.8
196102,17.9,1.0
196202,15.1,-1.8
196302,10.9,-6.0
196402,15.4,-1.5
196502,16.2,-0.7
196602,18.4,1.5
196702,13.2,-3.7
196802,13.2,-3.7
196902,19.5,2.6
197002,16.8,-0.1
197102,19.7,2.8
197202,14.8,-2.1
197302,17.3,0.4
197402,16,-0.9
197502,19.6,2.7
197602,21.3,4.4
197702,17.1,0.2
197802,9.8,-7.1
197902,9.6,-7.3
198002,14.1,-2.8
198102,23.2,6.3
198202,19.3,2.4
198302,20.1,3.2
198402,25.6,8.7
198502,19.6,2.7
198602,18.3,1.4
198702,15.9,-1.0
198802,18.5,1.6
198902,18.8,1.9
199002,22.4,5.5
199102,23,6.1
199202,20.6,3.7
199302,12.9,-4.0
199402,12.9,-4.0
199502,15.8,-1.1
199602,18.5,1.6
199702,25,8.1
199802,26.9,10.0
199902,22.5,5.6
200002,22.2,5.3
200102,20.1,3.2
200202,23.3,6.4
200302,14.9,-2.0
200402,18.9,2.0
200502,19.5,2.6
200602,20.2,3.3
200702,14.9,-2.0
200802,21,4.1
200902,20.2,3.3
201002,23.3,6.4
201102,15.9,-1.0
201202,25.5,8.6
201302,21.5,4.6
201402,15.3,-1.6
201502,4.5,-12.4
201602,21.5,4.6
