Ohio, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,56,3.5
189609,50.7,-1.8
189709,49.6,-2.9
189809,55.7,3.2
189909,51.2,-1.3
190009,57,4.5
190109,52.5,0.0
190209,51.4,-1.1
190309,50.7,-1.8
190409,52.8,0.3
190509,52.6,0.1
190609,56.4,3.9
190709,54.3,1.8
190809,50.9,-1.6
190909,50.4,-2.1
191009,54.6,2.1
191109,56.5,4.0
191209,55.2,2.7
191309,51,-1.5
191409,49.8,-2.7
191509,55.2,2.7
191609,49.9,-2.6
191709,47.7,-4.8
191809,45.6,-6.9
191909,52.7,0.2
192009,53.5,1.0
192109,58.4,5.9
192209,53.6,1.1
192309,53.9,1.4
192409,48.8,-3.7
192509,57.5,5.0
192609,55.9,3.4
192709,53.6,1.1
192809,47.8,-4.7
192909,52.6,0.1
193009,54.1,1.6
193109,57.8,5.3
193209,52.2,-0.3
193309,57.2,4.7
193409,55,2.5
193509,50.8,-1.7
193609,56.1,3.6
193709,48.9,-3.6
193809,53.5,1.0
193909,54.6,2.1
194009,48.7,-3.8
194109,53.9,1.4
194209,51.5,-1.0
194309,48.5,-4.0
194409,51.6,-0.9
194509,55.9,3.4
194609,50.5,-2.0
194709,53.6,1.1
194809,53.1,0.6
194909,47.4,-5.1
195009,52.1,-0.4
195109,49.9,-2.6
195209,49.9,-2.6
195309,50.2,-2.3
195409,53.9,1.4
195509,53,0.5
195609,48.7,-3.8
195709,52.8,0.3
195809,53.2,0.7
195909,54.3,1.8
196009,55.3,2.8
196109,56.3,3.8
196209,49.7,-2.8
196309,47.7,-4.8
196409,51.1,-1.4
196509,55.8,3.3
196609,50,-2.5
196709,47.1,-5.4
196809,53.5,1.0
196909,52.2,-0.3
197009,56.1,3.6
197109,57.2,4.7
197209,55.1,2.6
197309,54.6,2.1
197409,49.8,-2.7
197509,50.1,-2.4
197609,48.6,-3.9
197709,56.5,4.0
197809,55.8,3.3
197909,52.4,-0.1
198009,54.5,2.0
198109,52.3,-0.2
198209,51.8,-0.7
198309,52.1,-0.4
198409,50.5,-2.0
198509,52.5,0.0
198609,56,3.5
198709,53.7,1.2
198809,51.9,-0.6
198909,52.6,0.1
199009,53.9,1.4
199109,51.9,-0.6
199209,51.7,-0.8
199309,52.2,-0.3
199409,51.2,-1.3
199509,49.8,-2.7
199609,53.4,0.9
199709,51.4,-1.1
199809,55,2.5
199909,50.5,-2.0
200009,52.2,-0.3
200109,51,-1.5
200209,55.5,3.0
200309,52.2,-0.3
200409,54.7,2.2
200509,55.7,3.2
200609,52.5,0.0
200709,54.3,1.8
200809,54.6,2.1
200909,54.1,1.6
201009,53.4,0.9
201109,55,2.5
201209,51.9,-0.6
201309,52.7,0.2
201409,52.2,-0.3
201509,56.8,4.3
