Texas, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,32.1,-2.7
189612,35.2,0.4
189712,31.1,-3.7
189812,29.8,-5.0
189912,34.1,-0.7
190012,33.9,-0.9
190112,32,-2.8
190212,35.4,0.6
190312,32.7,-2.1
190412,33.6,-1.2
190512,30.6,-4.2
190612,40.7,5.9
190712,36.4,1.6
190812,37.2,2.4
190912,28.7,-6.1
191012,35.2,0.4
191112,33.5,-1.3
191212,33.4,-1.4
191312,35.9,1.1
191412,32.1,-2.7
191512,35.5,0.7
191612,32.7,-2.1
191712,30.3,-4.5
191812,35.7,0.9
191912,32.7,-2.1
192012,33.4,-1.4
192112,37.4,2.6
192212,38.5,3.7
192312,38.7,3.9
192412,32.6,-2.2
192512,31.2,-3.6
192612,36,1.2
192712,32.1,-2.7
192812,33.9,-0.9
192912,34,-0.8
193012,32.7,-2.1
193112,37.4,2.6
193212,32.1,-2.7
193312,38.9,4.1
193412,36.1,1.3
193512,35.2,0.4
193612,37.1,2.3
193712,37.1,2.3
193812,34.4,-0.4
193912,36.3,1.5
194012,38.2,3.4
194112,37.1,2.3
194212,35.2,0.4
194312,33,-1.8
194412,32.5,-2.3
194512,32,-2.8
194612,38.3,3.5
194712,35.5,0.7
194812,37.7,2.9
194912,37.3,2.5
195012,31.8,-3.0
195112,36,1.2
195212,33.9,-0.9
195312,31.9,-2.9
195412,35.6,0.8
195512,34.7,-0.1
195612,36.6,1.8
195712,36.8,2.0
195812,31.7,-3.1
195912,36.8,2.0
196012,33.3,-1.5
196112,35,0.2
196212,35.5,0.7
196312,29.3,-5.5
196412,34.9,0.1
196512,39.7,4.9
196612,31.6,-3.2
196712,34.1,-0.7
196812,33,-1.8
196912,36.7,1.9
197012,39.9,5.1
197112,40.2,5.4
197212,31.3,-3.5
197312,32.7,-2.1
197412,34.2,-0.6
197512,34.6,-0.2
197612,31.4,-3.4
197712,35.5,0.7
197812,33.1,-1.7
197912,34.9,0.1
198012,37.2,2.4
198112,35.5,0.7
198212,36.6,1.8
198312,26.9,-7.9
198412,42.6,7.8
198512,30.7,-4.1
198612,36.8,2.0
198712,35.3,0.5
198812,35.6,0.8
198912,26.6,-8.2
199012,32.9,-1.9
199112,40,5.2
199212,37.8,3.0
199312,37.1,2.3
199412,39.6,4.8
199512,37,2.2
199612,36.4,1.6
199712,33.2,-1.6
199812,36.7,1.9
199912,35,0.2
200012,31.5,-3.3
200112,37.4,2.6
200212,36.3,1.5
200312,34.8,0.0
200412,34.8,0.0
200512,33.1,-1.7
200612,36.3,1.5
200712,35.6,0.8
200812,34.3,-0.5
200912,32.3,-2.5
201012,35.4,0.6
201112,36.5,1.7
201212,37.5,2.7
201312,32.9,-1.9
201412,40.9,6.1
201512,38.7,3.9
