New York, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,55,3.0
189606,51.3,-0.7
189706,49.2,-2.8
189806,54.4,2.4
189906,54,2.0
190006,53.3,1.3
190106,54.1,2.1
190206,49.8,-2.2
190306,49.2,-2.8
190406,52.9,0.9
190506,52.5,0.5
190606,53.8,1.8
190706,50.2,-1.8
190806,52.3,0.3
190906,52.9,0.9
191006,50.6,-1.4
191106,52.2,0.2
191206,48.3,-3.7
191306,49.4,-2.6
191406,50.7,-1.3
191506,48.9,-3.1
191606,49.8,-2.2
191706,51.6,-0.4
191806,48.3,-3.7
191906,55.7,3.7
192006,51.4,-0.6
192106,51.6,-0.4
192206,54.3,2.3
192306,52.4,0.4
192406,49.3,-2.7
192506,54.3,2.3
192606,47.1,-4.9
192706,47.3,-4.7
192806,50.3,-1.7
192906,51,-1.0
193006,54.3,2.3
193106,51.7,-0.3
193206,51.6,-0.4
193306,53.5,1.5
193406,54.5,2.5
193506,51.6,-0.4
193606,51.8,-0.2
193706,53.2,1.2
193806,51.4,-0.6
193906,52.5,0.5
194006,51.6,-0.4
194106,53,1.0
194206,53.7,1.7
194306,56.8,4.8
194406,53.4,1.4
194506,51.6,-0.4
194606,50.2,-1.8
194706,50.8,-1.2
194806,51.3,-0.7
194906,56.4,4.4
195006,51,-1.0
195106,52.1,0.1
195206,53.5,1.5
195306,51.8,-0.2
195406,53.9,1.9
195506,51.9,-0.1
195606,52.3,0.3
195706,55.3,3.3
195806,47.4,-4.6
195906,54,2.0
196006,51.5,-0.5
196106,51.7,-0.3
196206,52.5,0.5
196306,51.7,-0.3
196406,50.2,-1.8
196506,49.2,-2.8
196606,51.1,-0.9
196706,54.9,2.9
196806,52.2,0.2
196906,52.1,0.1
197006,51.2,-0.8
197106,52.2,0.2
197206,51.8,-0.2
197306,55.4,3.4
197406,52,0.0
197506,53.8,1.8
197606,55,3.0
197706,50.3,-1.7
197806,50.8,-1.2
197906,50.6,-1.4
198006,48.5,-3.5
198106,52.9,0.9
198206,50.8,-1.2
198306,51.7,-0.3
198406,52.7,0.7
198506,49.2,-2.8
198606,50.3,-1.7
198706,54.4,2.4
198806,48.7,-3.3
198906,54.8,2.8
199006,53.1,1.1
199106,53.1,1.1
199206,49.8,-2.2
199306,51.2,-0.8
199406,54.5,2.5
199506,53.6,1.6
199606,55.2,3.2
199706,53.1,1.1
199806,54.1,2.1
199906,54.5,2.5
200006,53.4,1.4
200106,53.7,1.7
200206,53.2,1.2
200306,52.5,0.5
200406,50.8,-1.2
200506,57.7,5.7
200606,54.8,2.8
200706,53.2,1.2
200806,56.2,4.2
200906,52,0.0
201006,54.8,2.8
201106,54.6,2.6
201206,53.7,1.7
201306,53.9,1.9
201406,53.8,1.8
201506,52.9,0.9
