Indiana, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,60.4,1.5
189606,58.8,-0.1
189706,57.4,-1.5
189806,60.2,1.3
189906,61.1,2.2
190006,59.8,0.9
190106,61.1,2.2
190206,57.7,-1.2
190306,53.9,-5.0
190406,57.5,-1.4
190506,59.1,0.2
190606,58.6,-0.3
190706,55.7,-3.2
190806,57.6,-1.3
190906,60.6,1.7
191006,54.3,-4.6
191106,60,1.1
191206,55.1,-3.8
191306,58.6,-0.3
191406,60.9,2.0
191506,56.3,-2.6
191606,55.3,-3.6
191706,56,-2.9
191806,57.5,-1.4
191906,62.9,4.0
192006,58.1,-0.8
192106,63.3,4.4
192206,59.2,0.3
192306,59.6,0.7
192406,58.2,-0.7
192506,61.1,2.2
192606,53.8,-5.1
192706,54.8,-4.1
192806,54.8,-4.1
192906,55.5,-3.4
193006,56.6,-2.3
193106,60.8,1.9
193206,59.7,0.8
193306,61.9,3.0
193406,62.5,3.6
193506,56.5,-2.4
193606,55.9,-3.0
193706,59,0.1
193806,57.6,-1.3
193906,61.8,2.9
194006,59.8,0.9
194106,59.7,0.8
194206,60.3,1.4
194306,63.8,4.9
194406,62,3.1
194506,57.2,-1.7
194606,58.7,-0.2
194706,57.6,-1.3
194806,58.4,-0.5
194906,62,3.1
195006,57.7,-1.2
195106,58.6,-0.3
195206,63.7,4.8
195306,62.1,3.2
195406,61.6,2.7
195506,55,-3.9
195606,59.7,0.8
195706,60.8,1.9
195806,55.3,-3.6
195906,59.3,0.4
196006,57.2,-1.7
196106,56.3,-2.6
196206,59.1,0.2
196306,57.5,-1.4
196406,60.2,1.3
196506,58.4,-0.5
196606,57.3,-1.6
196706,60.4,1.5
196806,59.7,0.8
196906,57.3,-1.6
197006,58.8,-0.1
197106,62.4,3.5
197206,54.7,-4.2
197306,61.3,2.4
197406,56.4,-2.5
197506,60.6,1.7
197606,59.4,0.5
197706,57.5,-1.4
197806,59.3,0.4
197906,58.8,-0.1
198006,56.6,-2.3
198106,61.6,2.7
198206,55.3,-3.6
198306,59.1,0.2
198406,62.4,3.5
198506,57.6,-1.3
198606,60.6,1.7
198706,61.7,2.8
198806,56.9,-2.0
198906,59.6,0.7
199006,59.4,0.5
199106,62.5,3.6
199206,55,-3.9
199306,59.3,0.4
199406,61.1,2.2
199506,60.5,1.6
199606,60.7,1.8
199706,60,1.1
199806,61.1,2.2
199906,61.7,2.8
200006,60,1.1
200106,58.6,-0.3
200206,61.8,2.9
200306,56.3,-2.6
200406,59,0.1
200506,62.4,3.5
200606,58.7,-0.2
200706,60.2,1.3
200806,61.4,2.5
200906,61.2,2.3
201006,63.9,5.0
201106,61.7,2.8
201206,58.2,-0.7
201306,60.5,1.6
201406,62.5,3.6
201506,61.6,2.7
