Alaska, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
192504,14.6,0.0
192604,19.5,4.9
192704,5,-9.6
192804,13.8,-0.8
192904,12.3,-2.3
193004,11.8,-2.8
193104,13.5,-1.1
193204,16.3,1.7
193304,16.3,1.7
193404,18.4,3.8
193504,15.3,0.7
193604,13.6,-1.0
193704,10.5,-4.1
193804,18.7,4.1
193904,16.8,2.2
194004,23.5,8.9
194104,19.1,4.5
194204,18.4,3.8
194304,14.3,-0.3
194404,11.1,-3.5
194504,11.5,-3.1
194604,11.6,-3.0
194704,14.8,0.2
194804,13.1,-1.5
194904,7.6,-7.0
195004,14.9,0.3
195104,19.2,4.6
195204,11,-3.6
195304,18.1,3.5
195404,11.3,-3.3
195504,8.7,-5.9
195604,13.6,-1.0
195704,19.4,4.8
195804,18.2,3.6
195904,11.1,-3.5
196004,8.3,-6.3
196104,12,-2.6
196204,14.8,0.2
196304,13.3,-1.3
196404,11.3,-3.3
196504,17.1,2.5
196604,11.9,-2.7
196704,18.9,4.3
196804,12.9,-1.7
196904,19.2,4.6
197004,14.6,0.0
197104,9.6,-5.0
197204,5.4,-9.2
197304,16.2,1.6
197404,15,0.4
197504,11.3,-3.3
197604,14,-0.6
197704,9,-5.6
197804,17.8,3.2
197904,17.2,2.6
198004,18,3.4
198104,15,0.4
198204,10.8,-3.8
198304,18.8,4.2
198404,10.1,-4.5
198504,2.8,-11.8
198604,7.3,-7.3
198704,13.5,-1.1
198804,16.6,2.0
198904,19.9,5.3
199004,20.7,6.1
199104,18,3.4
199204,13.8,-0.8
199304,21.7,7.1
199404,17.4,2.8
199504,21.8,7.2
199604,14.3,-0.3
199704,17.9,3.3
199804,22.9,8.3
199904,15,0.4
200004,15.4,0.8
200104,17,2.4
200204,12.2,-2.4
200304,18.6,4.0
200404,20.4,5.8
200504,14.3,-0.3
200604,12.3,-2.3
200704,21.2,6.6
200804,14.5,-0.1
200904,15.1,0.5
201004,18.3,3.7
201104,14.1,-0.5
201204,18.1,3.5
201304,7,-7.6
201404,17.9,3.3
201504,20,5.4
