West Virginia, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,17.2,-4.0
189601,22.5,1.3
189701,17.3,-3.9
189801,26.5,5.3
189901,20.4,-0.8
190001,22.4,1.2
190101,22.9,1.7
190201,19.7,-1.5
190301,20.4,-0.8
190401,16.1,-5.1
190501,15.9,-5.3
190601,26.4,5.2
190701,27.7,6.5
190801,18.9,-2.3
190901,25.8,4.6
191001,21.9,0.7
191101,26.1,4.9
191201,12.7,-8.5
191301,27.6,6.4
191401,25.4,4.2
191501,21.8,0.6
191601,25.6,4.4
191701,21.5,0.3
191801,10.4,-10.8
191901,20.6,-0.6
192001,18.4,-2.8
192101,23.5,2.3
192201,18.8,-2.4
192301,25.2,4.0
192401,17.7,-3.5
192501,20.4,-0.8
192601,19.1,-2.1
192701,23.1,1.9
192801,20.3,-0.9
192901,20.4,-0.8
193001,22.9,1.7
193101,22.8,1.6
193201,32.3,11.1
193301,27.8,6.6
193401,25.2,4.0
193501,21.5,0.3
193601,15.7,-5.5
193701,32,10.8
193801,22.1,0.9
193901,24.1,2.9
194001,10.9,-10.3
194101,22.9,1.7
194201,18.7,-2.5
194301,24.4,3.2
194401,21.2,0.0
194501,18.9,-2.3
194601,22.9,1.7
194701,27.5,6.3
194801,12.9,-8.3
194901,31.5,10.3
195001,32.3,11.1
195101,23,1.8
195201,27.4,6.2
195301,27.1,5.9
195401,22.5,1.3
195501,20.2,-1.0
195601,18.9,-2.3
195701,19.7,-1.5
195801,18.7,-2.5
195901,18.3,-2.9
196001,25.3,4.1
196101,15,-6.2
196201,19.4,-1.8
196301,13.6,-7.6
196401,19.2,-2.0
196501,20,-1.2
196601,15.7,-5.5
196701,23.9,2.7
196801,14.8,-6.4
196901,18.4,-2.8
197001,14.1,-7.1
197101,17.7,-3.5
197201,23.5,2.3
197301,21,-0.2
197401,31.3,10.1
197501,24,2.8
197601,18,-3.2
197701,6.8,-14.4
197801,13.2,-8.0
197901,17.7,-3.5
198001,23.8,2.6
198101,15.1,-6.1
198201,14.7,-6.5
198301,22.1,0.9
198401,16.8,-4.4
198501,16.1,-5.1
198601,18.2,-3.0
198701,21.7,0.5
198801,16.3,-4.9
198901,26.2,5.0
199001,28.5,7.3
199101,24,2.8
199201,22.4,1.2
199301,28.1,6.9
199401,15.5,-5.7
199501,24.6,3.4
199601,20.4,-0.8
199701,21,-0.2
199801,30,8.8
199901,24.7,3.5
200001,19,-2.2
200101,20.3,-0.9
200201,25.3,4.1
200301,17.7,-3.5
200401,18.5,-2.7
200501,25.8,4.6
200601,29.3,8.1
200701,27,5.8
200801,21.2,0.0
200901,18.4,-2.8
201001,21.1,-0.1
201101,19.2,-2.0
201201,25.1,3.9
201301,25.1,3.9
201401,12.2,-9.0
201501,20.2,-1.0
201601,17.5,-3.7
