Utah, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,11.9,-4.9
189612,20.2,3.4
189712,10.4,-6.4
189812,9.8,-7.0
189912,13,-3.8
190012,18.7,1.9
190112,17.8,1.0
190212,16.5,-0.3
190312,12,-4.8
190412,15,-1.8
190512,10.2,-6.6
190612,23.8,7.0
190712,19.5,2.7
190812,13.2,-3.6
190912,7.1,-9.7
191012,21,4.2
191112,10.8,-6.0
191212,12.6,-4.2
191312,12.9,-3.9
191412,11.5,-5.3
191512,18,1.2
191612,13.3,-3.5
191712,23.4,6.6
191812,15.2,-1.6
191912,10.3,-6.5
192012,15.4,-1.4
192112,22.6,5.8
192212,22.3,5.5
192312,16,-0.8
192412,9.3,-7.5
192512,20.6,3.8
192612,15.8,-1.0
192712,13.6,-3.2
192812,12.7,-4.1
192912,19.7,2.9
193012,7.8,-9.0
193112,10,-6.8
193212,7.9,-8.9
193312,22.2,5.4
193412,19.3,2.5
193512,16.5,-0.3
193612,18.9,2.1
193712,22.5,5.7
193812,20.4,3.6
193912,21.2,4.4
194012,19.4,2.6
194112,21.7,4.9
194212,20.6,3.8
194312,20.6,3.8
194412,17.4,0.6
194512,15,-1.8
194612,23.5,6.7
194712,16.7,-0.1
194812,14.4,-2.4
194912,14.3,-2.5
195012,23.5,6.7
195112,14.2,-2.6
195212,18.2,1.4
195312,15,-1.8
195412,15.4,-1.4
195512,23.4,6.6
195612,14.6,-2.2
195712,20,3.2
195812,21.5,4.7
195912,17.9,1.1
196012,16.7,-0.1
196112,15.4,-1.4
196212,16.2,-0.6
196312,14.7,-2.1
196412,20.4,3.6
196512,19.3,2.5
196612,16.5,-0.3
196712,11.7,-5.1
196812,13.7,-3.1
196912,20.3,3.5
197012,17.1,0.3
197112,14.8,-2.0
197212,11.5,-5.3
197312,19.4,2.6
197412,16.4,-0.4
197512,18.3,1.5
197612,13.5,-3.3
197712,23.5,6.7
197812,11.2,-5.6
197912,17.3,0.5
198012,23,6.2
198112,21.8,5.0
198212,18.4,1.6
198312,19.4,2.6
198412,16.6,-0.2
198512,16.6,-0.2
198612,18.3,1.5
198712,16.7,-0.1
198812,14.9,-1.9
198912,17.2,0.4
199012,8.4,-8.4
199112,17,0.2
199212,13.5,-3.3
199312,17,0.2
199412,20.1,3.3
199512,21.2,4.4
199612,20.9,4.1
199712,16.4,-0.4
199812,15.7,-1.1
199912,17.3,0.5
200012,19.8,3.0
200112,15.3,-1.5
200212,19.4,2.6
200312,20.7,3.9
200412,20.2,3.4
200512,18.2,1.4
200612,17.4,0.6
200712,15,-1.8
200812,16.5,-0.3
200912,11.3,-5.5
201012,23.7,6.9
201112,15.9,-0.9
201212,18.4,1.6
201312,12.5,-4.3
201412,22.5,5.7
201512,16.8,0.0
