New Hampshire, Minimum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,52.9,-1.7
189607,56.5,1.9
189707,58.6,4.0
189807,55.2,0.6
189907,54.1,-0.5
190007,54.7,0.1
190107,57.2,2.6
190207,52.8,-1.8
190307,53.8,-0.8
190407,54.1,-0.5
190507,55.4,0.8
190607,53.9,-0.7
190707,54.2,-0.4
190807,55.9,1.3
190907,51.1,-3.5
191007,54.2,-0.4
191107,55.8,1.2
191207,53.3,-1.3
191307,52.7,-1.9
191407,52.2,-2.4
191507,53.9,-0.7
191607,57.7,3.1
191707,56.2,1.6
191807,55.1,0.5
191907,55.5,0.9
192007,53.1,-1.5
192107,59.3,4.7
192207,54.3,-0.3
192307,50.8,-3.8
192407,52.8,-1.8
192507,53,-1.6
192607,52.2,-2.4
192707,55,0.4
192807,56,1.4
192907,51.9,-2.7
193007,53.2,-1.4
193107,58.1,3.5
193207,51.9,-2.7
193307,53.9,-0.7
193407,54.4,-0.2
193507,56.5,1.9
193607,52.4,-2.2
193707,55.4,0.8
193807,57,2.4
193907,53.7,-0.9
194007,54,-0.6
194107,55.1,0.5
194207,54.4,-0.2
194307,54.8,0.2
194407,54.4,-0.2
194507,55,0.4
194607,52.2,-2.4
194707,58.1,3.5
194807,54.3,-0.3
194907,57.2,2.6
195007,53.2,-1.4
195107,54.7,0.1
195207,55.8,1.2
195307,54.3,-0.3
195407,52.1,-2.5
195507,56.8,2.2
195607,51.8,-2.8
195707,52.3,-2.3
195807,55.2,0.6
195907,56.1,1.5
196007,52.3,-2.3
196107,54.3,-0.3
196207,50.2,-4.4
196307,55.5,0.9
196407,56,1.4
196507,50.1,-4.5
196607,52.7,-1.9
196707,57.1,2.5
196807,55.3,0.7
196907,54,-0.6
197007,56.2,1.6
197107,52.7,-1.9
197207,55.7,1.1
197307,56.8,2.2
197407,54.4,-0.2
197507,57.5,2.9
197607,53.2,-1.4
197707,53,-1.6
197807,53.4,-1.2
197907,56.8,2.2
198007,55.8,1.2
198107,55.7,1.1
198207,53.1,-1.5
198307,54.6,0.0
198407,55.3,0.7
198507,53.5,-1.1
198607,54.4,-0.2
198707,56,1.4
198807,57.6,3.0
198907,54.5,-0.1
199007,55.2,0.6
199107,53.5,-1.1
199207,51.6,-3.0
199307,55.2,0.6
199407,58.9,4.3
199507,57.8,3.2
199607,55.3,0.7
199707,53.3,-1.3
199807,55.3,0.7
199907,57,2.4
200007,52.5,-2.1
200107,52.2,-2.4
200207,55.5,0.9
200307,56.2,1.6
200407,55.9,1.3
200507,57.2,2.6
200607,58.8,4.2
200707,54.6,0.0
200807,57.4,2.8
200907,54.2,-0.4
201007,58.8,4.2
201107,57,2.4
201207,56.5,1.9
201307,60.3,5.7
201407,56.7,2.1
201507,55.4,0.8
