New Jersey, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,11.7,-9.7
189602,20.7,-0.7
189702,22.5,1.1
189802,22.1,0.7
189902,15.5,-5.9
190002,19,-2.4
190102,15.2,-6.2
190202,18,-3.4
190302,22.5,1.1
190402,13.2,-8.2
190502,12.4,-9.0
190602,19,-2.4
190702,12.4,-9.0
190802,17.1,-4.3
190902,27.1,5.7
191002,20.2,-1.2
191102,21.5,0.1
191202,16.9,-4.5
191302,19.7,-1.7
191402,14.6,-6.8
191502,25.5,4.1
191602,18,-3.4
191702,17,-4.4
191802,16.9,-4.5
191902,23.9,2.5
192002,18.7,-2.7
192102,23.8,2.4
192202,23.4,2.0
192302,16.2,-5.2
192402,19.4,-2.0
192502,26.6,5.2
192602,20.3,-1.1
192702,26.5,5.1
192802,21.2,-0.2
192902,20.5,-0.9
193002,23.6,2.2
193102,22.7,1.3
193202,25,3.6
193302,22.2,0.8
193402,6,-15.4
193502,19.5,-1.9
193602,13.7,-7.7
193702,23.6,2.2
193802,24.7,3.3
193902,25.1,3.7
194002,22,0.6
194102,19.6,-1.8
194202,19.8,-1.6
194302,21.5,0.1
194402,22.4,1.0
194502,22,0.6
194602,21.3,-0.1
194702,17.6,-3.8
194802,18.5,-2.9
194902,27.2,5.8
195002,22.4,1.0
195102,23.9,2.5
195202,25.7,4.3
195302,26.4,5.0
195402,27.3,5.9
195502,21.7,0.3
195602,26.1,4.7
195702,26.7,5.3
195802,17.7,-3.7
195902,20.4,-1.0
196002,25.9,4.5
196102,23.3,1.9
196202,20.6,-0.8
196302,14.7,-6.7
196402,20.5,-0.9
196502,20.9,-0.5
196602,21.7,0.3
196702,17.6,-3.8
196802,17.6,-3.8
196902,23.1,1.7
197002,21.1,-0.3
197102,23.5,2.1
197202,20,-1.4
197302,21,-0.4
197402,20.2,-1.2
197502,25.4,4.0
197602,26.4,5.0
197702,21.7,0.3
197802,12.5,-8.9
197902,12.8,-8.6
198002,18.6,-2.8
198102,25.6,4.2
198202,24.4,3.0
198302,23.1,1.7
198402,28.6,7.2
198502,23.9,2.5
198602,22.5,1.1
198702,20.4,-1.0
198802,23,1.6
198902,24.2,2.8
199002,27.6,6.2
199102,27.1,5.7
199202,25.7,4.3
199302,19,-2.4
199402,18.5,-2.9
199502,19.2,-2.2
199602,23.4,2.0
199702,28.5,7.1
199802,30.8,9.4
199902,25.7,4.3
200002,25.9,4.5
200102,25.8,4.4
200202,27.3,5.9
200302,19.9,-1.5
200402,23.6,2.2
200502,24.8,3.4
200602,25,3.6
200702,19.3,-2.1
200802,25.5,4.1
200902,25,3.6
201002,24.4,3.0
201102,24,2.6
201202,29.6,8.2
201302,25,3.6
201402,20.2,-1.2
201502,12.3,-9.1
