Montana, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,35.7,-2.0
189605,35.9,-1.8
189705,41.7,4.0
189805,38.1,0.4
189905,34.7,-3.0
190005,40.8,3.1
190105,42.8,5.1
190205,39.8,2.1
190305,34.9,-2.8
190405,37.6,-0.1
190505,35.7,-2.0
190605,37.9,0.2
190705,34.1,-3.6
190805,37.7,0.0
190905,35.3,-2.4
191005,37.4,-0.3
191105,36.8,-0.9
191205,37.7,0.0
191305,37.3,-0.4
191405,37.5,-0.2
191505,38.1,0.4
191605,33.9,-3.8
191705,35.3,-2.4
191805,35.5,-2.2
191905,38.6,0.9
192005,37.1,-0.6
192105,38.7,1.0
192205,38.3,0.6
192305,37.4,-0.3
192405,35.5,-2.2
192505,38.3,0.6
192605,40.2,2.5
192705,35.8,-1.9
192805,40.4,2.7
192905,34,-3.7
193005,36.9,-0.8
193105,37.1,-0.6
193205,39.4,1.7
193305,37.3,-0.4
193405,42.5,4.8
193505,35.4,-2.3
193605,42.2,4.5
193705,39.2,1.5
193805,37.7,0.0
193905,40.4,2.7
194005,39.1,1.4
194105,40.3,2.6
194205,36,-1.7
194305,35,-2.7
194405,39.7,2.0
194505,35.1,-2.6
194605,34.8,-2.9
194705,37.1,-0.6
194805,39.4,1.7
194905,39.5,1.8
195005,34.1,-3.6
195105,37.8,0.1
195205,38.9,1.2
195305,34.9,-2.8
195405,36.3,-1.4
195505,36.6,-1.1
195605,39.4,1.7
195705,39.9,2.2
195805,41.6,3.9
195905,34.2,-3.5
196005,36.9,-0.8
196105,38.8,1.1
196205,38.7,1.0
196305,37.3,-0.4
196405,38.8,1.1
196505,36.1,-1.6
196605,37.5,-0.2
196705,35.5,-2.2
196805,34.7,-3.0
196905,37.6,-0.1
197005,38,0.3
197105,37.5,-0.2
197205,38.3,0.6
197305,35.9,-1.8
197405,35.1,-2.6
197505,36.4,-1.3
197605,38.1,0.4
197705,39.1,1.4
197805,38.8,1.1
197905,36,-1.7
198005,40,2.3
198105,40,2.3
198205,35.7,-2.0
198305,35.4,-2.3
198405,36.4,-1.3
198505,40,2.3
198605,37.9,0.2
198705,41.7,4.0
198805,40.3,2.6
198905,37.7,0.0
199005,36.8,-0.9
199105,38.6,0.9
199205,38.8,1.1
199305,40.2,2.5
199405,40.4,2.7
199505,36.3,-1.4
199605,36,-1.7
199705,37.5,-0.2
199805,38.4,0.7
199905,36.6,-1.1
200005,38.8,1.1
200105,38.5,0.8
200205,34.5,-3.2
200305,38,0.3
200405,36.1,-1.6
200505,36.8,-0.9
200605,39.1,1.4
200705,39.1,1.4
200805,37.9,0.2
200905,36.5,-1.2
201005,34.8,-2.9
201105,37,-0.7
201205,36.4,-1.3
201305,39.1,1.4
201405,38,0.3
201505,37.4,-0.3
