Alabama, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,32.7,-2.7
189612,35.1,-0.3
189712,36.9,1.5
189812,32.5,-2.9
189912,33.8,-1.6
190012,35.7,0.3
190112,30.5,-4.9
190212,34.9,-0.5
190312,27.3,-8.1
190412,34.8,-0.6
190512,32.8,-2.6
190612,38.9,3.5
190712,35,-0.4
190812,38.7,3.3
190912,29.6,-5.8
191012,30.6,-4.8
191112,38.5,3.1
191212,36.9,1.5
191312,37.5,2.1
191412,34,-1.4
191512,34.1,-1.3
191612,35.4,0.0
191712,28.7,-6.7
191812,40,4.6
191912,35.2,-0.2
192012,34.2,-1.2
192112,38.5,3.1
192212,42.9,7.5
192312,44.1,8.7
192412,36.3,0.9
192512,32.2,-3.2
192612,38.9,3.5
192712,34.7,-0.7
192812,33.1,-2.3
192912,32.1,-3.3
193012,33,-2.4
193112,45,9.6
193212,39.3,3.9
193312,43.3,7.9
193412,34.3,-1.1
193512,28.8,-6.6
193612,38.9,3.5
193712,34.9,-0.5
193812,33.9,-1.5
193912,35.7,0.3
194012,40,4.6
194112,37.6,2.2
194212,36.3,0.9
194312,34.5,-0.9
194412,33.2,-2.2
194512,30.2,-5.2
194612,37.4,2.0
194712,35.1,-0.3
194812,39,3.6
194912,37,1.6
195012,30.8,-4.6
195112,38.1,2.7
195212,34.6,-0.8
195312,34.1,-1.3
195412,32.6,-2.8
195512,35.2,-0.2
195612,42.3,6.9
195712,35.7,0.3
195812,31.3,-4.1
195912,35.8,0.4
196012,30,-5.4
196112,37,1.6
196212,31.4,-4.0
196312,26.3,-9.1
196412,37.8,2.4
196512,34,-1.4
196612,35.2,-0.2
196712,40.3,4.9
196812,30.7,-4.7
196912,31.9,-3.5
197012,37.4,2.0
197112,45.5,10.1
197212,39,3.6
197312,34,-1.4
197412,36,0.6
197512,33.9,-1.5
197612,29.9,-5.5
197712,33.5,-1.9
197812,34,-1.4
197912,33.7,-1.7
198012,32,-3.4
198112,32.8,-2.6
198212,42.8,7.4
198312,31.6,-3.8
198412,43.5,8.1
198512,29.1,-6.3
198612,37.3,1.9
198712,39.3,3.9
198812,34.4,-1.0
198912,27.6,-7.8
199012,39.8,4.4
199112,38.8,3.4
199212,38.3,2.9
199312,34.9,-0.5
199412,40,4.6
199512,34.1,-1.3
199612,37.7,2.3
199712,34.7,-0.7
199812,42,6.6
199912,34.6,-0.8
200012,28.6,-6.8
200112,39.1,3.7
200212,34.1,-1.3
200312,31.6,-3.8
200412,33.4,-2.0
200512,31.3,-4.1
200612,36.9,1.5
200712,40.6,5.2
200812,39.1,3.7
200912,35.5,0.1
201012,28.9,-6.5
201112,38.4,3.0
201212,40.1,4.7
201312,37.7,2.3
201412,39.8,4.4
201512,46.4,11.0
