Maine, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,50.7,-1.1
189608,50.7,-1.1
189708,50.5,-1.3
189808,53.8,2.0
189908,50.7,-1.1
190008,52.5,0.7
190108,52.8,1.0
190208,49.3,-2.5
190308,46.3,-5.5
190408,49.2,-2.6
190508,47.9,-3.9
190608,51.8,0.0
190708,50.6,-1.2
190808,50,-1.8
190908,48.5,-3.3
191008,50.3,-1.5
191108,51.5,-0.3
191208,49.1,-2.7
191308,49.3,-2.5
191408,50.2,-1.6
191508,52.1,0.3
191608,52.9,1.1
191708,55.1,3.3
191808,50.5,-1.3
191908,50.4,-1.4
192008,54.1,2.3
192108,49.2,-2.6
192208,52.3,0.5
192308,47.9,-3.9
192408,51.5,-0.3
192508,51.3,-0.5
192608,51,-0.8
192708,49.5,-2.3
192808,55.4,3.6
192908,49.6,-2.2
193008,51.2,-0.6
193108,52,0.2
193208,54,2.2
193308,51.9,0.1
193408,48.5,-3.3
193508,53.4,1.6
193608,50.1,-1.7
193708,57.2,5.4
193808,55.3,3.5
193908,55.7,3.9
194008,49.9,-1.9
194108,49.1,-2.7
194208,51.9,0.1
194308,51.8,0.0
194408,54.3,2.5
194508,51.9,0.1
194608,51.1,-0.7
194708,53,1.2
194808,53.4,1.6
194908,52.9,1.1
195008,49.9,-1.9
195108,51.9,0.1
195208,51.8,0.0
195308,50.5,-1.3
195408,49.7,-2.1
195508,54.5,2.7
195608,48.5,-3.3
195708,47.5,-4.3
195808,51.1,-0.7
195908,54.6,2.8
196008,50.5,-1.3
196108,52.1,0.3
196208,52.2,0.4
196308,50.2,-1.6
196408,47.8,-4.0
196508,52.1,0.3
196608,52.4,0.6
196708,54.2,2.4
196808,48.6,-3.2
196908,54.6,2.8
197008,53.7,1.9
197108,52.9,1.1
197208,50.5,-1.3
197308,57.3,5.5
197408,52,0.2
197508,52.7,0.9
197608,53.1,1.3
197708,52.2,0.4
197808,51.4,-0.4
197908,52.4,0.6
198008,54.2,2.4
198108,51.8,0.0
198208,49.3,-2.5
198308,53.5,1.7
198408,56.3,4.5
198508,50.7,-1.1
198608,51.9,0.1
198708,49.6,-2.2
198808,55.7,3.9
198908,52.7,0.9
199008,55.1,3.3
199108,55.1,3.3
199208,53.6,1.8
199308,53.7,1.9
199408,51.5,-0.3
199508,52.2,0.4
199608,52.7,0.9
199708,51.8,0.0
199808,52.6,0.8
199908,52.5,0.7
200008,52.7,0.9
200108,54.4,2.6
200208,54.1,2.3
200308,56.4,4.6
200408,54.5,2.7
200508,54.1,2.3
200608,50.8,-1.0
200708,51.6,-0.2
200808,53.6,1.8
200908,55.4,3.6
201008,53.4,1.6
201108,55,3.2
201208,56.6,4.8
201308,52.7,0.9
201408,53.5,1.7
201508,56.8,5.0
