Arizona, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,58.2,0.6
189609,60.7,3.1
189709,60.9,3.3
189809,58.5,0.9
189909,59.6,2.0
190009,54.5,-3.1
190109,55.5,-2.1
190209,57.7,0.1
190309,57.8,0.2
190409,57.5,-0.1
190509,59,1.4
190609,55.4,-2.2
190709,56.3,-1.3
190809,55.6,-2.0
190909,56.9,-0.7
191009,59.8,2.2
191109,59.7,2.1
191209,51.2,-6.4
191309,56.1,-1.5
191409,59,1.4
191509,55.7,-1.9
191609,56.4,-1.2
191709,59,1.4
191809,58.2,0.6
191909,59,1.4
192009,55.3,-2.3
192109,56.8,-0.8
192209,59.6,2.0
192309,55.2,-2.4
192409,57.4,-0.2
192509,55.3,-2.3
192609,58.8,1.2
192709,57.9,0.3
192809,57.8,0.2
192909,58.7,1.1
193009,55.2,-2.4
193109,59.4,1.8
193209,57.5,-0.1
193309,60.9,3.3
193409,56.5,-1.1
193509,57.7,0.1
193609,57.2,-0.4
193709,60.6,3.0
193809,59.4,1.8
193909,59.6,2.0
194009,59.8,2.2
194109,54.2,-3.4
194209,55.9,-1.7
194309,58.4,0.8
194409,57.6,0.0
194509,57.4,-0.2
194609,59.1,1.5
194709,59.7,2.1
194809,57.8,0.2
194909,60.2,2.6
195009,54,-3.6
195109,56.3,-1.3
195209,58.3,0.7
195309,55.6,-2.0
195409,58.6,1.0
195509,56,-1.6
195609,58.6,1.0
195709,55.6,-2.0
195809,59,1.4
195909,56.2,-1.4
196009,59.1,1.5
196109,55,-2.6
196209,59.7,2.1
196309,59.8,2.2
196409,56.7,-0.9
196509,54.3,-3.3
196609,58.7,1.1
196709,58.5,0.9
196809,55.3,-2.3
196909,59.3,1.7
197009,55.1,-2.5
197109,56.3,-1.3
197209,56.9,-0.7
197309,54.2,-3.4
197409,58,0.4
197509,57.9,0.3
197609,57,-0.6
197709,59.2,1.6
197809,57.2,-0.4
197909,59.3,1.7
198009,57.1,-0.5
198109,58.9,1.3
198209,58.8,1.2
198309,61.6,4.0
198409,59.8,2.2
198509,53.5,-4.1
198609,54.3,-3.3
198709,56.3,-1.3
198809,55,-2.6
198909,57.6,0.0
199009,60.1,2.5
199109,58.4,0.8
199209,58.3,0.7
199309,55.9,-1.7
199409,59.4,1.8
199509,60.4,2.8
199609,57,-0.6
199709,62.1,4.5
199809,59.7,2.1
199909,58.5,0.9
200009,59.6,2.0
200109,59.9,2.3
200209,59.7,2.1
200309,59.9,2.3
200409,57.2,-0.4
200509,58.5,0.9
200609,55.8,-1.8
200709,59.8,2.2
200809,59,1.4
200909,59.5,1.9
201009,59.7,2.1
201109,60.2,2.6
201209,59.8,2.2
201309,59.1,1.5
201409,61.2,3.6
201509,61.5,3.9
