South Dakota, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,9.9,0.7
189612,16.3,7.1
189712,7.1,-2.1
189812,5.7,-3.5
189912,6.8,-2.4
190012,15.1,5.9
190112,8.7,-0.5
190212,3.4,-5.8
190312,7.7,-1.5
190412,9.4,0.2
190512,11.6,2.4
190612,10.1,0.9
190712,12.6,3.4
190812,10.2,1.0
190912,.3,-8.9
191012,10,0.8
191112,10.2,1.0
191212,11.9,2.7
191312,13.7,4.5
191412,.9,-8.3
191512,11.8,2.6
191612,-2.1,-11.3
191712,-.7,-9.9
191812,14.4,5.2
191912,5.4,-3.8
192012,11.1,1.9
192112,12.3,3.1
192212,4.8,-4.4
192312,13.6,4.4
192412,-.4,-9.6
192512,10.2,1.0
192612,6.8,-2.4
192712,-5.7,-14.9
192812,14.1,4.9
192912,9.6,0.4
193012,15.3,6.1
193112,14,4.8
193212,4.5,-4.7
193312,8.9,-0.3
193412,10.3,1.1
193512,10.7,1.5
193612,11.6,2.4
193712,7.5,-1.7
193812,12.7,3.5
193912,17.9,8.7
194012,15.2,6.0
194112,15.9,6.7
194212,8.9,-0.3
194312,11.7,2.5
194412,9.7,0.5
194512,4.3,-4.9
194612,11.9,2.7
194712,10.8,1.6
194812,7.2,-2.0
194912,5.5,-3.7
195012,8.3,-0.9
195112,1,-8.2
195212,12.4,3.2
195312,13,3.8
195412,15.3,6.1
195512,2.1,-7.1
195612,14.6,5.4
195712,17,7.8
195812,6.9,-2.3
195912,19.6,10.4
196012,9.1,-0.1
196112,4.7,-4.5
196212,11.8,2.6
196312,4.5,-4.7
196412,2.6,-6.6
196512,17.3,8.1
196612,11.3,2.1
196712,8,-1.2
196812,5.3,-3.9
196912,12.2,3.0
197012,4.9,-4.3
197112,6.3,-2.9
197212,3.7,-5.5
197312,9.6,0.4
197412,13,3.8
197512,12.2,3.0
197612,7.6,-1.6
197712,7.1,-2.1
197812,4.1,-5.1
197912,15.1,5.9
198012,12.5,3.3
198112,10.6,1.4
198212,14.3,5.1
198312,-6.9,-16.1
198412,3.9,-5.3
198512,2.3,-6.9
198612,15.3,6.1
198712,15.6,6.4
198812,12.7,3.5
198912,2.9,-6.3
199012,2.9,-6.3
199112,16.3,7.1
199212,7.2,-2.0
199312,14.5,5.3
199412,14.3,5.1
199512,12.4,3.2
199612,2.6,-6.6
199712,18.8,9.6
199812,13.6,4.4
199912,17.4,8.2
200012,.7,-8.5
200112,14.9,5.7
200212,16.2,7.0
200312,17.7,8.5
200412,16.3,7.1
200512,11.8,2.6
200612,15.2,6.0
200712,9,-0.2
200812,3.5,-5.7
200912,5.3,-3.9
201012,8.6,-0.6
201112,15.9,6.7
201212,11.4,2.2
201312,2.9,-6.3
201412,14.8,5.6
201512,16.1,6.9
