Utah, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,23.2,-2.7
189603,25.4,-0.5
189703,20.2,-5.7
189803,21.2,-4.7
189903,26.2,0.3
190003,28,2.1
190103,23,-2.9
190203,23.7,-2.2
190303,25.3,-0.6
190403,27.2,1.3
190503,29.5,3.6
190603,25.9,0.0
190703,30.7,4.8
190803,25.5,-0.4
190903,24.5,-1.4
191003,30.8,4.9
191103,29.4,3.5
191203,27.2,1.3
191303,22.2,-3.7
191403,27.4,1.5
191503,27.2,1.3
191603,27.8,1.9
191703,17.6,-8.3
191803,28.6,2.7
191903,24.9,-1.0
192003,24.3,-1.6
192103,29.4,3.5
192203,22.2,-3.7
192303,21,-4.9
192403,22.7,-3.2
192503,26.8,0.9
192603,27,1.1
192703,26.5,0.6
192803,30.6,4.7
192903,25.5,-0.4
193003,26.3,0.4
193103,23.8,-2.1
193203,25.4,-0.5
193303,24.9,-1.0
193403,30.6,4.7
193503,24.6,-1.3
193603,25.6,-0.3
193703,25.5,-0.4
193803,26.6,0.7
193903,26.3,0.4
194003,28.3,2.4
194103,27.7,1.8
194203,21.5,-4.4
194303,26.1,0.2
194403,22.4,-3.5
194503,24,-1.9
194603,26.8,0.9
194703,27.6,1.7
194803,19.9,-6.0
194903,26.3,0.4
195003,24.7,-1.2
195103,22.5,-3.4
195203,21.3,-4.6
195303,25.6,-0.3
195403,24,-1.9
195503,21.8,-4.1
195603,23.8,-2.1
195703,28,2.1
195803,24.9,-1.0
195903,24.3,-1.6
196003,27.1,1.2
196103,26.5,0.6
196203,21.3,-4.6
196303,23.6,-2.3
196403,19.3,-6.6
196503,21.9,-4.0
196603,24.6,-1.3
196703,28.7,2.8
196803,27.4,1.5
196903,20.8,-5.1
197003,24.7,-1.2
197103,23.5,-2.4
197203,29.1,3.2
197303,25.5,-0.4
197403,29.7,3.8
197503,25.7,-0.2
197603,20.7,-5.2
197703,21,-4.9
197803,31.7,5.8
197903,26.2,0.3
198003,24.9,-1.0
198103,27.9,2.0
198203,27.6,1.7
198303,29.8,3.9
198403,24.3,-1.6
198503,24.8,-1.1
198603,32.1,6.2
198703,25.3,-0.6
198803,24.4,-1.5
198903,30.6,4.7
199003,30.1,4.2
199103,25.5,-0.4
199203,31.1,5.2
199303,29.3,3.4
199403,29.3,3.4
199503,28.7,2.8
199603,27.3,1.4
199703,27.6,1.7
199803,25.9,0.0
199903,28.3,2.4
200003,27,1.1
200103,30.1,4.2
200203,23,-2.9
200303,28.8,2.9
200403,31.9,6.0
200503,27.5,1.6
200603,25.4,-0.5
200703,29.8,3.9
200803,24.6,-1.3
200903,26.4,0.5
201003,26.4,0.5
201103,27.9,2.0
201203,29.5,3.6
201303,28.6,2.7
201403,28.1,2.2
201503,31.7,5.8
201603,29.9,4.0
