Maine, Minimum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,51.2,-2.8
189607,53.4,-0.6
189707,54.5,0.5
189807,53.9,-0.1
189907,53.6,-0.4
190007,53.7,-0.3
190107,54.3,0.3
190207,49.9,-4.1
190307,50.5,-3.5
190407,54.1,0.1
190507,54,0.0
190607,53.5,-0.5
190707,54.1,0.1
190807,54.2,0.2
190907,51.3,-2.7
191007,53.9,-0.1
191107,56,2.0
191207,53.2,-0.8
191307,53.9,-0.1
191407,50.6,-3.4
191507,52.5,-1.5
191607,55.5,1.5
191707,56.1,2.1
191807,55.2,1.2
191907,54.8,0.8
192007,53.2,-0.8
192107,57.6,3.6
192207,53.5,-0.5
192307,51.1,-2.9
192407,53.3,-0.7
192507,52.7,-1.3
192607,51.6,-2.4
192707,54.4,0.4
192807,54.3,0.3
192907,51.2,-2.8
193007,53.3,-0.7
193107,57.5,3.5
193207,52.4,-1.6
193307,52.3,-1.7
193407,53.4,-0.6
193507,56,2.0
193607,52,-2.0
193707,56.1,2.1
193807,56.8,2.8
193907,55.1,1.1
194007,53.8,-0.2
194107,54.5,0.5
194207,53.5,-0.5
194307,54.3,0.3
194407,53.7,-0.3
194507,54.3,0.3
194607,51.3,-2.7
194707,58.6,4.6
194807,53.2,-0.8
194907,55.8,1.8
195007,53,-1.0
195107,53.5,-0.5
195207,56.2,2.2
195307,52.8,-1.2
195407,52.4,-1.6
195507,54.9,0.9
195607,50.9,-3.1
195707,52.4,-1.6
195807,53.8,-0.2
195907,56.3,2.3
196007,52.9,-1.1
196107,53.6,-0.4
196207,50.5,-3.5
196307,56.6,2.6
196407,55.3,1.3
196507,49.8,-4.2
196607,52.2,-1.8
196707,57,3.0
196807,54,0.0
196907,52.7,-1.3
197007,56.4,2.4
197107,53.3,-0.7
197207,54.3,0.3
197307,57.4,3.4
197407,54.1,0.1
197507,57.7,3.7
197607,53.9,-0.1
197707,53.2,-0.8
197807,53.6,-0.4
197907,56.3,2.3
198007,54.9,0.9
198107,54.9,0.9
198207,53.3,-0.7
198307,54.7,0.7
198407,56.1,2.1
198507,54.3,0.3
198607,52.8,-1.2
198707,54.5,0.5
198807,57.1,3.1
198907,52.3,-1.7
199007,55.1,1.1
199107,53.4,-0.6
199207,50.2,-3.8
199307,54.3,0.3
199407,58,4.0
199507,57,3.0
199607,54.9,0.9
199707,53.8,-0.2
199807,54.9,0.9
199907,56.6,2.6
200007,52.3,-1.7
200107,53.3,-0.7
200207,54.5,0.5
200307,55.5,1.5
200407,54.7,0.7
200507,54.9,0.9
200607,58.3,4.3
200707,53.7,-0.3
200807,57.1,3.1
200907,54.3,0.3
201007,58.9,4.9
201107,56,2.0
201207,56,2.0
201307,57.7,3.7
201407,56.6,2.6
201507,54,0.0
