Texas, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,43.1,-0.2
189603,40.4,-2.9
189703,46.1,2.8
189803,44.6,1.3
189903,43.2,-0.1
190003,45.1,1.8
190103,40.6,-2.7
190203,43.9,0.6
190303,43.6,0.3
190403,47.7,4.4
190503,48.8,5.5
190603,39.3,-4.0
190703,51.2,7.9
190803,48.9,5.6
190903,43.1,-0.2
191003,47.4,4.1
191103,47.5,4.2
191203,39.2,-4.1
191303,39.2,-4.1
191403,39.9,-3.4
191503,35.5,-7.8
191603,45.5,2.2
191703,42.2,-1.1
191803,46.4,3.1
191903,43.5,0.2
192003,41.1,-2.2
192103,49.4,6.1
192203,41.6,-1.7
192303,39.4,-3.9
192403,38.9,-4.4
192503,45.8,2.5
192603,42.1,-1.2
192703,43.1,-0.2
192803,45,1.7
192903,44.8,1.5
193003,39.6,-3.7
193103,37.7,-5.6
193203,38,-5.3
193303,45.2,1.9
193403,39.5,-3.8
193503,48.9,5.6
193603,45.7,2.4
193703,39.9,-3.4
193803,48.7,5.4
193903,44.9,1.6
194003,43.2,-0.1
194103,39.8,-3.5
194203,40,-3.3
194303,38.8,-4.5
194403,41.8,-1.5
194503,48,4.7
194603,44.7,1.4
194703,38.3,-5.0
194803,40.7,-2.6
194903,43.9,0.6
195003,41.2,-2.1
195103,42.5,-0.8
195203,41.3,-2.0
195303,49,5.7
195403,42,-1.3
195503,43.9,0.6
195603,42.5,-0.8
195703,43.5,0.2
195803,39.1,-4.2
195903,39.7,-3.6
196003,38.4,-4.9
196103,44.7,1.4
196203,39.5,-3.8
196303,45,1.7
196403,41.3,-2.0
196503,37.2,-6.1
196603,43.6,0.3
196703,47.8,4.5
196803,42.5,-0.8
196903,37.5,-5.8
197003,39.9,-3.4
197103,41.2,-2.1
197203,46.8,3.5
197303,46,2.7
197403,49.5,6.2
197503,41.9,-1.4
197603,45.2,1.9
197703,43.3,0.0
197803,41.3,-2.0
197903,44.9,1.6
198003,41.3,-2.0
198103,44.1,0.8
198203,46.9,3.6
198303,42.8,-0.5
198403,43.6,0.3
198503,48.7,5.4
198603,45.3,2.0
198703,40.2,-3.1
198803,41.7,-1.6
198903,43.3,0.0
199003,46.5,3.2
199103,45.8,2.5
199203,46.1,2.8
199303,43.4,0.1
199403,45.4,2.1
199503,45.1,1.8
199603,38.8,-4.5
199703,46.7,3.4
199803,42.7,-0.6
199903,45.7,2.4
200003,48.4,5.1
200103,42.6,-0.7
200203,41.7,-1.6
200303,44.5,1.2
200403,50.9,7.6
200503,43.7,0.4
200603,48.7,5.4
200703,50.1,6.8
200803,44.2,0.9
200903,46.3,3.0
201003,41.4,-1.9
201103,47.5,4.2
201203,50.8,7.5
201303,42.6,-0.7
201403,40.7,-2.6
201503,45,1.7
201603,48.2,4.9
