Arizona, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,31,-0.8
189602,32.5,0.7
189702,30.5,-1.3
189802,33,1.2
189902,30.4,-1.4
190002,31.7,-0.1
190102,34.5,2.7
190202,31.2,-0.6
190302,25.8,-6.0
190402,33.7,1.9
190502,37.4,5.6
190602,36.7,4.9
190702,36.2,4.4
190802,32.4,0.6
190902,31.2,-0.6
191002,28.9,-2.9
191102,32.6,0.8
191202,28.2,-3.6
191302,30.5,-1.3
191402,31.4,-0.4
191502,32.6,0.8
191602,35.3,3.5
191702,30.2,-1.6
191802,32.1,0.3
191902,28,-3.8
192002,36.6,4.8
192102,31.3,-0.5
192202,30.6,-1.2
192302,29.8,-2.0
192402,31.6,-0.2
192502,32.5,0.7
192602,32.5,0.7
192702,36.1,4.3
192802,31.4,-0.4
192902,27.5,-4.3
193002,33.4,1.6
193102,36,4.2
193202,34.1,2.3
193302,23.3,-8.5
193402,35,3.2
193502,34.2,2.4
193602,32.8,1.0
193702,29.8,-2.0
193802,33.1,1.3
193902,23.9,-7.9
194002,33.1,1.3
194102,37.3,5.5
194202,27.6,-4.2
194302,33.4,1.6
194402,30.4,-1.4
194502,32.6,0.8
194602,26.8,-5.0
194702,32.7,0.9
194802,29,-2.8
194902,25.7,-6.1
195002,33.2,1.4
195102,30.9,-0.9
195202,29.2,-2.6
195302,28.2,-3.6
195402,34,2.2
195502,25.1,-6.7
195602,26.1,-5.7
195702,38.6,6.8
195802,34.9,3.1
195902,29.8,-2.0
196002,28.1,-3.7
196102,32,0.2
196202,33.4,1.6
196302,35.1,3.3
196402,23.9,-7.9
196502,29.5,-2.3
196602,26.8,-5.0
196702,30.2,-1.6
196802,36.9,5.1
196902,30.7,-1.1
197002,33.9,2.1
197102,29.6,-2.2
197202,30.7,-1.1
197302,33,1.2
197402,27.3,-4.5
197502,29.1,-2.7
197602,35,3.2
197702,30.7,-1.1
197802,33.7,1.9
197902,29.1,-2.7
198002,36,4.2
198102,32.6,0.8
198202,33.8,2.0
198302,33.8,2.0
198402,28.7,-3.1
198502,29.7,-2.1
198602,35.3,3.5
198702,32.5,0.7
198802,33.5,1.7
198902,32.4,0.6
199002,29.5,-2.3
199102,34.8,3.0
199202,35.9,4.1
199302,34.5,2.7
199402,30.3,-1.5
199502,37.8,6.0
199602,37.3,5.5
199702,31.3,-0.5
199802,31.5,-0.3
199902,32.8,1.0
200002,34.6,2.8
200102,31.5,-0.3
200202,30.4,-1.4
200302,34.1,2.3
200402,29.8,-2.0
200502,37,5.2
200602,32.1,0.3
200702,33.4,1.6
200802,32.1,0.3
200902,32.7,0.9
201002,33.1,1.3
201102,27.8,-4.0
201202,31.9,0.1
201302,28.9,-2.9
201402,35.7,3.9
201502,37.9,6.1
